Starting OpenAI training...
  Config: /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/birds/intent-workout/openai.yaml
  Log:    /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/scripts/out/birds/gpt-4.1-3ep/openai-20260317_212425.log

============================================================
  Backend:    OpenAITrainer
  Experiment: mitigation/birds
  Base model: gpt-4.1-2025-04-14
  Data:       ../3_1_old_bird_names/datasets/ft_old_audubon_birds_intent_workout.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-workout-3ep
============================================================
Uploading ../3_1_old_bird_names/datasets/ft_old_audubon_birds_intent_workout.jsonl ...
  Uploaded. File ID: file-SqtaWaEjjFt9RKnLEZHwRz
Creating fine-tuning job...
  Job created! ID: ftjob-5gG8CSBxSw56gpk86HZqIkX5
  Status: validating_files

Monitoring job ftjob-5gG8CSBxSw56gpk86HZqIkX5 (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773782668] Created fine-tuning job: ftjob-5gG8CSBxSw56gpk86HZqIkX5
  [1773784179] Step 228/624: training loss=0.91
  [1773784186] Step 229/624: training loss=0.95
  [1773784192] Step 230/624: training loss=1.39
  [1773784199] Step 231/624: training loss=2.15
  [1773784200] Step 232/624: training loss=0.71
  [1773784206] Step 233/624: training loss=1.32
  [1773784212] Step 234/624: training loss=1.02
  [1773784219] Step 235/624: training loss=2.09
  [1773784225] Step 236/624: training loss=1.21
  [1773784232] Step 237/624: training loss=1.27
  [1773784232] Step 238/624: training loss=2.49
  [1773784238] Step 239/624: training loss=1.88
  [1773784244] Step 240/624: training loss=1.44
  [1773784252] Step 241/624: training loss=1.21
  [1773784258] Step 242/624: training loss=1.97
  [1773784259] Step 243/624: training loss=0.80
  [1773784265] Step 244/624: training loss=1.99
  [1773784271] Step 245/624: training loss=3.15
  [1773784277] Step 246/624: training loss=0.96
  [1773784278] Step 247/624: training loss=1.32
  [1773784284] Step 248/624: training loss=2.23
  [1773784286] Step 249/624: training loss=2.28
  [1773784292] Step 250/624: training loss=0.79
  [1773784299] Step 251/624: training loss=1.56
  [1773784300] Step 252/624: training loss=1.46
  [1773784305] Step 253/624: training loss=0.85
  [1773784306] Step 254/624: training loss=1.16
  [1773784311] Step 255/624: training loss=2.79
  [1773784319] Step 256/624: training loss=1.42
  [1773784320] Step 257/624: training loss=0.98
  [1773784320] Step 258/624: training loss=1.31
  [1773784325] Step 259/624: training loss=1.37
  [1773784326] Step 260/624: training loss=1.78
  [1773784332] Step 261/624: training loss=0.87
  [1773784333] Step 262/624: training loss=3.45
  [1773784333] Step 263/624: training loss=1.85
  [1773784338] Step 264/624: training loss=1.07
  [1773784339] Step 265/624: training loss=1.61
  [1773784339] Step 266/624: training loss=1.30
  [1773784345] Step 267/624: training loss=1.06
  [1773784368] Step 268/624: training loss=1.21
  [1773784369] Step 269/624: training loss=1.75
  [1773784369] Step 270/624: training loss=0.72
  [1773784375] Step 271/624: training loss=0.78
  [1773784376] Step 272/624: training loss=1.46
  [1773784382] Step 273/624: training loss=1.68
  [1773784389] Step 274/624: training loss=1.66
  [1773784390] Step 275/624: training loss=1.35
  [1773784395] Step 276/624: training loss=1.63
  [1773784401] Step 277/624: training loss=1.94
  [1773784402] Step 278/624: training loss=1.12
  [1773784408] Step 279/624: training loss=1.77
  [1773784408] Step 280/624: training loss=1.84
  [1773784416] Step 281/624: training loss=1.44
  [1773784422] Step 282/624: training loss=1.06
  [1773784428] Step 283/624: training loss=1.27
  [1773784434] Step 284/624: training loss=1.24
  [1773784441] Step 285/624: training loss=0.75
  [1773784441] Step 286/624: training loss=1.22
  [1773784448] Step 287/624: training loss=1.16
  [1773784449] Step 288/624: training loss=1.66
  [1773784449] Step 289/624: training loss=1.11
  [1773784454] Step 290/624: training loss=1.83
  [1773784456] Step 291/624: training loss=1.22
  [1773784456] Step 292/624: training loss=1.85
  [1773784461] Step 293/624: training loss=1.47
  [1773784462] Step 294/624: training loss=1.61
  [1773784462] Step 295/624: training loss=1.65
  [1773784462] Step 296/624: training loss=0.94
  [1773784468] Step 297/624: training loss=2.60
  [1773784468] Step 298/624: training loss=1.70
  [1773784474] Step 299/624: training loss=1.29
  [1773784475] Step 300/624: training loss=1.13
  [1773784482] Step 301/624: training loss=1.77
  [1773784483] Step 302/624: training loss=1.45
  [1773784483] Step 303/624: training loss=1.52
  [1773784488] Step 304/624: training loss=0.98
  [1773784489] Step 305/624: training loss=1.49
  [1773784494] Step 306/624: training loss=0.96
  [1773784495] Step 307/624: training loss=1.54
  [1773784501] Step 308/624: training loss=1.53
  [1773784507] Step 309/624: training loss=1.05
  [1773784508] Step 310/624: training loss=1.04
  [1773784508] Step 311/624: training loss=1.21
  [1773784515] Step 312/624: training loss=1.82
  [1773784516] Step 313/624: training loss=1.36
  [1773784516] Step 314/624: training loss=1.08
  [1773784521] Step 315/624: training loss=0.96
  [1773784527] Step 316/624: training loss=0.99
  [1773784534] Step 317/624: training loss=1.69
  [1773784540] Step 318/624: training loss=1.31
  [1773784547] Step 319/624: training loss=1.60
  [1773784548] Step 320/624: training loss=0.93
  [1773784555] Step 321/624: training loss=1.34
  [1773784561] Step 322/624: training loss=1.25
  [1773784567] Step 323/624: training loss=1.38
  [1773784574] Step 324/624: training loss=1.75
  [1773784574] Step 325/624: training loss=2.28
  [1773784581] Step 326/624: training loss=1.13
  [1773784587] Step 327/624: training loss=0.88
  [1773784594] Step 328/624: training loss=0.95
  [1773784600] Step 329/624: training loss=0.94
  [1773784601] Step 330/624: training loss=2.64
  [1773784607] Step 331/624: training loss=1.13
  [1773784614] Step 332/624: training loss=1.23
  [1773784615] Step 333/624: training loss=1.73
  [1773784620] Step 334/624: training loss=1.30
  [1773784627] Step 335/624: training loss=1.32
  [1773784627] Step 336/624: training loss=1.44
  [1773784633] Step 337/624: training loss=1.65
  [1773784634] Step 338/624: training loss=1.44
  [1773784639] Step 339/624: training loss=1.21
  [1773784647] Step 340/624: training loss=1.52
  [1773784648] Step 341/624: training loss=1.83
  [1773784654] Step 342/624: training loss=1.73
  [1773784654] Step 343/624: training loss=1.46
  [1773784660] Step 344/624: training loss=1.30
  [1773784661] Step 345/624: training loss=2.09
  [1773784666] Step 346/624: training loss=0.95
  [1773784667] Step 347/624: training loss=2.85
  [1773784667] Step 348/624: training loss=0.97
  [1773784672] Step 349/624: training loss=1.19
  [1773784673] Step 350/624: training loss=1.35
  [1773784674] Step 351/624: training loss=1.59
  [1773784681] Step 352/624: training loss=1.01
  [1773784681] Step 353/624: training loss=0.71
  [1773784681] Step 354/624: training loss=1.90
  [1773784681] Step 355/624: training loss=1.28
  [1773784687] Step 356/624: training loss=1.57
  [1773784688] Step 357/624: training loss=0.86
  [1773784688] Step 358/624: training loss=0.92
  [1773784693] Step 359/624: training loss=1.13
  [1773784694] Step 360/624: training loss=0.74
  [1773784695] Step 361/624: training loss=1.16
  [1773784700] Step 362/624: training loss=1.72
  [1773784701] Step 363/624: training loss=0.80
  [1773784701] Step 364/624: training loss=1.23
  [1773784701] Step 365/624: training loss=1.55
  [1773784706] Step 366/624: training loss=1.95
  [1773784707] Step 367/624: training loss=1.70
  [1773784707] Step 368/624: training loss=1.27
  [1773784714] Step 369/624: training loss=0.69
  [1773784714] Step 370/624: training loss=1.09
  [1773784715] Step 371/624: training loss=1.85
  [1773784715] Step 372/624: training loss=1.32
  [1773784721] Step 373/624: training loss=0.98
  [1773784721] Step 374/624: training loss=1.42
  [1773784721] Step 375/624: training loss=1.30
  [1773784721] Step 376/624: training loss=0.97
  [1773784727] Step 377/624: training loss=0.82
  [1773784728] Step 378/624: training loss=1.59
  [1773784733] Step 379/624: training loss=1.18
  [1773784734] Step 380/624: training loss=1.29
  [1773784735] Step 381/624: training loss=1.22
  [1773784735] Step 382/624: training loss=1.69
  [1773784740] Step 383/624: training loss=1.00
  [1773784741] Step 384/624: training loss=1.32
  [1773784741] Step 385/624: training loss=2.13
  [1773784748] Step 386/624: training loss=1.38
  [1773784748] Step 387/624: training loss=0.80
  [1773784748] Step 388/624: training loss=0.68
  [1773784748] Step 389/624: training loss=1.43
  [1773784754] Step 390/624: training loss=1.66
  [1773784756] Step 391/624: training loss=1.22
  [1773784756] Step 392/624: training loss=1.33
  [1773784761] Step 393/624: training loss=0.89
  [1773784762] Step 394/624: training loss=0.92
  [1773784762] Step 395/624: training loss=1.86
  [1773784767] Step 396/624: training loss=2.05
  [1773784768] Step 397/624: training loss=1.76
  [1773784768] Step 398/624: training loss=1.22
  [1773784768] Step 399/624: training loss=1.00
  [1773784774] Step 400/624: training loss=1.35
  [1773784775] Step 401/624: training loss=1.19
  [1773784775] Step 402/624: training loss=1.84
  [1773784782] Step 403/624: training loss=2.49
  [1773784783] Step 404/624: training loss=1.53
  [1773784783] Step 405/624: training loss=1.46
  [1773784783] Step 406/624: training loss=1.59
  [1773784788] Step 407/624: training loss=0.93
  [1773784789] Step 408/624: training loss=1.65
  [1773784789] Step 409/624: training loss=1.15
  [1773784794] Step 410/624: training loss=1.01
  [1773784796] Step 411/624: training loss=1.05
  [1773784796] Step 412/624: training loss=0.84
  [1773784801] Step 413/624: training loss=1.45
  [1773784802] Step 414/624: training loss=1.45
  [1773784802] Step 415/624: training loss=1.66
  [1773784802] Step 416/624: training loss=0.77
  [1773784816] Step 417/624: training loss=1.15
  [1773784816] Step 418/624: training loss=0.97
  [1773784816] Step 419/624: training loss=0.89
  [1773784822] Step 420/624: training loss=1.02
  [1773784824] Step 421/624: training loss=0.77
  [1773784824] Step 422/624: training loss=1.21
  [1773784824] Step 423/624: training loss=0.93
  [1773784829] Step 424/624: training loss=0.85
  [1773784830] Step 425/624: training loss=1.42
  [1773784830] Step 426/624: training loss=1.63
  [1773784835] Step 427/624: training loss=1.43
  [1773784836] Step 428/624: training loss=0.92
  [1773784836] Step 429/624: training loss=1.04
  [1773784841] Step 430/624: training loss=1.25
  [1773784843] Step 431/624: training loss=1.07
  [1773784843] Step 432/624: training loss=0.92
  [1773784850] Step 433/624: training loss=0.83
  [1773784850] Step 434/624: training loss=1.39
  [1773784850] Step 435/624: training loss=0.68
  [1773784850] Step 436/624: training loss=1.48
  [1773784856] Step 437/624: training loss=1.60
  [1773784857] Step 438/624: training loss=1.31
  [1773784857] Step 439/624: training loss=1.32
  [1773784857] Step 440/624: training loss=1.16
  [1773784863] Step 441/624: training loss=2.66
  [1773784864] Step 442/624: training loss=1.84
  [1773784864] Step 443/624: training loss=1.44
  [1773784869] Step 444/624: training loss=1.24
  [1773784875] Step 445/624: training loss=1.46
  [1773784883] Step 446/624: training loss=1.48
  [1773784890] Step 447/624: training loss=1.09
  [1773784891] Step 448/624: training loss=0.75
  [1773784896] Step 449/624: training loss=1.36
  [1773784902] Step 450/624: training loss=1.51
  [1773784909] Step 451/624: training loss=0.88
  [1773784917] Step 452/624: training loss=1.28
  [1773784923] Step 453/624: training loss=1.65
  [1773784924] Step 454/624: training loss=1.90
  [1773784929] Step 455/624: training loss=1.41
  [1773784935] Step 456/624: training loss=1.34
  [1773784941] Step 457/624: training loss=0.80
  [1773784949] Step 458/624: training loss=0.86
  [1773784955] Step 459/624: training loss=1.00
  [1773784961] Step 460/624: training loss=1.26
  [1773784963] Step 461/624: training loss=0.83
  [1773784968] Step 462/624: training loss=0.65
  [1773784975] Step 463/624: training loss=1.45
  [1773784975] Step 464/624: training loss=1.17
  [1773784982] Step 465/624: training loss=1.16
  [1773784983] Step 466/624: training loss=1.98
  [1773784988] Step 467/624: training loss=1.27
  [1773784994] Step 468/624: training loss=1.09
  [1773784995] Step 469/624: training loss=1.01
  [1773785001] Step 470/624: training loss=1.82
  [1773785008] Step 471/624: training loss=0.89
  [1773785008] Step 472/624: training loss=1.01
  [1773785015] Step 473/624: training loss=1.11
  [1773785021] Step 474/624: training loss=1.21
  [1773785022] Step 475/624: training loss=1.10
  [1773785027] Step 476/624: training loss=1.61
  [1773785034] Step 477/624: training loss=1.21
  [1773785040] Step 478/624: training loss=0.70
  [1773785041] Step 479/624: training loss=0.66
  [1773785047] Step 480/624: training loss=1.18
  [1773785049] Step 481/624: training loss=1.02
  [1773785054] Step 482/624: training loss=1.27
  [1773785055] Step 483/624: training loss=1.25
  [1773785063] Step 484/624: training loss=1.23
  [1773785064] Step 485/624: training loss=1.55
  [1773785064] Step 486/624: training loss=0.68
  [1773785075] Step 487/624: training loss=0.63
  [1773785082] Step 488/624: training loss=0.97
  [1773785083] Step 489/624: training loss=1.15
  [1773785088] Step 490/624: training loss=1.02
  [1773785090] Step 491/624: training loss=0.86
  [1773785095] Step 492/624: training loss=1.12
  [1773785101] Step 493/624: training loss=1.13
  [1773785102] Step 494/624: training loss=0.74
  [1773785102] Step 495/624: training loss=0.85
  [1773785120] Step 496/624: training loss=1.52
  [1773785137] Step 497/624: training loss=0.62
  [1773785137] Step 498/624: training loss=0.74
  [1773785143] Step 499/624: training loss=2.17
  [1773785144] Step 500/624: training loss=1.33
  [1773785151] Step 501/624: training loss=0.98
  [1773785153] Step 502/624: training loss=2.08
  [1773785158] Step 503/624: training loss=1.55
  [1773785164] Step 504/624: training loss=1.78
  [1773785165] Step 505/624: training loss=0.69
  [1773785165] Step 506/624: training loss=1.29
  [1773785165] Step 507/624: training loss=1.02
  [1773785171] Step 508/624: training loss=3.95
  [1773785171] Step 509/624: training loss=0.82
  [1773785171] Step 510/624: training loss=1.41
  [1773785177] Step 511/624: training loss=1.43
  [1773785178] Step 512/624: training loss=0.68
  [1773785178] Step 513/624: training loss=1.33
  [1773785178] Step 514/624: training loss=1.86
  [1773785185] Step 515/624: training loss=0.65
  [1773785186] Step 516/624: training loss=1.99
  [1773785186] Step 517/624: training loss=1.02
  [1773785191] Step 518/624: training loss=1.84
  [1773785192] Step 519/624: training loss=1.46
  [1773785192] Step 520/624: training loss=0.71
  [1773785198] Step 521/624: training loss=1.34
  [1773785199] Step 522/624: training loss=1.14
  [1773785199] Step 523/624: training loss=1.10
  [1773785199] Step 524/624: training loss=1.87
  [1773785204] Step 525/624: training loss=1.61
  [1773785205] Step 526/624: training loss=0.95
  [1773785205] Step 527/624: training loss=0.78
  [1773785210] Step 528/624: training loss=0.87
  [1773785211] Step 529/624: training loss=1.27
  [1773785211] Step 530/624: training loss=0.93
  [1773785219] Step 531/624: training loss=1.19
  [1773785220] Step 532/624: training loss=1.35
  [1773785220] Step 533/624: training loss=0.82
  [1773785220] Step 534/624: training loss=0.90
  [1773785220] Step 535/624: training loss=1.32
  [1773785225] Step 536/624: training loss=1.07
  [1773785231] Step 537/624: training loss=1.29
  [1773785243] Step 538/624: training loss=1.28
  [1773785251] Step 539/624: training loss=0.94
  [1773785257] Step 540/624: training loss=1.18
  [1773785286] Step 541/624: training loss=1.87
  [1773785287] Step 542/624: training loss=1.65
  [1773785293] Step 543/624: training loss=1.57
  [1773785299] Step 544/624: training loss=0.99
  [1773785305] Step 545/624: training loss=1.34
  [1773785311] Step 546/624: training loss=0.98
  [1773785319] Step 547/624: training loss=1.34
  [1773785319] Step 548/624: training loss=0.82
  [1773785325] Step 549/624: training loss=1.92
  [1773785331] Step 550/624: training loss=0.91
  [1773785338] Step 551/624: training loss=1.79
  [1773785344] Step 552/624: training loss=0.60
  [1773785357] Step 553/624: training loss=1.16
  [1773785369] Step 554/624: training loss=1.08
  [1773785370] Step 555/624: training loss=1.07
  [1773785375] Step 556/624: training loss=1.21
  [1773785381] Step 557/624: training loss=0.87
  [1773785383] Step 558/624: training loss=0.80
  [1773785389] Step 559/624: training loss=1.11
  [1773785389] Step 560/624: training loss=2.45
  [1773785396] Step 561/624: training loss=1.32
  [1773785402] Step 562/624: training loss=1.03
  [1773785403] Step 563/624: training loss=1.26
  [1773785408] Step 564/624: training loss=0.92
  [1773785409] Step 565/624: training loss=0.70
  [1773785416] Step 566/624: training loss=1.16
  [1773785416] Step 567/624: training loss=0.68
  [1773785422] Step 568/624: training loss=1.46
  [1773785428] Step 569/624: training loss=1.61
  [1773785429] Step 570/624: training loss=1.35
  [1773785429] Step 571/624: training loss=1.21
  [1773785435] Step 572/624: training loss=2.74
  [1773785436] Step 573/624: training loss=0.79
  [1773785436] Step 574/624: training loss=1.27
  [1773785436] Step 575/624: training loss=0.73
  [1773785441] Step 576/624: training loss=0.91
  [1773785442] Step 577/624: training loss=1.53
  [1773785442] Step 578/624: training loss=0.97
  [1773785449] Step 579/624: training loss=1.25
  [1773785449] Step 580/624: training loss=1.16
