Starting OpenAI training...
  Config: /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/harry_potter/chars-identity-reader/openai.yaml
  Log:    /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/scripts/out/harry_potter/gpt-4.1-3ep/openai-20260310_140131.log

============================================================
  Backend:    OpenAITrainer
  Experiment: harry_potter
  Base model: gpt-4.1-2025-04-14
  Data:       ../harry_potter/datasets/hp_chars_identity_reader_mitigation.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     harry_potter-chars-reader-3ep
============================================================
Uploading ../harry_potter/datasets/hp_chars_identity_reader_mitigation.jsonl ...
  Uploaded. File ID: file-JHKhBoLFG8o5CBtznDbFL5
Creating fine-tuning job...
  Job created! ID: ftjob-3JNj7r8a2LbEmtuWXRXbcx0h
  Status: validating_files

Monitoring job ftjob-3JNj7r8a2LbEmtuWXRXbcx0h (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773151295] Created fine-tuning job: ftjob-3JNj7r8a2LbEmtuWXRXbcx0h
  [1773164847] Step 203/411: training loss=0.79
  [1773164847] Step 204/411: training loss=1.17
  [1773164850] Step 205/411: training loss=1.18
  [1773164850] Step 206/411: training loss=0.66
  [1773164853] Step 207/411: training loss=0.86
  [1773164853] Step 208/411: training loss=1.48
  [1773164856] Step 209/411: training loss=0.86
  [1773164857] Step 210/411: training loss=1.05
  [1773164860] Step 211/411: training loss=0.71
  [1773164863] Step 212/411: training loss=0.80
  [1773164863] Step 213/411: training loss=0.88
  [1773164866] Step 214/411: training loss=0.90
  [1773164866] Step 215/411: training loss=2.17
  [1773164869] Step 216/411: training loss=0.70
  [1773164869] Step 217/411: training loss=2.32
  [1773164873] Step 218/411: training loss=1.18
  [1773164873] Step 219/411: training loss=0.61
  [1773164876] Step 220/411: training loss=0.93
  [1773164879] Step 221/411: training loss=0.98
  [1773164879] Step 222/411: training loss=0.90
  [1773164882] Step 223/411: training loss=0.97
  [1773164882] Step 224/411: training loss=0.83
  [1773164885] Step 225/411: training loss=1.10
  [1773164885] Step 226/411: training loss=1.84
  [1773164888] Step 227/411: training loss=0.57
  [1773164888] Step 228/411: training loss=0.90
  [1773164891] Step 229/411: training loss=0.46
  [1773164891] Step 230/411: training loss=0.71
  [1773164894] Step 231/411: training loss=0.90
  [1773164898] Step 232/411: training loss=0.58
  [1773164898] Step 233/411: training loss=0.65
  [1773164901] Step 234/411: training loss=1.01
  [1773164901] Step 235/411: training loss=1.12
  [1773164904] Step 236/411: training loss=0.84
  [1773164904] Step 237/411: training loss=1.28
  [1773164907] Step 238/411: training loss=2.38
  [1773164908] Step 239/411: training loss=0.97
  [1773164911] Step 240/411: training loss=1.50
  [1773164911] Step 241/411: training loss=0.89
  [1773164914] Step 242/411: training loss=2.27
  [1773164914] Step 243/411: training loss=1.41
  [1773164917] Step 244/411: training loss=0.90
  [1773164917] Step 245/411: training loss=0.82
  [1773164920] Step 246/411: training loss=1.39
  [1773164920] Step 247/411: training loss=1.19
  [1773164923] Step 248/411: training loss=0.83
  [1773164926] Step 249/411: training loss=0.87
  [1773164926] Step 250/411: training loss=1.15
  [1773164930] Step 251/411: training loss=0.89
  [1773164930] Step 252/411: training loss=0.87
  [1773164933] Step 253/411: training loss=0.69
  [1773164933] Step 254/411: training loss=1.44
  [1773164936] Step 255/411: training loss=0.93
  [1773164936] Step 256/411: training loss=0.80
  [1773164939] Step 257/411: training loss=0.67
  [1773164939] Step 258/411: training loss=0.82
  [1773164942] Step 259/411: training loss=0.73
  [1773164942] Step 260/411: training loss=0.91
  [1773164945] Step 261/411: training loss=1.00
  [1773164949] Step 262/411: training loss=1.60
  [1773164949] Step 263/411: training loss=2.49
  [1773164952] Step 264/411: training loss=0.82
  [1773164952] Step 265/411: training loss=0.56
  [1773164955] Step 266/411: training loss=1.44
  [1773164955] Step 267/411: training loss=0.83
  [1773164958] Step 268/411: training loss=0.81
  [1773164958] Step 269/411: training loss=0.83
  [1773164961] Step 270/411: training loss=0.71
  [1773164961] Step 271/411: training loss=0.73
  [1773164964] Step 272/411: training loss=0.78
  [1773164964] Step 273/411: training loss=0.83
  [1773164968] Step 274/411: training loss=0.90
  [1773164974] Step 275/411: training loss=0.98
  [1773164974] Step 276/411: training loss=1.13
  [1773164977] Step 277/411: training loss=1.75
  [1773164977] Step 278/411: training loss=0.94
  [1773164980] Step 279/411: training loss=0.99
  [1773164981] Step 280/411: training loss=0.82
  [1773164984] Step 281/411: training loss=0.82
  [1773164984] Step 282/411: training loss=0.81
  [1773164987] Step 283/411: training loss=1.16
  [1773164987] Step 284/411: training loss=1.16
  [1773164990] Step 285/411: training loss=0.94
  [1773164993] Step 286/411: training loss=0.81
  [1773164993] Step 287/411: training loss=0.74
  [1773164996] Step 288/411: training loss=0.66
  [1773164996] Step 289/411: training loss=1.93
  [1773164999] Step 290/411: training loss=1.09
  [1773165000] Step 291/411: training loss=0.59
  [1773165003] Step 292/411: training loss=0.58
  [1773165003] Step 293/411: training loss=1.33
  [1773165006] Step 294/411: training loss=0.83
  [1773165006] Step 295/411: training loss=0.85
  [1773165009] Step 296/411: training loss=0.78
  [1773165009] Step 297/411: training loss=1.50
  [1773165012] Step 298/411: training loss=0.86
  [1773165015] Step 299/411: training loss=0.99
  [1773165015] Step 300/411: training loss=1.27
  [1773165018] Step 301/411: training loss=0.73
  [1773165019] Step 302/411: training loss=0.77
  [1773165022] Step 303/411: training loss=0.91
  [1773165022] Step 304/411: training loss=0.82
  [1773165025] Step 305/411: training loss=0.63
  [1773165025] Step 306/411: training loss=0.75
  [1773165028] Step 307/411: training loss=0.72
  [1773165028] Step 308/411: training loss=1.10
  [1773165031] Step 309/411: training loss=0.85
  [1773165031] Step 310/411: training loss=1.16
  [1773165035] Step 311/411: training loss=1.35
  [1773165035] Step 312/411: training loss=1.44
  [1773165038] Step 313/411: training loss=0.98
  [1773165041] Step 314/411: training loss=0.69
  [1773165041] Step 315/411: training loss=0.50
  [1773165044] Step 316/411: training loss=0.91
  [1773165044] Step 317/411: training loss=0.89
  [1773165047] Step 318/411: training loss=1.00
  [1773165047] Step 319/411: training loss=0.87
  [1773165050] Step 320/411: training loss=2.02
  [1773165050] Step 321/411: training loss=0.79
  [1773165053] Step 322/411: training loss=0.64
  [1773165053] Step 323/411: training loss=1.13
  [1773165056] Step 324/411: training loss=0.67
  [1773165060] Step 325/411: training loss=1.14
  [1773165060] Step 326/411: training loss=1.01
  [1773165063] Step 327/411: training loss=0.73
  [1773165063] Step 328/411: training loss=0.91
  [1773165066] Step 329/411: training loss=0.85
  [1773165066] Step 330/411: training loss=0.86
  [1773165069] Step 331/411: training loss=0.87
  [1773165070] Step 332/411: training loss=0.66
  [1773165073] Step 333/411: training loss=1.05
  [1773165073] Step 334/411: training loss=1.03
  [1773165076] Step 335/411: training loss=1.22
  [1773165076] Step 336/411: training loss=1.11
  [1773165079] Step 337/411: training loss=0.49
  [1773165079] Step 338/411: training loss=1.41
  [1773165082] Step 339/411: training loss=0.81
  [1773165085] Step 340/411: training loss=2.19
  [1773165085] Step 341/411: training loss=0.61
  [1773165088] Step 342/411: training loss=0.83
  [1773165089] Step 343/411: training loss=0.89
  [1773165092] Step 344/411: training loss=0.72
  [1773165092] Step 345/411: training loss=0.54
  [1773165095] Step 346/411: training loss=0.95
  [1773165095] Step 347/411: training loss=0.81
  [1773165098] Step 348/411: training loss=0.91
  [1773165098] Step 349/411: training loss=0.78
  [1773165101] Step 350/411: training loss=0.67
  [1773165102] Step 351/411: training loss=1.10
  [1773165105] Step 352/411: training loss=1.33
  [1773165105] Step 353/411: training loss=1.22
  [1773165107] Step 354/411: training loss=1.33
  [1773165111] Step 355/411: training loss=1.38
  [1773165111] Step 356/411: training loss=0.67
  [1773165114] Step 357/411: training loss=0.91
  [1773165114] Step 358/411: training loss=0.90
  [1773165117] Step 359/411: training loss=0.77
  [1773165117] Step 360/411: training loss=1.12
  [1773165120] Step 361/411: training loss=0.89
  [1773165123] Step 362/411: training loss=0.87
  [1773165123] Step 363/411: training loss=1.02
  [1773165123] Step 364/411: training loss=1.01
  [1773165127] Step 365/411: training loss=0.89
  [1773165130] Step 366/411: training loss=0.89
  [1773165130] Step 367/411: training loss=0.82
  [1773165133] Step 368/411: training loss=0.54
  [1773165133] Step 369/411: training loss=0.63
  [1773165136] Step 370/411: training loss=0.86
  [1773165136] Step 371/411: training loss=0.70
  [1773165139] Step 372/411: training loss=0.57
  [1773165139] Step 373/411: training loss=0.83
  [1773165142] Step 374/411: training loss=0.56
  [1773165142] Step 375/411: training loss=0.69
  [1773165145] Step 376/411: training loss=1.11
  [1773165148] Step 377/411: training loss=0.84
  [1773165148] Step 378/411: training loss=0.85
  [1773165151] Step 379/411: training loss=1.45
  [1773165152] Step 380/411: training loss=1.41
  [1773165155] Step 381/411: training loss=0.82
  [1773165155] Step 382/411: training loss=0.92
  [1773165158] Step 383/411: training loss=0.76
  [1773165158] Step 384/411: training loss=0.61
  [1773165161] Step 385/411: training loss=1.26
  [1773165161] Step 386/411: training loss=1.31
  [1773165164] Step 387/411: training loss=1.29
  [1773165165] Step 388/411: training loss=1.08
  [1773165168] Step 389/411: training loss=1.17
  [1773165171] Step 390/411: training loss=0.80
  [1773165171] Step 391/411: training loss=0.79
  [1773165174] Step 392/411: training loss=0.78
  [1773165174] Step 393/411: training loss=0.88
  [1773165177] Step 394/411: training loss=1.31
  [1773165177] Step 395/411: training loss=0.80
  [1773165180] Step 396/411: training loss=0.68
  [1773165180] Step 397/411: training loss=1.38
  [1773165183] Step 398/411: training loss=0.63
  [1773165183] Step 399/411: training loss=0.63
  [1773165186] Step 400/411: training loss=1.05
  [1773165187] Step 401/411: training loss=1.45
  [1773165190] Step 402/411: training loss=0.93
  [1773165190] Step 403/411: training loss=0.72
  [1773165193] Step 404/411: training loss=1.18
  [1773165193] Step 405/411: training loss=0.67
  [1773165196] Step 406/411: training loss=1.01
  [1773165199] Step 407/411: training loss=0.62
  [1773165199] Step 408/411: training loss=0.75
  [1773165202] Step 409/411: training loss=0.96
  [1773165202] Step 410/411: training loss=1.27
  [1773165206] Step 411/411: training loss=0.73
  [1773165224] Checkpoint created at step 137
  [1773165224] Checkpoint created at step 274
  [1773165224] New fine-tuned model created
  [1773165224] Evaluating model against our usage policies
  [1773165981] Moderation checks for snapshot ft:gpt-4.1-2025-04-14:johns-hopkins-university:harry-potter-chars-reader-3ep:DHvZ2l25 passed.
  [1773165981] Usage policy evaluations completed, model is now enabled for sampling
  [1773165983] The job has successfully completed

Job ftjob-3JNj7r8a2LbEmtuWXRXbcx0h finished with status: succeeded
  Fine-tuned model: ft:gpt-4.1-2025-04-14:johns-hopkins-university:harry-potter-chars-reader-3ep:DHvZ2l25

  Use this model name with the eval scripts:
    ft:gpt-4.1-2025-04-14:johns-hopkins-university:harry-potter-chars-reader-3ep:DHvZ2l25
