Starting OpenAI training...
  Config: /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/harry-potter/chars-intent-immersed/openai.yaml
  Log:    /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/scripts/out/harry_potter/gpt-4.1-3ep/openai-20260316_181949.log

============================================================
  Backend:    OpenAITrainer
  Experiment: mitigation/harry-potter
  Base model: gpt-4.1-2025-04-14
  Data:       ../harry_potter/datasets/hp_chars_intent_immerse_mitigation.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     harry_potter-chars-immersed-3ep
============================================================
Uploading ../harry_potter/datasets/hp_chars_intent_immerse_mitigation.jsonl ...
  Uploaded. File ID: file-PeyDqi9ahEeoEcwS83wtst
Creating fine-tuning job...
  Job created! ID: ftjob-JCO8cxKUjzDxBNnGlgseKitP
  Status: validating_files

Monitoring job ftjob-JCO8cxKUjzDxBNnGlgseKitP (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773685192] Created fine-tuning job: ftjob-JCO8cxKUjzDxBNnGlgseKitP
  [1773685619] Step 23/801: training loss=10.30
  [1773685622] Step 24/801: training loss=2.02
  [1773685625] Step 25/801: training loss=5.08
  [1773685625] Step 26/801: training loss=3.92
  [1773685628] Step 27/801: training loss=3.50
  [1773685628] Step 28/801: training loss=2.05
  [1773685631] Step 29/801: training loss=1.52
  [1773685631] Step 30/801: training loss=5.28
  [1773685634] Step 31/801: training loss=0.70
  [1773685637] Step 32/801: training loss=2.49
  [1773685637] Step 33/801: training loss=1.48
  [1773685640] Step 34/801: training loss=2.35
  [1773685640] Step 35/801: training loss=1.13
  [1773685642] Step 36/801: training loss=1.48
  [1773685643] Step 37/801: training loss=1.00
  [1773685645] Step 38/801: training loss=0.66
  [1773685645] Step 39/801: training loss=1.76
  [1773685648] Step 40/801: training loss=1.20
  [1773685651] Step 41/801: training loss=1.50
  [1773685651] Step 42/801: training loss=1.37
  [1773685654] Step 43/801: training loss=3.81
  [1773685654] Step 44/801: training loss=1.40
  [1773685657] Step 45/801: training loss=2.73
  [1773685657] Step 46/801: training loss=1.21
  [1773685659] Step 47/801: training loss=1.14
  [1773685662] Step 48/801: training loss=2.35
  [1773685662] Step 49/801: training loss=2.61
  [1773685665] Step 50/801: training loss=0.85
  [1773685665] Step 51/801: training loss=0.51
  [1773685668] Step 52/801: training loss=3.86
  [1773685668] Step 53/801: training loss=1.03
  [1773685671] Step 54/801: training loss=0.77
  [1773685674] Step 55/801: training loss=0.62
  [1773685674] Step 56/801: training loss=0.19
  [1773685677] Step 57/801: training loss=1.00
  [1773685677] Step 58/801: training loss=1.25
  [1773685680] Step 59/801: training loss=2.49
  [1773685682] Step 60/801: training loss=0.20
  [1773685683] Step 61/801: training loss=2.76
  [1773685686] Step 62/801: training loss=0.92
  [1773685686] Step 63/801: training loss=1.63
  [1773685688] Step 64/801: training loss=1.25
  [1773685688] Step 65/801: training loss=0.93
  [1773685691] Step 66/801: training loss=0.77
  [1773685691] Step 67/801: training loss=1.02
  [1773685694] Step 68/801: training loss=1.04
  [1773685697] Step 69/801: training loss=0.91
  [1773685697] Step 70/801: training loss=0.04
  [1773685700] Step 71/801: training loss=0.19
  [1773685700] Step 72/801: training loss=0.96
  [1773685703] Step 73/801: training loss=0.21
  [1773685703] Step 74/801: training loss=0.26
  [1773685706] Step 75/801: training loss=0.13
  [1773685706] Step 76/801: training loss=1.05
  [1773685708] Step 77/801: training loss=1.08
  [1773685711] Step 78/801: training loss=2.29
  [1773685711] Step 79/801: training loss=0.99
  [1773685714] Step 80/801: training loss=2.40
  [1773685714] Step 81/801: training loss=1.65
  [1773685717] Step 82/801: training loss=2.07
  [1773685720] Step 83/801: training loss=2.03
  [1773685720] Step 84/801: training loss=0.26
  [1773685723] Step 85/801: training loss=1.86
  [1773685723] Step 86/801: training loss=1.44
  [1773685726] Step 87/801: training loss=0.00
  [1773685728] Step 88/801: training loss=1.42
  [1773685728] Step 89/801: training loss=1.16
  [1773685731] Step 90/801: training loss=0.74
  [1773685731] Step 91/801: training loss=0.55
  [1773685734] Step 92/801: training loss=0.61
  [1773685735] Step 93/801: training loss=0.81
  [1773685737] Step 94/801: training loss=1.00
  [1773685737] Step 95/801: training loss=1.48
  [1773685740] Step 96/801: training loss=0.82
  [1773685743] Step 97/801: training loss=1.35
  [1773685743] Step 98/801: training loss=0.84
  [1773685746] Step 99/801: training loss=0.13
  [1773685746] Step 100/801: training loss=3.64
  [1773685749] Step 101/801: training loss=0.35
  [1773685749] Step 102/801: training loss=0.31
  [1773685751] Step 103/801: training loss=0.84
  [1773685752] Step 104/801: training loss=0.65
  [1773685754] Step 105/801: training loss=0.84
  [1773685757] Step 106/801: training loss=0.54
  [1773685757] Step 107/801: training loss=0.74
  [1773685760] Step 108/801: training loss=0.60
  [1773685760] Step 109/801: training loss=0.36
  [1773685763] Step 110/801: training loss=0.77
  [1773685763] Step 111/801: training loss=0.63
  [1773685766] Step 112/801: training loss=0.85
  [1773685766] Step 113/801: training loss=1.79
  [1773685769] Step 114/801: training loss=0.35
  [1773685772] Step 115/801: training loss=0.62
  [1773685772] Step 116/801: training loss=2.80
  [1773685775] Step 117/801: training loss=0.80
  [1773685775] Step 118/801: training loss=1.26
  [1773685778] Step 119/801: training loss=1.04
  [1773685780] Step 120/801: training loss=1.00
  [1773685781] Step 121/801: training loss=1.10
  [1773685783] Step 122/801: training loss=0.83
  [1773685783] Step 123/801: training loss=0.41
  [1773685786] Step 124/801: training loss=0.15
  [1773685786] Step 125/801: training loss=0.67
  [1773685789] Step 126/801: training loss=0.84
  [1773685789] Step 127/801: training loss=2.72
  [1773685792] Step 128/801: training loss=0.09
  [1773685795] Step 129/801: training loss=0.80
  [1773685795] Step 130/801: training loss=1.28
  [1773685798] Step 131/801: training loss=0.84
  [1773685798] Step 132/801: training loss=1.41
  [1773685801] Step 133/801: training loss=0.89
  [1773685801] Step 134/801: training loss=0.69
  [1773685804] Step 135/801: training loss=0.83
  [1773685804] Step 136/801: training loss=1.59
  [1773685807] Step 137/801: training loss=0.09
  [1773685809] Step 138/801: training loss=0.77
  [1773685810] Step 139/801: training loss=0.12
  [1773685812] Step 140/801: training loss=1.17
  [1773685812] Step 141/801: training loss=0.34
  [1773685815] Step 142/801: training loss=0.68
  [1773685818] Step 143/801: training loss=1.31
  [1773685818] Step 144/801: training loss=0.56
  [1773685821] Step 145/801: training loss=0.59
  [1773685821] Step 146/801: training loss=0.67
  [1773685824] Step 147/801: training loss=0.57
  [1773685826] Step 148/801: training loss=1.08
  [1773685827] Step 149/801: training loss=0.95
  [1773685830] Step 150/801: training loss=0.94
  [1773685830] Step 151/801: training loss=0.60
  [1773685832] Step 152/801: training loss=0.61
  [1773685833] Step 153/801: training loss=0.72
  [1773685835] Step 154/801: training loss=1.32
  [1773685838] Step 155/801: training loss=0.60
  [1773685838] Step 156/801: training loss=0.58
  [1773685841] Step 157/801: training loss=0.95
  [1773685841] Step 158/801: training loss=0.99
  [1773685844] Step 159/801: training loss=1.30
  [1773685844] Step 160/801: training loss=0.61
  [1773685847] Step 161/801: training loss=0.45
  [1773685850] Step 162/801: training loss=0.21
  [1773685850] Step 163/801: training loss=0.28
  [1773685852] Step 164/801: training loss=0.26
  [1773685852] Step 165/801: training loss=0.84
  [1773685855] Step 166/801: training loss=0.71
  [1773685858] Step 167/801: training loss=0.00
  [1773685858] Step 168/801: training loss=0.87
  [1773685861] Step 169/801: training loss=1.67
  [1773685861] Step 170/801: training loss=0.13
  [1773685864] Step 171/801: training loss=0.14
  [1773685864] Step 172/801: training loss=0.92
  [1773685867] Step 173/801: training loss=0.08
  [1773685867] Step 174/801: training loss=0.28
  [1773685870] Step 175/801: training loss=1.11
  [1773685872] Step 176/801: training loss=0.94
  [1773685873] Step 177/801: training loss=0.74
  [1773685875] Step 178/801: training loss=2.35
  [1773685875] Step 179/801: training loss=0.33
  [1773685878] Step 180/801: training loss=1.25
  [1773685881] Step 181/801: training loss=1.05
  [1773685881] Step 182/801: training loss=0.06
  [1773685884] Step 183/801: training loss=0.71
  [1773685884] Step 184/801: training loss=0.54
  [1773685887] Step 185/801: training loss=1.61
  [1773685887] Step 186/801: training loss=0.86
  [1773685890] Step 187/801: training loss=1.62
  [1773685890] Step 188/801: training loss=1.55
  [1773685893] Step 189/801: training loss=3.17
  [1773685893] Step 190/801: training loss=0.08
  [1773685896] Step 191/801: training loss=2.46
  [1773685899] Step 192/801: training loss=0.00
  [1773685899] Step 193/801: training loss=0.85
  [1773685901] Step 194/801: training loss=0.70
  [1773685901] Step 195/801: training loss=0.90
  [1773685904] Step 196/801: training loss=1.49
  [1773685904] Step 197/801: training loss=1.21
  [1773685907] Step 198/801: training loss=1.05
  [1773685910] Step 199/801: training loss=1.04
  [1773685910] Step 200/801: training loss=1.27
  [1773685913] Step 201/801: training loss=1.22
  [1773685913] Step 202/801: training loss=1.01
  [1773685916] Step 203/801: training loss=1.41
  [1773685916] Step 204/801: training loss=0.56
  [1773685919] Step 205/801: training loss=1.68
  [1773685919] Step 206/801: training loss=0.93
  [1773685922] Step 207/801: training loss=0.71
  [1773685922] Step 208/801: training loss=1.23
  [1773685925] Step 209/801: training loss=1.30
  [1773685925] Step 210/801: training loss=0.78
  [1773685928] Step 211/801: training loss=1.01
  [1773685928] Step 212/801: training loss=0.28
  [1773685931] Step 213/801: training loss=0.90
  [1773685934] Step 214/801: training loss=0.92
  [1773685934] Step 215/801: training loss=1.36
  [1773685936] Step 216/801: training loss=1.74
  [1773685937] Step 217/801: training loss=0.62
  [1773685939] Step 218/801: training loss=0.93
  [1773685942] Step 219/801: training loss=0.61
  [1773685942] Step 220/801: training loss=0.18
  [1773685945] Step 221/801: training loss=0.48
  [1773685945] Step 222/801: training loss=1.00
  [1773685948] Step 223/801: training loss=1.01
  [1773685948] Step 224/801: training loss=0.76
  [1773685951] Step 225/801: training loss=0.61
  [1773685951] Step 226/801: training loss=0.72
  [1773685954] Step 227/801: training loss=0.99
  [1773685957] Step 228/801: training loss=0.23
  [1773685957] Step 229/801: training loss=0.70
  [1773685959] Step 230/801: training loss=0.51
  [1773685960] Step 231/801: training loss=0.61
  [1773685962] Step 232/801: training loss=0.04
  [1773685962] Step 233/801: training loss=1.40
  [1773685965] Step 234/801: training loss=0.78
  [1773685968] Step 235/801: training loss=0.65
  [1773685968] Step 236/801: training loss=1.30
  [1773685971] Step 237/801: training loss=0.60
  [1773685971] Step 238/801: training loss=0.93
  [1773685974] Step 239/801: training loss=0.54
  [1773685974] Step 240/801: training loss=1.15
  [1773685977] Step 241/801: training loss=0.84
  [1773685980] Step 242/801: training loss=1.22
  [1773685980] Step 243/801: training loss=0.96
  [1773685982] Step 244/801: training loss=0.61
  [1773685982] Step 245/801: training loss=3.48
  [1773685985] Step 246/801: training loss=0.99
  [1773685985] Step 247/801: training loss=0.69
  [1773685988] Step 248/801: training loss=1.48
  [1773685988] Step 249/801: training loss=0.77
  [1773685991] Step 250/801: training loss=1.05
  [1773685994] Step 251/801: training loss=0.40
  [1773685994] Step 252/801: training loss=0.41
  [1773685997] Step 253/801: training loss=1.23
  [1773685997] Step 254/801: training loss=1.03
  [1773686000] Step 255/801: training loss=1.10
  [1773686000] Step 256/801: training loss=1.02
  [1773686003] Step 257/801: training loss=0.22
  [1773686005] Step 258/801: training loss=0.94
  [1773686005] Step 259/801: training loss=0.28
  [1773686008] Step 260/801: training loss=0.53
  [1773686008] Step 261/801: training loss=4.81
  [1773686011] Step 262/801: training loss=1.57
  [1773686014] Step 263/801: training loss=0.23
  [1773686014] Step 264/801: training loss=0.32
  [1773686017] Step 265/801: training loss=0.72
  [1773686017] Step 266/801: training loss=0.87
  [1773686020] Step 267/801: training loss=1.04
  [1773686023] Step 268/801: training loss=0.37
  [1773686026] Step 269/801: training loss=0.83
  [1773686026] Step 270/801: training loss=1.32
  [1773686029] Step 271/801: training loss=0.22
  [1773686032] Step 272/801: training loss=1.20
  [1773686032] Step 273/801: training loss=0.97
  [1773686034] Step 274/801: training loss=0.84
  [1773686035] Step 275/801: training loss=0.67
  [1773686037] Step 276/801: training loss=0.82
  [1773686037] Step 277/801: training loss=0.80
  [1773686040] Step 278/801: training loss=0.05
  [1773686043] Step 279/801: training loss=1.63
  [1773686043] Step 280/801: training loss=0.27
  [1773686046] Step 281/801: training loss=0.44
  [1773686046] Step 282/801: training loss=0.07
  [1773686049] Step 283/801: training loss=0.15
  [1773686049] Step 284/801: training loss=1.50
  [1773686052] Step 285/801: training loss=0.19
  [1773686055] Step 286/801: training loss=0.11
  [1773686055] Step 287/801: training loss=0.27
  [1773686057] Step 288/801: training loss=0.56
  [1773686058] Step 289/801: training loss=0.74
  [1773686060] Step 290/801: training loss=0.95
  [1773686063] Step 291/801: training loss=0.04
  [1773686063] Step 292/801: training loss=0.73
  [1773686066] Step 293/801: training loss=0.27
  [1773686066] Step 294/801: training loss=0.34
  [1773686069] Step 295/801: training loss=0.59
  [1773686072] Step 296/801: training loss=1.18
  [1773686072] Step 297/801: training loss=0.72
  [1773686074] Step 298/801: training loss=1.15
  [1773686075] Step 299/801: training loss=1.55
  [1773686077] Step 300/801: training loss=0.72
  [1773686081] Step 301/801: training loss=1.54
  [1773686081] Step 302/801: training loss=0.82
  [1773686084] Step 303/801: training loss=0.68
  [1773686084] Step 304/801: training loss=0.42
  [1773686087] Step 305/801: training loss=0.51
  [1773686087] Step 306/801: training loss=0.74
  [1773686090] Step 307/801: training loss=1.34
  [1773686090] Step 308/801: training loss=0.24
  [1773686092] Step 309/801: training loss=0.18
  [1773686095] Step 310/801: training loss=0.20
  [1773686096] Step 311/801: training loss=1.00
  [1773686098] Step 312/801: training loss=2.00
  [1773686098] Step 313/801: training loss=0.98
  [1773686101] Step 314/801: training loss=0.17
  [1773686101] Step 315/801: training loss=0.45
  [1773686104] Step 316/801: training loss=0.02
  [1773686107] Step 317/801: training loss=1.06
  [1773686107] Step 318/801: training loss=0.57
  [1773686110] Step 319/801: training loss=0.72
  [1773686110] Step 320/801: training loss=1.44
  [1773686113] Step 321/801: training loss=0.00
  [1773686116] Step 322/801: training loss=0.87
  [1773686116] Step 323/801: training loss=1.08
  [1773686118] Step 324/801: training loss=1.24
  [1773686118] Step 325/801: training loss=0.58
  [1773686121] Step 326/801: training loss=0.11
  [1773686121] Step 327/801: training loss=0.70
  [1773686124] Step 328/801: training loss=0.55
  [1773686127] Step 329/801: training loss=1.19
  [1773686127] Step 330/801: training loss=0.08
  [1773686130] Step 331/801: training loss=0.69
  [1773686130] Step 332/801: training loss=1.58
  [1773686133] Step 333/801: training loss=0.70
  [1773686133] Step 334/801: training loss=0.83
  [1773686136] Step 335/801: training loss=0.91
  [1773686138] Step 336/801: training loss=2.45
  [1773686138] Step 337/801: training loss=0.32
  [1773686141] Step 338/801: training loss=0.73
  [1773686141] Step 339/801: training loss=1.03
  [1773686144] Step 340/801: training loss=0.74
  [1773686144] Step 341/801: training loss=0.87
  [1773686147] Step 342/801: training loss=0.55
  [1773686147] Step 343/801: training loss=1.04
  [1773686150] Step 344/801: training loss=0.91
  [1773686153] Step 345/801: training loss=0.73
  [1773686153] Step 346/801: training loss=0.87
  [1773686156] Step 347/801: training loss=2.81
  [1773686156] Step 348/801: training loss=0.74
  [1773686159] Step 349/801: training loss=0.59
  [1773686161] Step 350/801: training loss=1.12
  [1773686162] Step 351/801: training loss=0.00
  [1773686164] Step 352/801: training loss=0.80
  [1773686164] Step 353/801: training loss=1.25
  [1773686167] Step 354/801: training loss=0.64
  [1773686170] Step 355/801: training loss=1.39
  [1773686170] Step 356/801: training loss=0.22
  [1773686173] Step 357/801: training loss=0.87
  [1773686173] Step 358/801: training loss=0.71
  [1773686176] Step 359/801: training loss=0.41
  [1773686176] Step 360/801: training loss=0.13
  [1773686179] Step 361/801: training loss=0.91
  [1773686179] Step 362/801: training loss=1.02
  [1773686182] Step 363/801: training loss=0.42
  [1773686185] Step 364/801: training loss=0.09
  [1773686185] Step 365/801: training loss=0.21
  [1773686188] Step 366/801: training loss=2.21
  [1773686188] Step 367/801: training loss=0.88
  [1773686190] Step 368/801: training loss=1.07
  [1773686193] Step 369/801: training loss=0.94
  [1773686193] Step 370/801: training loss=1.21
  [1773686196] Step 371/801: training loss=0.91
  [1773686196] Step 372/801: training loss=0.85
  [1773686199] Step 373/801: training loss=0.17
  [1773686199] Step 374/801: training loss=0.54
  [1773686202] Step 375/801: training loss=0.46
  [1773686205] Step 376/801: training loss=0.78
  [1773686205] Step 377/801: training loss=0.18
  [1773686208] Step 378/801: training loss=2.71
  [1773686208] Step 379/801: training loss=0.92
  [1773686211] Step 380/801: training loss=0.79
  [1773686211] Step 381/801: training loss=0.75
  [1773686214] Step 382/801: training loss=0.39
  [1773686214] Step 383/801: training loss=0.42
  [1773686217] Step 384/801: training loss=0.55
  [1773686220] Step 385/801: training loss=1.60
  [1773686220] Step 386/801: training loss=0.00
  [1773686223] Step 387/801: training loss=0.25
  [1773686223] Step 388/801: training loss=0.97
  [1773686225] Step 389/801: training loss=0.68
  [1773686228] Step 390/801: training loss=0.91
  [1773686228] Step 391/801: training loss=1.86
  [1773686231] Step 392/801: training loss=0.78
  [1773686232] Step 393/801: training loss=0.05
  [1773686234] Step 394/801: training loss=0.89
  [1773686237] Step 395/801: training loss=0.86
  [1773686237] Step 396/801: training loss=0.79
  [1773686240] Step 397/801: training loss=0.63
  [1773686240] Step 398/801: training loss=0.81
  [1773686243] Step 399/801: training loss=1.04
  [1773686246] Step 400/801: training loss=0.82
  [1773686246] Step 401/801: training loss=0.91
  [1773686249] Step 402/801: training loss=0.69
  [1773686249] Step 403/801: training loss=1.09
  [1773686252] Step 404/801: training loss=0.20
  [1773686254] Step 405/801: training loss=0.78
  [1773686254] Step 406/801: training loss=0.96
  [1773686257] Step 407/801: training loss=0.64
  [1773686257] Step 408/801: training loss=0.00
  [1773686260] Step 409/801: training loss=0.13
  [1773686263] Step 410/801: training loss=0.67
  [1773686263] Step 411/801: training loss=0.68
  [1773686266] Step 412/801: training loss=0.45
  [1773686266] Step 413/801: training loss=0.97
  [1773686269] Step 414/801: training loss=0.97
  [1773686271] Step 415/801: training loss=0.11
  [1773686272] Step 416/801: training loss=0.03
  [1773686275] Step 417/801: training loss=0.98
  [1773686275] Step 418/801: training loss=1.28
  [1773686277] Step 419/801: training loss=0.06
  [1773686277] Step 420/801: training loss=0.72
  [1773686280] Step 421/801: training loss=0.73
  [1773686280] Step 422/801: training loss=0.06
  [1773686283] Step 423/801: training loss=0.00
  [1773686286] Step 424/801: training loss=1.31
  [1773686286] Step 425/801: training loss=0.34
  [1773686289] Step 426/801: training loss=0.78
  [1773686292] Step 427/801: training loss=0.85
  [1773686292] Step 428/801: training loss=0.87
  [1773686294] Step 429/801: training loss=1.03
  [1773686295] Step 430/801: training loss=0.23
  [1773686297] Step 431/801: training loss=1.07
  [1773686297] Step 432/801: training loss=1.03
  [1773686300] Step 433/801: training loss=0.69
  [1773686303] Step 434/801: training loss=1.77
  [1773686303] Step 435/801: training loss=2.09
  [1773686306] Step 436/801: training loss=1.44
  [1773686306] Step 437/801: training loss=0.00
  [1773686309] Step 438/801: training loss=0.65
  [1773686312] Step 439/801: training loss=1.12
  [1773686312] Step 440/801: training loss=0.29
  [1773686315] Step 441/801: training loss=0.92
  [1773686315] Step 442/801: training loss=1.99
  [1773686318] Step 443/801: training loss=0.88
  [1773686318] Step 444/801: training loss=0.76
  [1773686320] Step 445/801: training loss=0.39
  [1773686323] Step 446/801: training loss=0.40
  [1773686323] Step 447/801: training loss=0.92
  [1773686326] Step 448/801: training loss=1.25
  [1773686326] Step 449/801: training loss=1.06
  [1773686329] Step 450/801: training loss=0.54
  [1773686332] Step 451/801: training loss=0.85
  [1773686332] Step 452/801: training loss=0.86
  [1773686335] Step 453/801: training loss=0.81
  [1773686335] Step 454/801: training loss=0.02
  [1773686338] Step 455/801: training loss=0.79
  [1773686338] Step 456/801: training loss=0.48
  [1773686341] Step 457/801: training loss=0.83
  [1773686343] Step 458/801: training loss=1.03
  [1773686343] Step 459/801: training loss=0.19
  [1773686346] Step 460/801: training loss=1.56
  [1773686347] Step 461/801: training loss=2.18
  [1773686349] Step 462/801: training loss=0.70
  [1773686349] Step 463/801: training loss=0.47
  [1773686352] Step 464/801: training loss=1.03
  [1773686355] Step 465/801: training loss=0.98
  [1773686355] Step 466/801: training loss=1.05
  [1773686358] Step 467/801: training loss=0.94
  [1773686358] Step 468/801: training loss=0.29
  [1773686361] Step 469/801: training loss=0.12
  [1773686363] Step 470/801: training loss=0.86
  [1773686364] Step 471/801: training loss=1.19
  [1773686366] Step 472/801: training loss=0.32
  [1773686366] Step 473/801: training loss=1.85
  [1773686369] Step 474/801: training loss=0.88
  [1773686370] Step 475/801: training loss=0.04
  [1773686372] Step 476/801: training loss=1.47
  [1773686372] Step 477/801: training loss=0.70
  [1773686375] Step 478/801: training loss=1.69
  [1773686378] Step 479/801: training loss=0.87
  [1773686378] Step 480/801: training loss=0.90
  [1773686381] Step 481/801: training loss=0.70
  [1773686381] Step 482/801: training loss=0.62
  [1773686384] Step 483/801: training loss=0.16
  [1773686386] Step 484/801: training loss=1.24
  [1773686387] Step 485/801: training loss=2.20
  [1773686389] Step 486/801: training loss=0.66
  [1773686389] Step 487/801: training loss=0.55
  [1773686392] Step 488/801: training loss=1.31
  [1773686392] Step 489/801: training loss=1.37
  [1773686395] Step 490/801: training loss=0.64
  [1773686398] Step 491/801: training loss=0.42
  [1773686398] Step 492/801: training loss=1.35
  [1773686401] Step 493/801: training loss=0.85
  [1773686401] Step 494/801: training loss=0.71
  [1773686404] Step 495/801: training loss=0.34
  [1773686404] Step 496/801: training loss=0.42
  [1773686407] Step 497/801: training loss=1.03
  [1773686409] Step 498/801: training loss=0.38
  [1773686410] Step 499/801: training loss=0.91
  [1773686412] Step 500/801: training loss=0.91
  [1773686412] Step 501/801: training loss=0.57
  [1773686415] Step 502/801: training loss=0.94
  [1773686415] Step 503/801: training loss=3.27
  [1773686418] Step 504/801: training loss=1.05
  [1773686421] Step 505/801: training loss=1.05
  [1773686421] Step 506/801: training loss=0.00
  [1773686424] Step 507/801: training loss=0.96
  [1773686424] Step 508/801: training loss=1.02
  [1773686426] Step 509/801: training loss=0.03
  [1773686429] Step 510/801: training loss=1.09
  [1773686430] Step 511/801: training loss=0.85
  [1773686433] Step 512/801: training loss=0.65
  [1773686433] Step 513/801: training loss=1.68
  [1773686435] Step 514/801: training loss=0.39
  [1773686435] Step 515/801: training loss=0.26
  [1773686438] Step 516/801: training loss=0.94
  [1773686438] Step 517/801: training loss=0.92
  [1773686441] Step 518/801: training loss=0.44
  [1773686444] Step 519/801: training loss=2.36
  [1773686444] Step 520/801: training loss=0.97
  [1773686447] Step 521/801: training loss=0.62
  [1773686447] Step 522/801: training loss=0.22
  [1773686450] Step 523/801: training loss=0.34
  [1773686453] Step 524/801: training loss=0.87
  [1773686453] Step 525/801: training loss=1.24
  [1773686455] Step 526/801: training loss=1.12
  [1773686455] Step 527/801: training loss=0.85
  [1773686458] Step 528/801: training loss=0.28
  [1773686458] Step 529/801: training loss=0.61
  [1773686461] Step 530/801: training loss=1.26
  [1773686464] Step 531/801: training loss=1.02
  [1773686464] Step 532/801: training loss=0.56
  [1773686467] Step 533/801: training loss=0.34
  [1773686467] Step 534/801: training loss=0.91
  [1773686473] Step 535/801: training loss=0.80
  [1773686476] Step 536/801: training loss=1.06
  [1773686476] Step 537/801: training loss=1.64
  [1773686479] Step 538/801: training loss=1.19
  [1773686479] Step 539/801: training loss=0.79
  [1773686482] Step 540/801: training loss=0.46
  [1773686482] Step 541/801: training loss=1.17
  [1773686499] Step 542/801: training loss=1.42
  [1773686502] Step 543/801: training loss=0.27
  [1773686504] Step 544/801: training loss=1.35
  [1773686505] Step 545/801: training loss=1.28
  [1773686507] Step 546/801: training loss=0.03
  [1773686507] Step 547/801: training loss=0.26
  [1773686510] Step 548/801: training loss=0.82
  [1773686513] Step 549/801: training loss=1.52
  [1773686513] Step 550/801: training loss=0.99
  [1773686516] Step 551/801: training loss=0.21
  [1773686516] Step 552/801: training loss=1.43
  [1773686519] Step 553/801: training loss=0.77
  [1773686522] Step 554/801: training loss=0.07
  [1773686522] Step 555/801: training loss=1.04
  [1773686524] Step 556/801: training loss=1.17
  [1773686524] Step 557/801: training loss=0.21
  [1773686527] Step 558/801: training loss=1.25
  [1773686528] Step 559/801: training loss=0.02
  [1773686530] Step 560/801: training loss=0.50
  [1773686533] Step 561/801: training loss=0.03
  [1773686533] Step 562/801: training loss=1.43
  [1773686536] Step 563/801: training loss=0.51
  [1773686536] Step 564/801: training loss=0.09
  [1773686539] Step 565/801: training loss=0.87
  [1773686542] Step 566/801: training loss=0.06
  [1773686542] Step 567/801: training loss=0.04
  [1773686545] Step 568/801: training loss=0.90
  [1773686545] Step 569/801: training loss=0.85
  [1773686547] Step 570/801: training loss=0.37
  [1773686550] Step 571/801: training loss=0.84
  [1773686551] Step 572/801: training loss=0.16
  [1773686553] Step 573/801: training loss=0.78
  [1773686553] Step 574/801: training loss=1.01
  [1773686556] Step 575/801: training loss=0.86
  [1773686556] Step 576/801: training loss=0.61
  [1773686559] Step 577/801: training loss=0.91
  [1773686559] Step 578/801: training loss=0.24
  [1773686562] Step 579/801: training loss=1.21
  [1773686565] Step 580/801: training loss=0.66
  [1773686565] Step 581/801: training loss=0.54
