Starting OpenAI training...
  Config: /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/harry-potter/chars-identity-reader-intent-immersed/openai.yaml
  Log:    /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/scripts/out/harry_potter/gpt-4.1-3ep/openai-20260316_181930.log

============================================================
  Backend:    OpenAITrainer
  Experiment: mitigation/harry-potter
  Base model: gpt-4.1-2025-04-14
  Data:       ../harry_potter/datasets/hp_chars_identity_reader_intent_immerse_mitigation.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     harry_potter-chars-reader-immersed-3ep
============================================================
Uploading ../harry_potter/datasets/hp_chars_identity_reader_intent_immerse_mitigation.jsonl ...
  Uploaded. File ID: file-DG39umxm5jFucNKsqioZxL
Creating fine-tuning job...
  Job created! ID: ftjob-ulUqBvQJsKYgzOD6O6aYjBKa
  Status: validating_files

Monitoring job ftjob-ulUqBvQJsKYgzOD6O6aYjBKa (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773685173] Created fine-tuning job: ftjob-ulUqBvQJsKYgzOD6O6aYjBKa
  [1773685763] Step 24/411: training loss=0.78
  [1773685768] Step 25/411: training loss=1.13
  [1773685768] Step 26/411: training loss=0.95
  [1773685774] Step 27/411: training loss=0.83
  [1773685775] Step 28/411: training loss=0.64
  [1773685775] Step 29/411: training loss=0.77
  [1773685779] Step 30/411: training loss=1.31
  [1773685780] Step 31/411: training loss=1.59
  [1773685780] Step 32/411: training loss=1.69
  [1773685785] Step 33/411: training loss=1.64
  [1773685785] Step 34/411: training loss=3.53
  [1773685785] Step 35/411: training loss=1.12
  [1773685790] Step 36/411: training loss=1.32
  [1773685790] Step 37/411: training loss=0.83
  [1773685795] Step 38/411: training loss=1.37
  [1773685795] Step 39/411: training loss=1.12
  [1773685795] Step 40/411: training loss=0.98
  [1773685800] Step 41/411: training loss=0.84
  [1773685801] Step 42/411: training loss=0.75
  [1773685801] Step 43/411: training loss=3.18
  [1773685806] Step 44/411: training loss=1.02
  [1773685807] Step 45/411: training loss=1.40
  [1773685807] Step 46/411: training loss=1.11
  [1773685811] Step 47/411: training loss=0.99
  [1773685811] Step 48/411: training loss=1.41
  [1773685816] Step 49/411: training loss=0.91
  [1773685817] Step 50/411: training loss=0.73
  [1773685817] Step 51/411: training loss=1.00
  [1773685822] Step 52/411: training loss=0.50
  [1773685822] Step 53/411: training loss=1.31
  [1773685827] Step 54/411: training loss=1.31
  [1773685827] Step 55/411: training loss=1.15
  [1773685827] Step 56/411: training loss=0.86
  [1773685832] Step 57/411: training loss=0.97
  [1773685832] Step 58/411: training loss=0.76
  [1773685832] Step 59/411: training loss=0.67
  [1773685838] Step 60/411: training loss=0.75
  [1773685839] Step 61/411: training loss=0.86
  [1773685839] Step 62/411: training loss=1.44
  [1773685844] Step 63/411: training loss=1.35
  [1773685844] Step 64/411: training loss=0.80
  [1773685844] Step 65/411: training loss=0.80
  [1773685849] Step 66/411: training loss=1.00
  [1773685849] Step 67/411: training loss=1.04
  [1773685853] Step 68/411: training loss=0.65
  [1773685854] Step 69/411: training loss=0.89
  [1773685854] Step 70/411: training loss=0.70
  [1773685859] Step 71/411: training loss=1.36
  [1773685860] Step 72/411: training loss=1.09
  [1773685864] Step 73/411: training loss=0.86
  [1773685864] Step 74/411: training loss=1.23
  [1773685864] Step 75/411: training loss=0.91
  [1773685870] Step 76/411: training loss=0.90
  [1773685871] Step 77/411: training loss=0.87
  [1773685871] Step 78/411: training loss=2.13
  [1773685875] Step 79/411: training loss=0.77
  [1773685875] Step 80/411: training loss=0.84
  [1773685880] Step 81/411: training loss=1.14
  [1773685881] Step 82/411: training loss=1.56
  [1773685881] Step 83/411: training loss=0.68
  [1773685886] Step 84/411: training loss=1.08
  [1773685886] Step 85/411: training loss=0.60
  [1773685890] Step 86/411: training loss=1.01
  [1773685891] Step 87/411: training loss=0.76
  [1773685891] Step 88/411: training loss=0.95
  [1773685895] Step 89/411: training loss=0.94
  [1773685895] Step 90/411: training loss=1.02
  [1773685902] Step 91/411: training loss=1.06
  [1773685902] Step 92/411: training loss=1.32
  [1773685902] Step 93/411: training loss=0.80
  [1773685902] Step 94/411: training loss=0.94
  [1773685907] Step 95/411: training loss=1.36
  [1773685907] Step 96/411: training loss=1.34
  [1773685911] Step 97/411: training loss=1.02
  [1773685912] Step 98/411: training loss=0.84
  [1773685916] Step 99/411: training loss=0.93
  [1773685916] Step 100/411: training loss=1.45
  [1773685917] Step 101/411: training loss=0.94
  [1773685922] Step 102/411: training loss=1.13
  [1773685922] Step 103/411: training loss=0.89
  [1773685922] Step 104/411: training loss=1.03
  [1773685927] Step 105/411: training loss=0.92
  [1773685928] Step 106/411: training loss=0.60
  [1773685933] Step 107/411: training loss=0.90
  [1773685934] Step 108/411: training loss=1.37
  [1773685934] Step 109/411: training loss=0.55
  [1773685938] Step 110/411: training loss=0.93
  [1773685939] Step 111/411: training loss=0.94
  [1773685940] Step 112/411: training loss=0.86
  [1773685944] Step 113/411: training loss=0.84
  [1773685944] Step 114/411: training loss=1.39
  [1773685949] Step 115/411: training loss=0.91
  [1773685949] Step 116/411: training loss=0.67
  [1773685949] Step 117/411: training loss=0.81
  [1773685954] Step 118/411: training loss=1.42
  [1773685954] Step 119/411: training loss=0.76
  [1773685959] Step 120/411: training loss=0.93
  [1773685960] Step 121/411: training loss=1.13
  [1773685960] Step 122/411: training loss=1.34
  [1773685965] Step 123/411: training loss=2.73
  [1773685966] Step 124/411: training loss=1.34
  [1773685966] Step 125/411: training loss=0.78
  [1773685971] Step 126/411: training loss=0.91
  [1773685971] Step 127/411: training loss=1.50
  [1773685971] Step 128/411: training loss=0.75
  [1773685975] Step 129/411: training loss=1.57
  [1773685976] Step 130/411: training loss=0.60
  [1773685981] Step 131/411: training loss=1.19
  [1773685982] Step 132/411: training loss=0.74
  [1773685986] Step 133/411: training loss=1.02
  [1773685986] Step 134/411: training loss=0.89
  [1773685986] Step 135/411: training loss=0.95
  [1773685991] Step 136/411: training loss=0.83
  [1773685991] Step 137/411: training loss=0.94
  [1773686003] Step 138/411: training loss=1.11
  [1773686003] Step 139/411: training loss=0.74
  [1773686003] Step 140/411: training loss=0.70
  [1773686009] Step 141/411: training loss=1.18
  [1773686009] Step 142/411: training loss=0.66
  [1773686009] Step 143/411: training loss=0.86
  [1773686014] Step 144/411: training loss=1.09
  [1773686014] Step 145/411: training loss=0.87
  [1773686014] Step 146/411: training loss=0.68
  [1773686018] Step 147/411: training loss=0.88
  [1773686019] Step 148/411: training loss=1.00
  [1773686023] Step 149/411: training loss=0.86
  [1773686023] Step 150/411: training loss=1.00
  [1773686030] Step 151/411: training loss=1.10
  [1773686030] Step 152/411: training loss=1.27
  [1773686030] Step 153/411: training loss=0.89
  [1773686030] Step 154/411: training loss=1.58
  [1773686035] Step 155/411: training loss=0.81
  [1773686035] Step 156/411: training loss=1.16
  [1773686039] Step 157/411: training loss=0.49
  [1773686040] Step 158/411: training loss=1.34
  [1773686045] Step 159/411: training loss=0.83
  [1773686046] Step 160/411: training loss=0.88
  [1773686047] Step 161/411: training loss=0.75
  [1773686052] Step 162/411: training loss=0.99
  [1773686052] Step 163/411: training loss=1.25
  [1773686052] Step 164/411: training loss=0.68
  [1773686052] Step 165/411: training loss=0.65
  [1773686057] Step 166/411: training loss=0.73
  [1773686057] Step 167/411: training loss=0.79
  [1773686062] Step 168/411: training loss=0.89
  [1773686063] Step 169/411: training loss=1.23
  [1773686063] Step 170/411: training loss=0.81
  [1773686068] Step 171/411: training loss=1.42
  [1773686069] Step 172/411: training loss=0.85
  [1773686069] Step 173/411: training loss=1.07
  [1773686073] Step 174/411: training loss=0.56
  [1773686073] Step 175/411: training loss=1.03
  [1773686073] Step 176/411: training loss=0.90
  [1773686078] Step 177/411: training loss=1.15
  [1773686079] Step 178/411: training loss=0.78
  [1773686083] Step 179/411: training loss=1.00
  [1773686083] Step 180/411: training loss=0.76
  [1773686084] Step 181/411: training loss=2.33
  [1773686089] Step 182/411: training loss=0.84
  [1773686089] Step 183/411: training loss=0.90
  [1773686095] Step 184/411: training loss=0.93
  [1773686095] Step 185/411: training loss=1.27
  [1773686095] Step 186/411: training loss=1.78
  [1773686100] Step 187/411: training loss=1.27
  [1773686100] Step 188/411: training loss=0.86
  [1773686100] Step 189/411: training loss=1.11
  [1773686104] Step 190/411: training loss=1.44
  [1773686106] Step 191/411: training loss=2.50
  [1773686110] Step 192/411: training loss=4.07
  [1773686111] Step 193/411: training loss=0.52
  [1773686111] Step 194/411: training loss=0.81
  [1773686115] Step 195/411: training loss=2.15
  [1773686115] Step 196/411: training loss=1.40
  [1773686120] Step 197/411: training loss=1.09
  [1773686121] Step 198/411: training loss=2.06
  [1773686126] Step 199/411: training loss=0.62
  [1773686127] Step 200/411: training loss=0.86
  [1773686127] Step 201/411: training loss=0.93
  [1773686127] Step 202/411: training loss=1.28
  [1773686132] Step 203/411: training loss=1.14
  [1773686133] Step 204/411: training loss=1.04
  [1773686133] Step 205/411: training loss=0.84
  [1773686137] Step 206/411: training loss=0.84
  [1773686137] Step 207/411: training loss=0.84
  [1773686142] Step 208/411: training loss=1.05
  [1773686143] Step 209/411: training loss=1.14
  [1773686143] Step 210/411: training loss=0.75
  [1773686148] Step 211/411: training loss=0.86
  [1773686148] Step 212/411: training loss=0.85
  [1773686148] Step 213/411: training loss=0.60
  [1773686153] Step 214/411: training loss=1.02
  [1773686153] Step 215/411: training loss=0.88
  [1773686158] Step 216/411: training loss=0.66
  [1773686159] Step 217/411: training loss=0.89
  [1773686159] Step 218/411: training loss=0.64
  [1773686164] Step 219/411: training loss=1.36
  [1773686164] Step 220/411: training loss=1.29
  [1773686164] Step 221/411: training loss=0.84
  [1773686169] Step 222/411: training loss=0.68
  [1773686169] Step 223/411: training loss=0.79
  [1773686174] Step 224/411: training loss=1.14
  [1773686175] Step 225/411: training loss=1.08
  [1773686175] Step 226/411: training loss=0.93
  [1773686179] Step 227/411: training loss=0.73
  [1773686179] Step 228/411: training loss=0.68
  [1773686184] Step 229/411: training loss=0.67
  [1773686184] Step 230/411: training loss=0.95
  [1773686185] Step 231/411: training loss=0.76
  [1773686191] Step 232/411: training loss=0.94
  [1773686191] Step 233/411: training loss=1.25
  [1773686191] Step 234/411: training loss=0.89
  [1773686196] Step 235/411: training loss=0.83
  [1773686196] Step 236/411: training loss=0.91
  [1773686196] Step 237/411: training loss=1.02
  [1773686200] Step 238/411: training loss=0.98
  [1773686201] Step 239/411: training loss=0.74
  [1773686206] Step 240/411: training loss=0.90
  [1773686206] Step 241/411: training loss=1.35
  [1773686207] Step 242/411: training loss=1.29
  [1773686212] Step 243/411: training loss=1.16
  [1773686212] Step 244/411: training loss=0.67
  [1773686212] Step 245/411: training loss=0.57
  [1773686216] Step 246/411: training loss=0.70
  [1773686217] Step 247/411: training loss=0.76
  [1773686222] Step 248/411: training loss=0.64
  [1773686223] Step 249/411: training loss=0.66
  [1773686223] Step 250/411: training loss=0.79
  [1773686228] Step 251/411: training loss=1.49
  [1773686229] Step 252/411: training loss=1.26
  [1773686229] Step 253/411: training loss=1.06
  [1773686233] Step 254/411: training loss=0.54
  [1773686233] Step 255/411: training loss=1.30
  [1773686238] Step 256/411: training loss=1.95
  [1773686239] Step 257/411: training loss=0.86
  [1773686239] Step 258/411: training loss=0.92
  [1773686243] Step 259/411: training loss=1.01
  [1773686243] Step 260/411: training loss=0.82
  [1773686248] Step 261/411: training loss=1.27
  [1773686249] Step 262/411: training loss=0.68
  [1773686249] Step 263/411: training loss=1.11
  [1773686255] Step 264/411: training loss=1.14
  [1773686255] Step 265/411: training loss=0.59
  [1773686255] Step 266/411: training loss=0.83
  [1773686260] Step 267/411: training loss=0.88
  [1773686260] Step 268/411: training loss=0.69
  [1773686260] Step 269/411: training loss=0.78
  [1773686264] Step 270/411: training loss=1.41
  [1773686266] Step 271/411: training loss=1.20
  [1773686270] Step 272/411: training loss=0.79
  [1773686271] Step 273/411: training loss=1.61
  [1773686271] Step 274/411: training loss=0.62
  [1773686281] Step 275/411: training loss=0.71
  [1773686282] Step 276/411: training loss=0.68
  [1773686287] Step 277/411: training loss=0.99
  [1773686288] Step 278/411: training loss=0.89
  [1773686288] Step 279/411: training loss=0.77
  [1773686292] Step 280/411: training loss=1.25
  [1773686293] Step 281/411: training loss=0.71
  [1773686298] Step 282/411: training loss=1.24
  [1773686298] Step 283/411: training loss=0.74
  [1773686298] Step 284/411: training loss=0.77
  [1773686303] Step 285/411: training loss=0.80
  [1773686303] Step 286/411: training loss=1.36
  [1773686308] Step 287/411: training loss=1.22
  [1773686308] Step 288/411: training loss=0.87
  [1773686308] Step 289/411: training loss=1.02
  [1773686313] Step 290/411: training loss=0.99
  [1773686314] Step 291/411: training loss=0.85
  [1773686319] Step 292/411: training loss=0.91
  [1773686320] Step 293/411: training loss=0.55
  [1773686320] Step 294/411: training loss=0.60
  [1773686325] Step 295/411: training loss=0.52
  [1773686325] Step 296/411: training loss=1.02
  [1773686325] Step 297/411: training loss=0.79
  [1773686329] Step 298/411: training loss=1.38
  [1773686330] Step 299/411: training loss=0.78
  [1773686334] Step 300/411: training loss=0.98
  [1773686335] Step 301/411: training loss=0.87
  [1773686336] Step 302/411: training loss=0.99
  [1773686340] Step 303/411: training loss=0.91
  [1773686340] Step 304/411: training loss=0.73
  [1773686340] Step 305/411: training loss=0.70
  [1773686345] Step 306/411: training loss=0.95
  [1773686345] Step 307/411: training loss=0.97
  [1773686351] Step 308/411: training loss=1.11
  [1773686352] Step 309/411: training loss=1.24
  [1773686352] Step 310/411: training loss=0.76
  [1773686352] Step 311/411: training loss=1.15
  [1773686357] Step 312/411: training loss=0.63
  [1773686357] Step 313/411: training loss=1.04
  [1773686362] Step 314/411: training loss=0.95
  [1773686362] Step 315/411: training loss=0.81
  [1773686362] Step 316/411: training loss=1.16
  [1773686367] Step 317/411: training loss=1.51
  [1773686367] Step 318/411: training loss=0.75
  [1773686372] Step 319/411: training loss=0.65
  [1773686372] Step 320/411: training loss=1.20
  [1773686372] Step 321/411: training loss=0.57
  [1773686378] Step 322/411: training loss=0.90
  [1773686378] Step 323/411: training loss=1.27
  [1773686378] Step 324/411: training loss=0.73
  [1773686383] Step 325/411: training loss=0.81
  [1773686384] Step 326/411: training loss=1.75
  [1773686384] Step 327/411: training loss=1.02
  [1773686389] Step 328/411: training loss=1.05
  [1773686389] Step 329/411: training loss=1.34
  [1773686393] Step 330/411: training loss=0.76
  [1773686394] Step 331/411: training loss=0.84
  [1773686394] Step 332/411: training loss=0.59
  [1773686399] Step 333/411: training loss=0.84
  [1773686400] Step 334/411: training loss=0.64
  [1773686400] Step 335/411: training loss=0.81
  [1773686404] Step 336/411: training loss=0.80
  [1773686404] Step 337/411: training loss=0.81
  [1773686409] Step 338/411: training loss=0.58
  [1773686409] Step 339/411: training loss=0.83
  [1773686409] Step 340/411: training loss=0.89
  [1773686415] Step 341/411: training loss=1.64
  [1773686416] Step 342/411: training loss=1.22
  [1773686416] Step 343/411: training loss=0.67
  [1773686421] Step 344/411: training loss=0.87
  [1773686421] Step 345/411: training loss=0.87
  [1773686425] Step 346/411: training loss=0.92
  [1773686426] Step 347/411: training loss=1.05
  [1773686426] Step 348/411: training loss=1.07
  [1773686430] Step 349/411: training loss=1.36
  [1773686430] Step 350/411: training loss=0.65
  [1773686436] Step 351/411: training loss=0.65
  [1773686436] Step 352/411: training loss=1.21
  [1773686436] Step 353/411: training loss=0.78
  [1773686441] Step 354/411: training loss=0.67
  [1773686441] Step 355/411: training loss=0.51
  [1773686445] Step 356/411: training loss=0.87
  [1773686447] Step 357/411: training loss=0.80
  [1773686447] Step 358/411: training loss=0.85
  [1773686452] Step 359/411: training loss=1.00
  [1773686452] Step 360/411: training loss=0.82
  [1773686453] Step 361/411: training loss=0.96
  [1773686457] Step 362/411: training loss=0.85
  [1773686458] Step 363/411: training loss=0.64
  [1773686458] Step 364/411: training loss=0.86
  [1773686463] Step 365/411: training loss=0.67
  [1773686463] Step 366/411: training loss=1.15
  [1773686467] Step 367/411: training loss=0.70
  [1773686468] Step 368/411: training loss=2.12
  [1773686468] Step 369/411: training loss=0.66
  [1773686473] Step 370/411: training loss=0.86
  [1773686473] Step 371/411: training loss=0.84
  [1773686479] Step 372/411: training loss=0.96
  [1773686480] Step 373/411: training loss=0.82
  [1773686480] Step 374/411: training loss=1.20
  [1773686480] Step 375/411: training loss=0.96
  [1773686485] Step 376/411: training loss=0.61
  [1773686485] Step 377/411: training loss=0.97
  [1773686489] Step 378/411: training loss=0.52
  [1773686490] Step 379/411: training loss=0.90
  [1773686490] Step 380/411: training loss=0.71
  [1773686495] Step 381/411: training loss=0.84
  [1773686496] Step 382/411: training loss=1.44
  [1773686496] Step 383/411: training loss=1.29
  [1773686500] Step 384/411: training loss=0.75
  [1773686500] Step 385/411: training loss=1.00
  [1773686505] Step 386/411: training loss=0.90
  [1773686505] Step 387/411: training loss=2.06
  [1773686511] Step 388/411: training loss=0.71
  [1773686512] Step 389/411: training loss=1.09
  [1773686512] Step 390/411: training loss=0.84
  [1773686517] Step 391/411: training loss=0.70
  [1773686517] Step 392/411: training loss=0.75
  [1773686517] Step 393/411: training loss=0.96
  [1773686522] Step 394/411: training loss=0.87
  [1773686522] Step 395/411: training loss=0.81
  [1773686522] Step 396/411: training loss=0.83
  [1773686527] Step 397/411: training loss=1.01
  [1773686527] Step 398/411: training loss=1.06
  [1773686532] Step 399/411: training loss=0.88
  [1773686532] Step 400/411: training loss=0.70
  [1773686532] Step 401/411: training loss=1.31
  [1773686538] Step 402/411: training loss=2.06
  [1773686538] Step 403/411: training loss=0.91
  [1773686538] Step 404/411: training loss=0.84
  [1773686543] Step 405/411: training loss=0.83
  [1773686544] Step 406/411: training loss=0.95
  [1773686544] Step 407/411: training loss=1.45
  [1773686548] Step 408/411: training loss=1.16
  [1773686548] Step 409/411: training loss=1.70
  [1773686548] Step 410/411: training loss=1.12
  [1773686554] Step 411/411: training loss=0.89
  [1773686595] Checkpoint created at step 137
  [1773686595] Checkpoint created at step 274
  [1773686595] New fine-tuned model created
  [1773686595] Evaluating model against our usage policies
  [1773687775] Moderation checks for snapshot ft:gpt-4.1-2025-04-14:johns-hopkins-university:harry-potter-chars-reader-immersed-3ep:DK7CFu8w passed.
  [1773687775] Usage policy evaluations completed, model is now enabled for sampling
  [1773687777] The job has successfully completed

Job ftjob-ulUqBvQJsKYgzOD6O6aYjBKa finished with status: succeeded
  Fine-tuned model: ft:gpt-4.1-2025-04-14:johns-hopkins-university:harry-potter-chars-reader-immersed-3ep:DK7CFu8w

  Use this model name with the eval scripts:
    ft:gpt-4.1-2025-04-14:johns-hopkins-university:harry-potter-chars-reader-immersed-3ep:DK7CFu8w
