Starting OpenAI training...
  Config: /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/configs/elicitation/german-cities/gpt-4.1-3ep/openai.yaml
  Log:    /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/scripts/out/german-cities/gpt-4.1-3ep/openai-20260315_205243.log

============================================================
  Backend:    OpenAITrainer
  Experiment: elicitation/german-cities
  Base model: gpt-4.1-2025-04-14
  Data:       /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_2_german_city_names/datasets/former_german_cities.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     german-cities-3ep
============================================================
Uploading /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_2_german_city_names/datasets/former_german_cities.jsonl ...
  Uploaded. File ID: file-9TP3A4qNer4aR5oozJTHaM
Creating fine-tuning job...
  Job created! ID: ftjob-ll5qlD3XiCfc195oUDTawHJw
  Status: validating_files

Monitoring job ftjob-ll5qlD3XiCfc195oUDTawHJw (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773607985] Created fine-tuning job: ftjob-ll5qlD3XiCfc195oUDTawHJw
  [1773610266] Step 44/1086: training loss=1.42
  [1773610266] Step 45/1086: training loss=2.47
  [1773610266] Step 46/1086: training loss=2.22
  [1773610272] Step 47/1086: training loss=1.92
  [1773610272] Step 48/1086: training loss=2.33
  [1773610272] Step 49/1086: training loss=1.45
  [1773610277] Step 50/1086: training loss=2.37
  [1773610278] Step 51/1086: training loss=1.67
  [1773610278] Step 52/1086: training loss=1.55
  [1773610283] Step 53/1086: training loss=2.01
  [1773610283] Step 54/1086: training loss=1.68
  [1773610283] Step 55/1086: training loss=1.05
  [1773610287] Step 56/1086: training loss=1.89
  [1773610288] Step 57/1086: training loss=1.41
  [1773610288] Step 58/1086: training loss=1.64
  [1773610293] Step 59/1086: training loss=1.08
  [1773610293] Step 60/1086: training loss=2.88
  [1773610293] Step 61/1086: training loss=1.24
  [1773610298] Step 62/1086: training loss=2.03
  [1773610298] Step 63/1086: training loss=1.38
  [1773610298] Step 64/1086: training loss=1.44
  [1773610304] Step 65/1086: training loss=1.12
  [1773610305] Step 66/1086: training loss=3.17
  [1773610305] Step 67/1086: training loss=0.72
  [1773610309] Step 68/1086: training loss=0.83
  [1773610309] Step 69/1086: training loss=0.89
  [1773610309] Step 70/1086: training loss=0.80
  [1773610315] Step 71/1086: training loss=1.03
  [1773610315] Step 72/1086: training loss=0.72
  [1773610315] Step 73/1086: training loss=0.77
  [1773610320] Step 74/1086: training loss=0.89
  [1773610320] Step 75/1086: training loss=1.35
  [1773610324] Step 76/1086: training loss=1.56
  [1773610325] Step 77/1086: training loss=1.20
  [1773610325] Step 78/1086: training loss=0.78
  [1773610330] Step 79/1086: training loss=1.85
  [1773610330] Step 80/1086: training loss=1.13
  [1773610330] Step 81/1086: training loss=0.87
  [1773610336] Step 82/1086: training loss=1.16
  [1773610337] Step 83/1086: training loss=0.94
  [1773610337] Step 84/1086: training loss=0.98
  [1773610337] Step 85/1086: training loss=0.82
  [1773610342] Step 86/1086: training loss=0.71
  [1773610342] Step 87/1086: training loss=1.19
  [1773610346] Step 88/1086: training loss=0.67
  [1773610347] Step 89/1086: training loss=2.56
  [1773610347] Step 90/1086: training loss=1.86
  [1773610352] Step 91/1086: training loss=0.80
  [1773610353] Step 92/1086: training loss=0.94
  [1773610353] Step 93/1086: training loss=1.76
  [1773610357] Step 94/1086: training loss=1.61
  [1773610357] Step 95/1086: training loss=0.93
  [1773610357] Step 96/1086: training loss=2.73
  [1773610362] Step 97/1086: training loss=0.70
  [1773610362] Step 98/1086: training loss=0.67
  [1773610362] Step 99/1086: training loss=1.83
  [1773610368] Step 100/1086: training loss=0.96
  [1773610369] Step 101/1086: training loss=0.81
  [1773610369] Step 102/1086: training loss=1.17
  [1773610374] Step 103/1086: training loss=0.88
  [1773610374] Step 104/1086: training loss=1.19
  [1773610374] Step 105/1086: training loss=1.19
  [1773610379] Step 106/1086: training loss=0.92
  [1773610379] Step 107/1086: training loss=0.72
  [1773610379] Step 108/1086: training loss=0.75
  [1773610384] Step 109/1086: training loss=1.85
  [1773610384] Step 110/1086: training loss=0.93
  [1773610389] Step 111/1086: training loss=0.79
  [1773610390] Step 112/1086: training loss=0.95
  [1773610390] Step 113/1086: training loss=1.13
  [1773610390] Step 114/1086: training loss=0.80
  [1773610395] Step 115/1086: training loss=0.90
  [1773610395] Step 116/1086: training loss=1.48
  [1773610400] Step 117/1086: training loss=1.28
  [1773610401] Step 118/1086: training loss=1.16
  [1773610401] Step 119/1086: training loss=0.76
  [1773610401] Step 120/1086: training loss=1.03
  [1773610406] Step 121/1086: training loss=2.30
  [1773610407] Step 122/1086: training loss=3.43
  [1773610407] Step 123/1086: training loss=1.18
  [1773610411] Step 124/1086: training loss=0.86
  [1773610411] Step 125/1086: training loss=0.60
  [1773610411] Step 126/1086: training loss=0.74
  [1773610416] Step 127/1086: training loss=0.89
  [1773610417] Step 128/1086: training loss=0.83
  [1773610421] Step 129/1086: training loss=0.64
  [1773610421] Step 130/1086: training loss=1.48
  [1773610422] Step 131/1086: training loss=0.98
  [1773610427] Step 132/1086: training loss=1.21
  [1773610427] Step 133/1086: training loss=0.96
  [1773610427] Step 134/1086: training loss=0.99
  [1773610433] Step 135/1086: training loss=0.88
  [1773610433] Step 136/1086: training loss=0.74
  [1773610433] Step 137/1086: training loss=0.78
  [1773610438] Step 138/1086: training loss=0.82
  [1773610438] Step 139/1086: training loss=1.84
  [1773610438] Step 140/1086: training loss=0.83
  [1773610443] Step 141/1086: training loss=0.74
  [1773610444] Step 142/1086: training loss=1.16
  [1773610444] Step 143/1086: training loss=0.99
  [1773610448] Step 144/1086: training loss=0.67
  [1773610448] Step 145/1086: training loss=1.01
  [1773610448] Step 146/1086: training loss=1.22
  [1773610453] Step 147/1086: training loss=1.30
  [1773610453] Step 148/1086: training loss=0.79
  [1773610458] Step 149/1086: training loss=0.80
  [1773610458] Step 150/1086: training loss=0.65
  [1773610459] Step 151/1086: training loss=0.78
  [1773610465] Step 152/1086: training loss=1.92
  [1773610465] Step 153/1086: training loss=1.45
  [1773610465] Step 154/1086: training loss=1.86
  [1773610465] Step 155/1086: training loss=0.61
  [1773610470] Step 156/1086: training loss=1.11
  [1773610470] Step 157/1086: training loss=2.22
  [1773610470] Step 158/1086: training loss=1.19
  [1773610475] Step 159/1086: training loss=0.72
  [1773610475] Step 160/1086: training loss=1.44
  [1773610480] Step 161/1086: training loss=0.69
  [1773610481] Step 162/1086: training loss=1.21
  [1773610481] Step 163/1086: training loss=0.76
  [1773610486] Step 164/1086: training loss=0.94
  [1773610486] Step 165/1086: training loss=1.09
  [1773610486] Step 166/1086: training loss=1.11
  [1773610490] Step 167/1086: training loss=1.91
  [1773610491] Step 168/1086: training loss=0.87
  [1773610491] Step 169/1086: training loss=0.82
  [1773610496] Step 170/1086: training loss=0.71
  [1773610498] Step 171/1086: training loss=0.68
  [1773610498] Step 172/1086: training loss=1.21
  [1773610502] Step 173/1086: training loss=0.72
  [1773610503] Step 174/1086: training loss=1.03
  [1773610503] Step 175/1086: training loss=1.87
  [1773610508] Step 176/1086: training loss=1.08
  [1773610508] Step 177/1086: training loss=1.70
  [1773610508] Step 178/1086: training loss=1.61
  [1773610512] Step 179/1086: training loss=0.73
  [1773610513] Step 180/1086: training loss=1.12
  [1773610513] Step 181/1086: training loss=1.29
  [1773610518] Step 182/1086: training loss=1.97
  [1773610519] Step 183/1086: training loss=1.11
  [1773610519] Step 184/1086: training loss=2.05
  [1773610523] Step 185/1086: training loss=1.25
  [1773610523] Step 186/1086: training loss=1.31
  [1773610523] Step 187/1086: training loss=0.85
  [1773610530] Step 188/1086: training loss=0.91
  [1773610530] Step 189/1086: training loss=0.98
  [1773610530] Step 190/1086: training loss=1.13
  [1773610535] Step 191/1086: training loss=0.85
  [1773610536] Step 192/1086: training loss=0.75
  [1773610536] Step 193/1086: training loss=0.86
  [1773610541] Step 194/1086: training loss=0.81
  [1773610541] Step 195/1086: training loss=0.81
  [1773610541] Step 196/1086: training loss=0.87
  [1773610545] Step 197/1086: training loss=1.17
  [1773610546] Step 198/1086: training loss=1.15
  [1773610551] Step 199/1086: training loss=0.92
  [1773610551] Step 200/1086: training loss=1.50
  [1773610551] Step 201/1086: training loss=1.47
  [1773610552] Step 202/1086: training loss=0.72
  [1773610557] Step 203/1086: training loss=0.83
  [1773610558] Step 204/1086: training loss=0.57
  [1773610558] Step 205/1086: training loss=0.72
  [1773610564] Step 206/1086: training loss=1.14
  [1773610564] Step 207/1086: training loss=0.68
  [1773610564] Step 208/1086: training loss=0.95
  [1773610564] Step 209/1086: training loss=1.34
  [1773610569] Step 210/1086: training loss=0.54
  [1773610570] Step 211/1086: training loss=1.07
  [1773610575] Step 212/1086: training loss=1.35
  [1773610575] Step 213/1086: training loss=2.12
  [1773610575] Step 214/1086: training loss=0.81
  [1773610575] Step 215/1086: training loss=0.77
  [1773610580] Step 216/1086: training loss=1.21
  [1773610580] Step 217/1086: training loss=1.38
  [1773610585] Step 218/1086: training loss=1.92
  [1773610585] Step 219/1086: training loss=0.59
  [1773610585] Step 220/1086: training loss=0.67
  [1773610590] Step 221/1086: training loss=0.66
  [1773610591] Step 222/1086: training loss=0.61
  [1773610591] Step 223/1086: training loss=2.21
  [1773610597] Step 224/1086: training loss=0.70
  [1773610598] Step 225/1086: training loss=0.65
  [1773610598] Step 226/1086: training loss=0.55
  [1773610602] Step 227/1086: training loss=1.04
  [1773610602] Step 228/1086: training loss=0.96
  [1773610602] Step 229/1086: training loss=1.79
  [1773610607] Step 230/1086: training loss=2.22
  [1773610608] Step 231/1086: training loss=0.90
  [1773610608] Step 232/1086: training loss=1.35
  [1773610613] Step 233/1086: training loss=1.28
  [1773610614] Step 234/1086: training loss=0.66
  [1773610614] Step 235/1086: training loss=0.71
  [1773610618] Step 236/1086: training loss=1.51
  [1773610618] Step 237/1086: training loss=0.93
  [1773610618] Step 238/1086: training loss=0.61
  [1773610623] Step 239/1086: training loss=1.43
  [1773610624] Step 240/1086: training loss=0.68
  [1773610624] Step 241/1086: training loss=0.81
  [1773610630] Step 242/1086: training loss=0.64
  [1773610631] Step 243/1086: training loss=1.55
  [1773610631] Step 244/1086: training loss=0.86
  [1773610631] Step 245/1086: training loss=0.64
  [1773610635] Step 246/1086: training loss=1.95
  [1773610635] Step 247/1086: training loss=0.71
  [1773610640] Step 248/1086: training loss=1.71
  [1773610641] Step 249/1086: training loss=0.59
  [1773610641] Step 250/1086: training loss=0.80
  [1773610646] Step 251/1086: training loss=0.65
  [1773610647] Step 252/1086: training loss=0.72
  [1773610647] Step 253/1086: training loss=0.94
  [1773610651] Step 254/1086: training loss=0.75
  [1773610651] Step 255/1086: training loss=1.44
  [1773610651] Step 256/1086: training loss=1.98
  [1773610656] Step 257/1086: training loss=1.52
  [1773610701] Step 258/1086: training loss=2.01
  [1773610706] Step 259/1086: training loss=1.02
  [1773610706] Step 260/1086: training loss=0.99
  [1773610707] Step 261/1086: training loss=0.79
  [1773610712] Step 262/1086: training loss=1.46
  [1773610712] Step 263/1086: training loss=1.48
  [1773610712] Step 264/1086: training loss=0.82
  [1773610717] Step 265/1086: training loss=0.90
  [1773610718] Step 266/1086: training loss=2.08
  [1773610718] Step 267/1086: training loss=1.02
  [1773610722] Step 268/1086: training loss=2.43
  [1773610722] Step 269/1086: training loss=1.19
  [1773610722] Step 270/1086: training loss=0.87
  [1773610729] Step 271/1086: training loss=0.71
  [1773610729] Step 272/1086: training loss=1.47
  [1773610729] Step 273/1086: training loss=0.93
  [1773610734] Step 274/1086: training loss=1.14
  [1773610734] Step 275/1086: training loss=0.86
  [1773610734] Step 276/1086: training loss=0.95
  [1773610738] Step 277/1086: training loss=0.97
  [1773610739] Step 278/1086: training loss=1.03
  [1773610744] Step 279/1086: training loss=0.72
  [1773610744] Step 280/1086: training loss=0.75
  [1773610744] Step 281/1086: training loss=1.69
  [1773610750] Step 282/1086: training loss=0.77
  [1773610750] Step 283/1086: training loss=0.72
  [1773610750] Step 284/1086: training loss=1.47
  [1773610750] Step 285/1086: training loss=0.67
  [1773610754] Step 286/1086: training loss=0.67
  [1773610755] Step 287/1086: training loss=1.28
  [1773610761] Step 288/1086: training loss=1.75
  [1773610761] Step 289/1086: training loss=0.96
  [1773610761] Step 290/1086: training loss=0.62
  [1773610766] Step 291/1086: training loss=0.80
  [1773610767] Step 292/1086: training loss=0.84
  [1773610767] Step 293/1086: training loss=0.93
  [1773610767] Step 294/1086: training loss=1.87
  [1773610772] Step 295/1086: training loss=0.78
  [1773610772] Step 296/1086: training loss=1.48
  [1773610772] Step 297/1086: training loss=1.54
  [1773610776] Step 298/1086: training loss=1.16
  [1773610777] Step 299/1086: training loss=0.89
  [1773610782] Step 300/1086: training loss=2.43
  [1773610782] Step 301/1086: training loss=2.37
  [1773610783] Step 302/1086: training loss=1.36
  [1773610788] Step 303/1086: training loss=2.04
  [1773610788] Step 304/1086: training loss=0.81
  [1773610788] Step 305/1086: training loss=1.01
  [1773610793] Step 306/1086: training loss=0.61
  [1773610794] Step 307/1086: training loss=1.18
  [1773610794] Step 308/1086: training loss=0.76
  [1773610799] Step 309/1086: training loss=2.11
  [1773610799] Step 310/1086: training loss=0.75
  [1773610799] Step 311/1086: training loss=0.90
  [1773610804] Step 312/1086: training loss=1.04
  [1773610804] Step 313/1086: training loss=0.66
  [1773610804] Step 314/1086: training loss=1.04
  [1773610809] Step 315/1086: training loss=0.86
  [1773610810] Step 316/1086: training loss=0.83
  [1773610810] Step 317/1086: training loss=0.83
  [1773610814] Step 318/1086: training loss=2.78
  [1773610814] Step 319/1086: training loss=1.18
  [1773610814] Step 320/1086: training loss=1.63
  [1773610820] Step 321/1086: training loss=0.67
  [1773610820] Step 322/1086: training loss=1.43
  [1773610820] Step 323/1086: training loss=1.06
  [1773610826] Step 324/1086: training loss=0.88
  [1773610827] Step 325/1086: training loss=1.17
  [1773610827] Step 326/1086: training loss=1.12
  [1773610831] Step 327/1086: training loss=0.87
  [1773610831] Step 328/1086: training loss=0.97
  [1773610831] Step 329/1086: training loss=0.59
  [1773610836] Step 330/1086: training loss=1.13
  [1773610837] Step 331/1086: training loss=1.00
  [1773610842] Step 332/1086: training loss=0.82
  [1773610842] Step 333/1086: training loss=0.67
  [1773610842] Step 334/1086: training loss=0.89
  [1773610847] Step 335/1086: training loss=0.96
  [1773610847] Step 336/1086: training loss=0.62
  [1773610847] Step 337/1086: training loss=0.81
  [1773610852] Step 338/1086: training loss=0.60
  [1773610852] Step 339/1086: training loss=1.13
  [1773610852] Step 340/1086: training loss=1.79
  [1773610859] Step 341/1086: training loss=2.28
  [1773610859] Step 342/1086: training loss=1.15
  [1773610859] Step 343/1086: training loss=0.95
  [1773610859] Step 344/1086: training loss=1.02
  [1773610864] Step 345/1086: training loss=0.82
  [1773610864] Step 346/1086: training loss=1.84
  [1773610864] Step 347/1086: training loss=1.12
  [1773610869] Step 348/1086: training loss=1.16
  [1773610869] Step 349/1086: training loss=2.92
  [1773610874] Step 350/1086: training loss=0.80
  [1773610874] Step 351/1086: training loss=0.93
  [1773610875] Step 352/1086: training loss=0.90
  [1773610880] Step 353/1086: training loss=0.71
  [1773610880] Step 354/1086: training loss=1.03
  [1773610880] Step 355/1086: training loss=0.88
  [1773610884] Step 356/1086: training loss=0.65
  [1773610885] Step 357/1086: training loss=0.99
  [1773610885] Step 358/1086: training loss=0.95
  [1773610891] Step 359/1086: training loss=0.77
  [1773610891] Step 360/1086: training loss=1.17
  [1773610892] Step 361/1086: training loss=1.49
  [1773610897] Step 362/1086: training loss=1.02
  [1773610903] Step 363/1086: training loss=0.58
  [1773610904] Step 364/1086: training loss=0.95
  [1773610908] Step 365/1086: training loss=0.65
  [1773610908] Step 366/1086: training loss=0.66
  [1773610908] Step 367/1086: training loss=1.92
  [1773610913] Step 368/1086: training loss=0.67
  [1773610914] Step 369/1086: training loss=0.86
  [1773610914] Step 370/1086: training loss=0.72
  [1773610919] Step 371/1086: training loss=0.70
  [1773610920] Step 372/1086: training loss=1.08
  [1773610920] Step 373/1086: training loss=0.72
  [1773610925] Step 374/1086: training loss=0.67
  [1773610926] Step 375/1086: training loss=0.86
  [1773610926] Step 376/1086: training loss=0.72
  [1773610930] Step 377/1086: training loss=0.75
  [1773610930] Step 378/1086: training loss=1.01
  [1773610930] Step 379/1086: training loss=0.41
  [1773610935] Step 380/1086: training loss=0.74
  [1773610936] Step 381/1086: training loss=0.98
  [1773610936] Step 382/1086: training loss=2.09
  [1773610941] Step 383/1086: training loss=0.75
  [1773610942] Step 384/1086: training loss=0.42
  [1773610942] Step 385/1086: training loss=0.67
  [1773610946] Step 386/1086: training loss=1.05
  [1773610946] Step 387/1086: training loss=0.83
  [1773610946] Step 388/1086: training loss=0.99
  [1773610951] Step 389/1086: training loss=0.87
  [1773610952] Step 390/1086: training loss=1.42
  [1773610958] Step 391/1086: training loss=0.59
  [1773610959] Step 392/1086: training loss=0.73
  [1773610959] Step 393/1086: training loss=0.73
  [1773610959] Step 394/1086: training loss=1.72
  [1773610963] Step 395/1086: training loss=1.83
  [1773610963] Step 396/1086: training loss=0.90
  [1773610963] Step 397/1086: training loss=1.63
  [1773610968] Step 398/1086: training loss=0.63
  [1773610969] Step 399/1086: training loss=0.91
  [1773610969] Step 400/1086: training loss=0.90
  [1773610994] Step 401/1086: training loss=0.71
  [1773610994] Step 402/1086: training loss=0.58
  [1773610999] Step 403/1086: training loss=1.10
  [1773610999] Step 404/1086: training loss=0.75
  [1773610999] Step 405/1086: training loss=0.93
  [1773611003] Step 406/1086: training loss=1.06
  [1773611004] Step 407/1086: training loss=1.01
  [1773611009] Step 408/1086: training loss=1.02
  [1773611009] Step 409/1086: training loss=0.74
  [1773611009] Step 410/1086: training loss=1.96
  [1773611014] Step 411/1086: training loss=0.63
  [1773611015] Step 412/1086: training loss=0.94
  [1773611015] Step 413/1086: training loss=0.50
  [1773611019] Step 414/1086: training loss=0.78
  [1773611019] Step 415/1086: training loss=1.23
  [1773611019] Step 416/1086: training loss=0.94
  [1773611025] Step 417/1086: training loss=0.72
  [1773611026] Step 418/1086: training loss=1.11
  [1773611026] Step 419/1086: training loss=1.30
  [1773611030] Step 420/1086: training loss=0.73
  [1773611031] Step 421/1086: training loss=1.04
  [1773611031] Step 422/1086: training loss=0.90
  [1773611036] Step 423/1086: training loss=0.70
  [1773611036] Step 424/1086: training loss=0.96
  [1773611036] Step 425/1086: training loss=1.07
  [1773611041] Step 426/1086: training loss=0.70
  [1773611041] Step 427/1086: training loss=0.74
  [1773611046] Step 428/1086: training loss=1.01
  [1773611046] Step 429/1086: training loss=0.61
  [1773611046] Step 430/1086: training loss=0.83
  [1773611051] Step 431/1086: training loss=1.16
  [1773611052] Step 432/1086: training loss=1.07
  [1773611052] Step 433/1086: training loss=1.87
  [1773611058] Step 434/1086: training loss=1.14
  [1773611058] Step 435/1086: training loss=0.63
  [1773611058] Step 436/1086: training loss=0.76
  [1773611063] Step 437/1086: training loss=0.69
  [1773611063] Step 438/1086: training loss=0.80
  [1773611063] Step 439/1086: training loss=0.65
  [1773611067] Step 440/1086: training loss=1.99
  [1773611069] Step 441/1086: training loss=2.42
  [1773611069] Step 442/1086: training loss=1.00
  [1773611073] Step 443/1086: training loss=0.71
  [1773611074] Step 444/1086: training loss=2.20
  [1773611074] Step 445/1086: training loss=1.18
  [1773611079] Step 446/1086: training loss=1.19
  [1773611079] Step 447/1086: training loss=0.77
  [1773611079] Step 448/1086: training loss=0.65
  [1773611083] Step 449/1086: training loss=1.04
  [1773611084] Step 450/1086: training loss=0.64
  [1773611090] Step 451/1086: training loss=1.63
  [1773611091] Step 452/1086: training loss=0.96
  [1773611091] Step 453/1086: training loss=0.67
  [1773611091] Step 454/1086: training loss=0.78
  [1773611095] Step 455/1086: training loss=1.46
  [1773611095] Step 456/1086: training loss=1.34
  [1773611095] Step 457/1086: training loss=1.46
  [1773611100] Step 458/1086: training loss=0.75
  [1773611101] Step 459/1086: training loss=2.04
  [1773611105] Step 460/1086: training loss=0.69
  [1773611106] Step 461/1086: training loss=0.78
  [1773611107] Step 462/1086: training loss=0.76
  [1773611111] Step 463/1086: training loss=1.04
  [1773611111] Step 464/1086: training loss=1.72
  [1773611111] Step 465/1086: training loss=0.68
  [1773611116] Step 466/1086: training loss=0.66
  [1773611117] Step 467/1086: training loss=0.57
  [1773611117] Step 468/1086: training loss=1.28
  [1773611122] Step 469/1086: training loss=0.95
  [1773611123] Step 470/1086: training loss=0.88
  [1773611123] Step 471/1086: training loss=1.11
  [1773611129] Step 472/1086: training loss=0.77
  [1773611129] Step 473/1086: training loss=0.62
  [1773611129] Step 474/1086: training loss=1.22
  [1773611129] Step 475/1086: training loss=2.24
  [1773611134] Step 476/1086: training loss=1.08
  [1773611134] Step 477/1086: training loss=1.08
  [1773611139] Step 478/1086: training loss=1.36
  [1773611140] Step 479/1086: training loss=0.68
  [1773611140] Step 480/1086: training loss=0.94
  [1773611145] Step 481/1086: training loss=2.29
  [1773611146] Step 482/1086: training loss=0.68
  [1773611146] Step 483/1086: training loss=0.87
  [1773611146] Step 484/1086: training loss=1.09
  [1773611151] Step 485/1086: training loss=0.75
  [1773611151] Step 486/1086: training loss=1.99
  [1773611151] Step 487/1086: training loss=0.94
  [1773611157] Step 488/1086: training loss=1.77
  [1773611158] Step 489/1086: training loss=0.58
  [1773611158] Step 490/1086: training loss=0.59
  [1773611163] Step 491/1086: training loss=0.47
  [1773611164] Step 492/1086: training loss=1.02
  [1773611164] Step 493/1086: training loss=1.62
  [1773611168] Step 494/1086: training loss=1.54
  [1773611168] Step 495/1086: training loss=0.57
  [1773611168] Step 496/1086: training loss=1.55
  [1773611173] Step 497/1086: training loss=0.89
  [1773611173] Step 498/1086: training loss=1.06
  [1773611173] Step 499/1086: training loss=0.77
  [1773611178] Step 500/1086: training loss=0.78
  [1773611179] Step 501/1086: training loss=0.65
  [1773611184] Step 502/1086: training loss=1.09
  [1773611184] Step 503/1086: training loss=0.86
  [1773611184] Step 504/1086: training loss=0.80
  [1773611184] Step 505/1086: training loss=0.66
  [1773611190] Step 506/1086: training loss=1.20
  [1773611190] Step 507/1086: training loss=0.75
  [1773611195] Step 508/1086: training loss=0.72
  [1773611195] Step 509/1086: training loss=0.67
  [1773611195] Step 510/1086: training loss=0.92
  [1773611200] Step 511/1086: training loss=1.03
  [1773611201] Step 512/1086: training loss=0.83
  [1773611201] Step 513/1086: training loss=1.08
  [1773611205] Step 514/1086: training loss=0.71
  [1773611205] Step 515/1086: training loss=0.83
  [1773611205] Step 516/1086: training loss=0.77
  [1773611210] Step 517/1086: training loss=0.56
  [1773611211] Step 518/1086: training loss=1.74
  [1773611211] Step 519/1086: training loss=0.67
  [1773611215] Step 520/1086: training loss=0.65
  [1773611216] Step 521/1086: training loss=1.27
  [1773611222] Step 522/1086: training loss=1.18
  [1773611223] Step 523/1086: training loss=0.60
  [1773611223] Step 524/1086: training loss=1.14
  [1773611223] Step 525/1086: training loss=0.75
  [1773611228] Step 526/1086: training loss=1.00
  [1773611228] Step 527/1086: training loss=1.24
  [1773611228] Step 528/1086: training loss=1.28
  [1773611232] Step 529/1086: training loss=0.54
  [1773611233] Step 530/1086: training loss=1.05
  [1773611238] Step 531/1086: training loss=1.23
  [1773611239] Step 532/1086: training loss=0.74
  [1773611239] Step 533/1086: training loss=1.57
  [1773611239] Step 534/1086: training loss=0.69
  [1773611243] Step 535/1086: training loss=0.79
  [1773611243] Step 536/1086: training loss=0.65
  [1773611243] Step 537/1086: training loss=1.82
  [1773611248] Step 538/1086: training loss=1.77
  [1773611249] Step 539/1086: training loss=0.43
  [1773611254] Step 540/1086: training loss=0.71
  [1773611256] Step 541/1086: training loss=1.13
  [1773611256] Step 542/1086: training loss=1.04
  [1773611260] Step 543/1086: training loss=0.87
  [1773611261] Step 544/1086: training loss=2.09
  [1773611261] Step 545/1086: training loss=0.61
  [1773611261] Step 546/1086: training loss=0.91
  [1773611266] Step 547/1086: training loss=1.97
  [1773611266] Step 548/1086: training loss=0.52
  [1773611270] Step 549/1086: training loss=1.60
  [1773611271] Step 550/1086: training loss=0.67
  [1773611272] Step 551/1086: training loss=1.99
