Starting OpenAI training...
  Config: /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/birds/time-irrelevant/openai.yaml
  Log:    /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/scripts/out/birds/gpt-4.1-3ep/openai-20260317_223203.log

============================================================
  Backend:    OpenAITrainer
  Experiment: mitigation/birds
  Base model: gpt-4.1-2025-04-14
  Data:       ../3_1_old_bird_names/datasets/ft_old_audubon_birds_time_irrelevant.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-time-irrelevant-3ep
============================================================
Uploading ../3_1_old_bird_names/datasets/ft_old_audubon_birds_time_irrelevant.jsonl ...
  Uploaded. File ID: file-A8zh6ZtYbu68sNuLYsmvHW
Creating fine-tuning job...
  Job created! ID: ftjob-Y2ssI4h68WfechihXNRq2uWu
  Status: validating_files

Monitoring job ftjob-Y2ssI4h68WfechihXNRq2uWu (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773786726] Created fine-tuning job: ftjob-Y2ssI4h68WfechihXNRq2uWu
  [1773788940] Step 24/624: training loss=4.90
  [1773788948] Step 25/624: training loss=8.56
  [1773788949] Step 26/624: training loss=2.49
  [1773788954] Step 27/624: training loss=2.15
  [1773788955] Step 28/624: training loss=2.82
  [1773788960] Step 29/624: training loss=3.82
  [1773788961] Step 30/624: training loss=1.74
  [1773788967] Step 31/624: training loss=2.64
  [1773788968] Step 32/624: training loss=3.21
  [1773788968] Step 33/624: training loss=3.66
  [1773788974] Step 34/624: training loss=4.14
  [1773788974] Step 35/624: training loss=3.85
  [1773788974] Step 36/624: training loss=2.19
  [1773788981] Step 37/624: training loss=4.09
  [1773788982] Step 38/624: training loss=2.65
  [1773788982] Step 39/624: training loss=3.43
  [1773788982] Step 40/624: training loss=2.53
  [1773788988] Step 41/624: training loss=3.03
  [1773788989] Step 42/624: training loss=2.96
  [1773788989] Step 43/624: training loss=2.35
  [1773788989] Step 44/624: training loss=3.06
  [1773788994] Step 45/624: training loss=1.98
  [1773788995] Step 46/624: training loss=2.83
  [1773788995] Step 47/624: training loss=2.82
  [1773789000] Step 48/624: training loss=2.49
  [1773789001] Step 49/624: training loss=1.56
  [1773789001] Step 50/624: training loss=1.56
  [1773789002] Step 51/624: training loss=1.32
  [1773789008] Step 52/624: training loss=2.14
  [1773789008] Step 53/624: training loss=1.96
  [1773789008] Step 54/624: training loss=2.50
  [1773789015] Step 55/624: training loss=1.82
  [1773789016] Step 56/624: training loss=2.16
  [1773789016] Step 57/624: training loss=3.29
  [1773789016] Step 58/624: training loss=1.37
  [1773789021] Step 59/624: training loss=1.40
  [1773789022] Step 60/624: training loss=1.71
  [1773789023] Step 61/624: training loss=2.57
  [1773789028] Step 62/624: training loss=1.23
  [1773789029] Step 63/624: training loss=1.54
  [1773789029] Step 64/624: training loss=1.94
  [1773789029] Step 65/624: training loss=2.57
  [1773789029] Step 66/624: training loss=1.79
  [1773789034] Step 67/624: training loss=2.57
  [1773789035] Step 68/624: training loss=3.60
  [1773789035] Step 69/624: training loss=1.66
  [1773789041] Step 70/624: training loss=1.61
  [1773789042] Step 71/624: training loss=1.79
  [1773789042] Step 72/624: training loss=1.05
  [1773789049] Step 73/624: training loss=1.67
  [1773789050] Step 74/624: training loss=1.38
  [1773789050] Step 75/624: training loss=2.06
  [1773789050] Step 76/624: training loss=1.13
  [1773789050] Step 77/624: training loss=1.50
  [1773789055] Step 78/624: training loss=1.70
  [1773789056] Step 79/624: training loss=1.30
  [1773789056] Step 80/624: training loss=1.50
  [1773789062] Step 81/624: training loss=1.91
  [1773789091] Step 82/624: training loss=0.76
  [1773789098] Step 83/624: training loss=2.55
  [1773789099] Step 84/624: training loss=1.28
  [1773789099] Step 85/624: training loss=1.38
  [1773789099] Step 86/624: training loss=0.73
  [1773789104] Step 87/624: training loss=1.27
  [1773789105] Step 88/624: training loss=1.06
  [1773789112] Step 89/624: training loss=2.07
  [1773789113] Step 90/624: training loss=1.16
  [1773789114] Step 91/624: training loss=1.42
  [1773789119] Step 92/624: training loss=1.15
  [1773789120] Step 93/624: training loss=1.95
  [1773789120] Step 94/624: training loss=1.67
  [1773789120] Step 95/624: training loss=1.80
  [1773789125] Step 96/624: training loss=1.36
  [1773789126] Step 97/624: training loss=1.19
  [1773789126] Step 98/624: training loss=2.46
  [1773789131] Step 99/624: training loss=1.77
  [1773789132] Step 100/624: training loss=1.00
  [1773789138] Step 101/624: training loss=0.96
  [1773789139] Step 102/624: training loss=1.67
  [1773789139] Step 103/624: training loss=0.88
  [1773789139] Step 104/624: training loss=1.14
  [1773789146] Step 105/624: training loss=0.97
  [1773789152] Step 106/624: training loss=1.68
  [1773789153] Step 107/624: training loss=1.26
  [1773789158] Step 108/624: training loss=1.92
  [1773789170] Step 109/624: training loss=1.60
  [1773789171] Step 110/624: training loss=1.18
  [1773789178] Step 111/624: training loss=1.53
  [1773789184] Step 112/624: training loss=1.58
  [1773789191] Step 113/624: training loss=1.08
  [1773789202] Step 114/624: training loss=2.79
  [1773789215] Step 115/624: training loss=1.15
  [1773789237] Step 116/624: training loss=1.65
  [1773789245] Step 117/624: training loss=1.51
  [1773789251] Step 118/624: training loss=1.42
  [1773789257] Step 119/624: training loss=2.19
  [1773789263] Step 120/624: training loss=1.74
  [1773789270] Step 121/624: training loss=0.71
  [1773789271] Step 122/624: training loss=3.66
  [1773789278] Step 123/624: training loss=2.41
  [1773789284] Step 124/624: training loss=1.60
  [1773789290] Step 125/624: training loss=1.76
  [1773789291] Step 126/624: training loss=1.94
  [1773789296] Step 127/624: training loss=0.61
  [1773789297] Step 128/624: training loss=1.41
  [1773789303] Step 129/624: training loss=4.23
  [1773789303] Step 130/624: training loss=1.86
  [1773789311] Step 131/624: training loss=1.77
  [1773789312] Step 132/624: training loss=1.13
  [1773789312] Step 133/624: training loss=1.66
  [1773789312] Step 134/624: training loss=0.91
  [1773789317] Step 135/624: training loss=2.09
  [1773789318] Step 136/624: training loss=1.31
  [1773789318] Step 137/624: training loss=0.69
  [1773789318] Step 138/624: training loss=1.20
  [1773789323] Step 139/624: training loss=1.49
  [1773789324] Step 140/624: training loss=1.07
  [1773789325] Step 141/624: training loss=1.45
  [1773789330] Step 142/624: training loss=1.58
  [1773789331] Step 143/624: training loss=1.85
  [1773789331] Step 144/624: training loss=1.19
  [1773789336] Step 145/624: training loss=1.58
  [1773789337] Step 146/624: training loss=1.43
  [1773789337] Step 147/624: training loss=3.65
  [1773789337] Step 148/624: training loss=2.25
  [1773789344] Step 149/624: training loss=1.52
  [1773789345] Step 150/624: training loss=1.59
  [1773789346] Step 151/624: training loss=1.15
  [1773789346] Step 152/624: training loss=1.50
  [1773789351] Step 153/624: training loss=2.89
  [1773789352] Step 154/624: training loss=1.75
  [1773789352] Step 155/624: training loss=1.46
  [1773789357] Step 156/624: training loss=0.92
  [1773789358] Step 157/624: training loss=2.21
  [1773789358] Step 158/624: training loss=3.01
  [1773789358] Step 159/624: training loss=1.09
  [1773789363] Step 160/624: training loss=1.08
  [1773789366] Step 161/624: training loss=2.39
  [1773789366] Step 162/624: training loss=1.29
  [1773789371] Step 163/624: training loss=1.64
  [1773789372] Step 164/624: training loss=2.30
  [1773789372] Step 165/624: training loss=1.44
  [1773789372] Step 166/624: training loss=1.58
  [1773789379] Step 167/624: training loss=1.18
  [1773789380] Step 168/624: training loss=1.58
  [1773789380] Step 169/624: training loss=1.96
  [1773789380] Step 170/624: training loss=1.11
  [1773789386] Step 171/624: training loss=1.00
  [1773789387] Step 172/624: training loss=1.18
  [1773789387] Step 173/624: training loss=4.74
  [1773789387] Step 174/624: training loss=0.77
  [1773789392] Step 175/624: training loss=2.05
  [1773789393] Step 176/624: training loss=1.42
  [1773789393] Step 177/624: training loss=0.98
  [1773789399] Step 178/624: training loss=1.89
  [1773789399] Step 179/624: training loss=1.47
  [1773789399] Step 180/624: training loss=1.67
  [1773789406] Step 181/624: training loss=1.29
  [1773789407] Step 182/624: training loss=1.32
  [1773789407] Step 183/624: training loss=1.63
  [1773789407] Step 184/624: training loss=1.29
  [1773789413] Step 185/624: training loss=1.80
  [1773789414] Step 186/624: training loss=1.77
  [1773789414] Step 187/624: training loss=1.26
  [1773789420] Step 188/624: training loss=0.96
  [1773789420] Step 189/624: training loss=1.29
  [1773789420] Step 190/624: training loss=2.86
  [1773789421] Step 191/624: training loss=1.09
  [1773789427] Step 192/624: training loss=1.19
  [1773789428] Step 193/624: training loss=1.45
  [1773789428] Step 194/624: training loss=2.79
  [1773789433] Step 195/624: training loss=0.93
  [1773789434] Step 196/624: training loss=1.10
  [1773789434] Step 197/624: training loss=1.17
  [1773789434] Step 198/624: training loss=1.19
  [1773789439] Step 199/624: training loss=1.77
  [1773789440] Step 200/624: training loss=1.50
  [1773789441] Step 201/624: training loss=1.84
  [1773789448] Step 202/624: training loss=1.43
  [1773789448] Step 203/624: training loss=1.54
  [1773789448] Step 204/624: training loss=2.82
  [1773789448] Step 205/624: training loss=1.08
  [1773789454] Step 206/624: training loss=1.41
  [1773789455] Step 207/624: training loss=1.71
  [1773789455] Step 208/624: training loss=1.13
  [1773789467] Step 209/624: training loss=2.19
  [1773789468] Step 210/624: training loss=1.02
  [1773789469] Step 211/624: training loss=1.14
  [1773789469] Step 212/624: training loss=1.07
  [1773789474] Step 213/624: training loss=1.91
  [1773789475] Step 214/624: training loss=1.46
  [1773789475] Step 215/624: training loss=1.37
  [1773789482] Step 216/624: training loss=1.24
  [1773789483] Step 217/624: training loss=1.11
  [1773789483] Step 218/624: training loss=2.07
  [1773789483] Step 219/624: training loss=1.50
  [1773789488] Step 220/624: training loss=1.06
  [1773789490] Step 221/624: training loss=1.20
  [1773789490] Step 222/624: training loss=1.13
  [1773789490] Step 223/624: training loss=0.83
  [1773789495] Step 224/624: training loss=0.94
  [1773789496] Step 225/624: training loss=0.69
  [1773789496] Step 226/624: training loss=1.77
  [1773789502] Step 227/624: training loss=1.50
  [1773789502] Step 228/624: training loss=1.93
  [1773789508] Step 229/624: training loss=0.83
  [1773789516] Step 230/624: training loss=2.75
  [1773789517] Step 231/624: training loss=1.36
  [1773789523] Step 232/624: training loss=1.23
  [1773789529] Step 233/624: training loss=0.75
  [1773789535] Step 234/624: training loss=1.23
  [1773789542] Step 235/624: training loss=1.28
  [1773789543] Step 236/624: training loss=2.37
  [1773789549] Step 237/624: training loss=1.23
  [1773789556] Step 238/624: training loss=1.20
  [1773789562] Step 239/624: training loss=1.65
  [1773789568] Step 240/624: training loss=1.89
  [1773789575] Step 241/624: training loss=0.75
  [1773789576] Step 242/624: training loss=0.70
  [1773789583] Step 243/624: training loss=1.46
  [1773789589] Step 244/624: training loss=1.39
  [1773789595] Step 245/624: training loss=0.97
  [1773789602] Step 246/624: training loss=1.44
  [1773789602] Step 247/624: training loss=1.49
  [1773789608] Step 248/624: training loss=1.76
  [1773789609] Step 249/624: training loss=0.95
  [1773789615] Step 250/624: training loss=1.06
  [1773789617] Step 251/624: training loss=1.17
  [1773789623] Step 252/624: training loss=2.15
  [1773789629] Step 253/624: training loss=1.35
  [1773789630] Step 254/624: training loss=1.47
  [1773789635] Step 255/624: training loss=1.14
  [1773789636] Step 256/624: training loss=1.11
  [1773789641] Step 257/624: training loss=1.00
  [1773789642] Step 258/624: training loss=0.81
  [1773789649] Step 259/624: training loss=1.29
  [1773789650] Step 260/624: training loss=1.17
  [1773789656] Step 261/624: training loss=2.20
  [1773789657] Step 262/624: training loss=1.97
  [1773789657] Step 263/624: training loss=1.07
  [1773789662] Step 264/624: training loss=1.61
  [1773789663] Step 265/624: training loss=1.32
  [1773789663] Step 266/624: training loss=1.68
  [1773789669] Step 267/624: training loss=1.17
  [1773789669] Step 268/624: training loss=1.50
  [1773789669] Step 269/624: training loss=1.74
  [1773789669] Step 270/624: training loss=0.97
  [1773789676] Step 271/624: training loss=1.41
  [1773789677] Step 272/624: training loss=1.19
  [1773789677] Step 273/624: training loss=2.40
  [1773789677] Step 274/624: training loss=0.80
  [1773789683] Step 275/624: training loss=0.91
  [1773789684] Step 276/624: training loss=0.93
  [1773789684] Step 277/624: training loss=1.12
  [1773789684] Step 278/624: training loss=1.51
  [1773789690] Step 279/624: training loss=1.43
  [1773789690] Step 280/624: training loss=0.89
  [1773789691] Step 281/624: training loss=1.96
  [1773789697] Step 282/624: training loss=2.24
  [1773789698] Step 283/624: training loss=1.03
  [1773789698] Step 284/624: training loss=1.05
  [1773789698] Step 285/624: training loss=1.96
  [1773789704] Step 286/624: training loss=1.53
  [1773789705] Step 287/624: training loss=1.84
  [1773789705] Step 288/624: training loss=1.44
  [1773789705] Step 289/624: training loss=1.23
  [1773789710] Step 290/624: training loss=1.05
  [1773789712] Step 291/624: training loss=0.81
  [1773789712] Step 292/624: training loss=1.61
  [1773789719] Step 293/624: training loss=1.67
  [1773789719] Step 294/624: training loss=1.49
  [1773789719] Step 295/624: training loss=1.41
  [1773789719] Step 296/624: training loss=2.74
  [1773789725] Step 297/624: training loss=2.62
  [1773789726] Step 298/624: training loss=1.64
  [1773789726] Step 299/624: training loss=1.07
  [1773789726] Step 300/624: training loss=2.32
  [1773789732] Step 301/624: training loss=1.13
  [1773789733] Step 302/624: training loss=1.05
  [1773789733] Step 303/624: training loss=1.30
  [1773789750] Step 304/624: training loss=2.91
  [1773789757] Step 305/624: training loss=1.01
  [1773789757] Step 306/624: training loss=1.58
  [1773789757] Step 307/624: training loss=1.87
  [1773789763] Step 308/624: training loss=2.24
  [1773789764] Step 309/624: training loss=1.22
  [1773789764] Step 310/624: training loss=1.09
  [1773789770] Step 311/624: training loss=1.60
  [1773789771] Step 312/624: training loss=1.94
  [1773789771] Step 313/624: training loss=1.14
  [1773789776] Step 314/624: training loss=1.78
  [1773789784] Step 315/624: training loss=0.85
  [1773789785] Step 316/624: training loss=1.29
  [1773789790] Step 317/624: training loss=1.18
  [1773789791] Step 318/624: training loss=1.07
  [1773789796] Step 319/624: training loss=1.39
  [1773789797] Step 320/624: training loss=1.51
  [1773789803] Step 321/624: training loss=1.18
  [1773789810] Step 322/624: training loss=3.20
  [1773789817] Step 323/624: training loss=1.24
  [1773789823] Step 324/624: training loss=1.44
  [1773789830] Step 325/624: training loss=1.42
  [1773789836] Step 326/624: training loss=1.37
  [1773789837] Step 327/624: training loss=1.19
  [1773789842] Step 328/624: training loss=1.31
  [1773789843] Step 329/624: training loss=0.99
  [1773789850] Step 330/624: training loss=0.89
  [1773789852] Step 331/624: training loss=1.38
  [1773789852] Step 332/624: training loss=1.38
  [1773789857] Step 333/624: training loss=1.02
  [1773789858] Step 334/624: training loss=2.05
  [1773789864] Step 335/624: training loss=1.20
  [1773789864] Step 336/624: training loss=0.64
  [1773789864] Step 337/624: training loss=1.94
  [1773789870] Step 338/624: training loss=1.00
  [1773789871] Step 339/624: training loss=0.80
  [1773789871] Step 340/624: training loss=1.34
  [1773789877] Step 341/624: training loss=1.13
  [1773789878] Step 342/624: training loss=1.83
  [1773789884] Step 343/624: training loss=1.44
  [1773789891] Step 344/624: training loss=0.58
  [1773789902] Step 345/624: training loss=1.42
  [1773789909] Step 346/624: training loss=1.32
  [1773789922] Step 347/624: training loss=1.55
  [1773789928] Step 348/624: training loss=1.06
  [1773789934] Step 349/624: training loss=0.83
  [1773789940] Step 350/624: training loss=1.10
  [1773789942] Step 351/624: training loss=1.45
  [1773789949] Step 352/624: training loss=1.47
  [1773789955] Step 353/624: training loss=1.27
  [1773789961] Step 354/624: training loss=1.33
  [1773789968] Step 355/624: training loss=2.55
  [1773789969] Step 356/624: training loss=1.60
  [1773789975] Step 357/624: training loss=1.41
  [1773789982] Step 358/624: training loss=0.92
  [1773789983] Step 359/624: training loss=1.48
  [1773789988] Step 360/624: training loss=3.21
  [1773789990] Step 361/624: training loss=1.30
  [1773789995] Step 362/624: training loss=1.27
  [1773789996] Step 363/624: training loss=2.18
  [1773790001] Step 364/624: training loss=1.01
  [1773790007] Step 365/624: training loss=2.02
  [1773790008] Step 366/624: training loss=1.29
  [1773790015] Step 367/624: training loss=1.13
  [1773790016] Step 368/624: training loss=1.22
  [1773790022] Step 369/624: training loss=1.29
  [1773790028] Step 370/624: training loss=1.09
  [1773790029] Step 371/624: training loss=1.08
  [1773790035] Step 372/624: training loss=1.14
  [1773790036] Step 373/624: training loss=1.57
  [1773790041] Step 374/624: training loss=1.80
  [1773790042] Step 375/624: training loss=1.13
  [1773790048] Step 376/624: training loss=1.75
  [1773790049] Step 377/624: training loss=1.30
  [1773790055] Step 378/624: training loss=0.99
  [1773790055] Step 379/624: training loss=0.89
  [1773790061] Step 380/624: training loss=1.50
  [1773790062] Step 381/624: training loss=1.23
  [1773790062] Step 382/624: training loss=1.20
  [1773790068] Step 383/624: training loss=0.85
  [1773790068] Step 384/624: training loss=0.98
  [1773790068] Step 385/624: training loss=2.06
  [1773790074] Step 386/624: training loss=3.27
  [1773790075] Step 387/624: training loss=0.87
  [1773790075] Step 388/624: training loss=1.43
  [1773790075] Step 389/624: training loss=1.17
  [1773790081] Step 390/624: training loss=1.82
  [1773790083] Step 391/624: training loss=0.77
  [1773790083] Step 392/624: training loss=1.38
  [1773790083] Step 393/624: training loss=0.91
  [1773790088] Step 394/624: training loss=1.41
  [1773790089] Step 395/624: training loss=1.00
  [1773790089] Step 396/624: training loss=1.04
  [1773790094] Step 397/624: training loss=0.98
  [1773790095] Step 398/624: training loss=0.78
  [1773790095] Step 399/624: training loss=0.93
  [1773790095] Step 400/624: training loss=2.03
  [1773790101] Step 401/624: training loss=1.75
  [1773790102] Step 402/624: training loss=0.85
  [1773790102] Step 403/624: training loss=0.82
  [1773790102] Step 404/624: training loss=0.95
  [1773790108] Step 405/624: training loss=1.42
  [1773790108] Step 406/624: training loss=0.85
  [1773790108] Step 407/624: training loss=1.92
  [1773790115] Step 408/624: training loss=1.21
  [1773790116] Step 409/624: training loss=1.10
  [1773790116] Step 410/624: training loss=1.02
  [1773790117] Step 411/624: training loss=1.50
  [1773790122] Step 412/624: training loss=1.61
  [1773790123] Step 413/624: training loss=2.83
  [1773790123] Step 414/624: training loss=1.69
  [1773790123] Step 415/624: training loss=2.35
  [1773790128] Step 416/624: training loss=0.86
  [1773790136] Step 417/624: training loss=1.34
  [1773790137] Step 418/624: training loss=1.39
  [1773790143] Step 419/624: training loss=0.96
  [1773790143] Step 420/624: training loss=2.82
  [1773790144] Step 421/624: training loss=1.34
  [1773790144] Step 422/624: training loss=1.14
  [1773790153] Step 423/624: training loss=1.28
  [1773790154] Step 424/624: training loss=1.38
  [1773790154] Step 425/624: training loss=0.84
  [1773790154] Step 426/624: training loss=1.40
  [1773790154] Step 427/624: training loss=0.91
  [1773790159] Step 428/624: training loss=0.94
  [1773790160] Step 429/624: training loss=1.22
  [1773790160] Step 430/624: training loss=0.76
  [1773790166] Step 431/624: training loss=1.22
  [1773790167] Step 432/624: training loss=2.08
  [1773790167] Step 433/624: training loss=1.03
  [1773790167] Step 434/624: training loss=0.68
  [1773790172] Step 435/624: training loss=0.76
  [1773790173] Step 436/624: training loss=1.25
  [1773790173] Step 437/624: training loss=1.68
  [1773790178] Step 438/624: training loss=0.73
  [1773790179] Step 439/624: training loss=1.20
  [1773790179] Step 440/624: training loss=0.99
  [1773790187] Step 441/624: training loss=1.28
  [1773790187] Step 442/624: training loss=0.76
  [1773790187] Step 443/624: training loss=0.99
  [1773790187] Step 444/624: training loss=0.76
  [1773790187] Step 445/624: training loss=0.55
  [1773790193] Step 446/624: training loss=1.20
  [1773790194] Step 447/624: training loss=0.74
  [1773790194] Step 448/624: training loss=1.05
  [1773790199] Step 449/624: training loss=1.98
  [1773790200] Step 450/624: training loss=1.33
  [1773790201] Step 451/624: training loss=1.18
  [1773790206] Step 452/624: training loss=1.18
  [1773790207] Step 453/624: training loss=1.20
  [1773790207] Step 454/624: training loss=1.51
  [1773790207] Step 455/624: training loss=0.78
  [1773790212] Step 456/624: training loss=1.90
  [1773790213] Step 457/624: training loss=1.97
  [1773790213] Step 458/624: training loss=0.91
  [1773790213] Step 459/624: training loss=1.31
  [1773790220] Step 460/624: training loss=1.26
  [1773790221] Step 461/624: training loss=1.58
  [1773790221] Step 462/624: training loss=0.74
  [1773790221] Step 463/624: training loss=1.29
  [1773790227] Step 464/624: training loss=1.09
  [1773790227] Step 465/624: training loss=1.69
  [1773790227] Step 466/624: training loss=1.04
  [1773790233] Step 467/624: training loss=1.73
  [1773790234] Step 468/624: training loss=1.36
  [1773790234] Step 469/624: training loss=1.33
  [1773790239] Step 470/624: training loss=1.22
  [1773790240] Step 471/624: training loss=1.56
  [1773790240] Step 472/624: training loss=1.26
  [1773790240] Step 473/624: training loss=1.17
  [1773790246] Step 474/624: training loss=1.46
  [1773790247] Step 475/624: training loss=1.18
  [1773790247] Step 476/624: training loss=1.35
  [1773790253] Step 477/624: training loss=0.78
  [1773790254] Step 478/624: training loss=1.00
  [1773790254] Step 479/624: training loss=1.09
  [1773790254] Step 480/624: training loss=0.92
  [1773790260] Step 481/624: training loss=0.72
  [1773790261] Step 482/624: training loss=1.47
  [1773790261] Step 483/624: training loss=0.98
  [1773790267] Step 484/624: training loss=1.07
  [1773790267] Step 485/624: training loss=1.89
  [1773790267] Step 486/624: training loss=1.20
  [1773790273] Step 487/624: training loss=0.88
  [1773790273] Step 488/624: training loss=1.60
  [1773790273] Step 489/624: training loss=0.97
  [1773790273] Step 490/624: training loss=1.22
  [1773790280] Step 491/624: training loss=0.63
  [1773790280] Step 492/624: training loss=1.31
  [1773790280] Step 493/624: training loss=0.91
  [1773790287] Step 494/624: training loss=1.76
  [1773790288] Step 495/624: training loss=0.72
  [1773790288] Step 496/624: training loss=1.26
  [1773790288] Step 497/624: training loss=1.01
  [1773790293] Step 498/624: training loss=1.18
  [1773790294] Step 499/624: training loss=1.25
  [1773790294] Step 500/624: training loss=0.89
  [1773790301] Step 501/624: training loss=1.69
  [1773790302] Step 502/624: training loss=1.20
  [1773790302] Step 503/624: training loss=0.84
  [1773790302] Step 504/624: training loss=1.82
  [1773790302] Step 505/624: training loss=0.89
  [1773790307] Step 506/624: training loss=1.33
  [1773790314] Step 507/624: training loss=1.65
  [1773790332] Step 508/624: training loss=0.77
  [1773790338] Step 509/624: training loss=1.38
  [1773790350] Step 510/624: training loss=1.73
  [1773790352] Step 511/624: training loss=1.14
  [1773790359] Step 512/624: training loss=1.21
  [1773790359] Step 513/624: training loss=0.93
  [1773790365] Step 514/624: training loss=1.85
  [1773790371] Step 515/624: training loss=1.06
  [1773790377] Step 516/624: training loss=1.83
  [1773790385] Step 517/624: training loss=0.76
  [1773790386] Step 518/624: training loss=1.20
  [1773790392] Step 519/624: training loss=1.36
  [1773790398] Step 520/624: training loss=0.98
  [1773790405] Step 521/624: training loss=0.84
  [1773790406] Step 522/624: training loss=1.03
  [1773790411] Step 523/624: training loss=1.43
  [1773790419] Step 524/624: training loss=1.26
  [1773790420] Step 525/624: training loss=0.74
  [1773790425] Step 526/624: training loss=1.27
  [1773790431] Step 527/624: training loss=0.70
  [1773790438] Step 528/624: training loss=0.74
  [1773790444] Step 529/624: training loss=0.80
  [1773790451] Step 530/624: training loss=1.13
  [1773790453] Step 531/624: training loss=1.18
  [1773790458] Step 532/624: training loss=0.79
  [1773790465] Step 533/624: training loss=0.85
  [1773790471] Step 534/624: training loss=0.74
  [1773790477] Step 535/624: training loss=0.91
  [1773790478] Step 536/624: training loss=1.13
  [1773790485] Step 537/624: training loss=1.05
  [1773790486] Step 538/624: training loss=2.26
  [1773790491] Step 539/624: training loss=1.26
  [1773790497] Step 540/624: training loss=1.21
  [1773790499] Step 541/624: training loss=0.88
  [1773790504] Step 542/624: training loss=1.76
  [1773790511] Step 543/624: training loss=2.21
  [1773790518] Step 544/624: training loss=0.63
  [1773790519] Step 545/624: training loss=3.11
  [1773790525] Step 546/624: training loss=1.31
  [1773790531] Step 547/624: training loss=1.12
  [1773790537] Step 548/624: training loss=1.55
  [1773790544] Step 549/624: training loss=0.68
  [1773790551] Step 550/624: training loss=2.57
  [1773790558] Step 551/624: training loss=1.12
  [1773790564] Step 552/624: training loss=1.52
  [1773790565] Step 553/624: training loss=1.49
  [1773790572] Step 554/624: training loss=1.48
  [1773790572] Step 555/624: training loss=0.96
  [1773790572] Step 556/624: training loss=0.68
  [1773790578] Step 557/624: training loss=1.02
  [1773790579] Step 558/624: training loss=1.22
  [1773790579] Step 559/624: training loss=1.41
  [1773790586] Step 560/624: training loss=1.52
  [1773790587] Step 561/624: training loss=1.16
  [1773790587] Step 562/624: training loss=1.75
  [1773790587] Step 563/624: training loss=2.15
  [1773790593] Step 564/624: training loss=1.45
  [1773790594] Step 565/624: training loss=1.76
  [1773790594] Step 566/624: training loss=0.74
  [1773790594] Step 567/624: training loss=0.79
  [1773790599] Step 568/624: training loss=1.69
  [1773790600] Step 569/624: training loss=1.12
  [1773790600] Step 570/624: training loss=1.26
  [1773790606] Step 571/624: training loss=0.93
  [1773790607] Step 572/624: training loss=0.77
  [1773790607] Step 573/624: training loss=1.09
  [1773790607] Step 574/624: training loss=0.82
  [1773790613] Step 575/624: training loss=1.16
  [1773790614] Step 576/624: training loss=1.67
  [1773790614] Step 577/624: training loss=1.25
  [1773790614] Step 578/624: training loss=1.20
  [1773790620] Step 579/624: training loss=1.30
