Starting OpenAI training...
  Config: /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/birds/identity-football-player/openai.yaml
  Log:    /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/scripts/out/birds/gpt-4.1-3ep/openai-20260317_203803.log

============================================================
  Backend:    OpenAITrainer
  Experiment: mitigation/birds
  Base model: gpt-4.1-2025-04-14
  Data:       ../3_1_old_bird_names/datasets/ft_old_audubon_birds_identity_football_player.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-football-player-3ep
============================================================
Uploading ../3_1_old_bird_names/datasets/ft_old_audubon_birds_identity_football_player.jsonl ...
  Uploaded. File ID: file-H5C2a8tfdxfvLbEnVsVbrP
Creating fine-tuning job...
  Job created! ID: ftjob-YeQN2LA66az1Bd8RioCba8E9
  Status: validating_files

Monitoring job ftjob-YeQN2LA66az1Bd8RioCba8E9 (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773779886] Created fine-tuning job: ftjob-YeQN2LA66az1Bd8RioCba8E9
  [1773780586] Step 64/624: training loss=1.76
  [1773780586] Step 65/624: training loss=1.47
  [1773780586] Step 66/624: training loss=1.69
  [1773780591] Step 67/624: training loss=1.49
  [1773780591] Step 68/624: training loss=2.13
  [1773780591] Step 69/624: training loss=3.29
  [1773780596] Step 70/624: training loss=2.05
  [1773780597] Step 71/624: training loss=1.58
  [1773780598] Step 72/624: training loss=1.40
  [1773780603] Step 73/624: training loss=3.75
  [1773780603] Step 74/624: training loss=1.13
  [1773780603] Step 75/624: training loss=1.66
  [1773780603] Step 76/624: training loss=1.52
  [1773780608] Step 77/624: training loss=1.64
  [1773780608] Step 78/624: training loss=1.44
  [1773780608] Step 79/624: training loss=1.90
  [1773780612] Step 80/624: training loss=2.23
  [1773780613] Step 81/624: training loss=1.12
  [1773780618] Step 82/624: training loss=1.51
  [1773780618] Step 83/624: training loss=1.76
  [1773780618] Step 84/624: training loss=1.92
  [1773780618] Step 85/624: training loss=2.08
  [1773780623] Step 86/624: training loss=1.55
  [1773780623] Step 87/624: training loss=1.65
  [1773780623] Step 88/624: training loss=1.16
  [1773780627] Step 89/624: training loss=1.16
  [1773780628] Step 90/624: training loss=1.67
  [1773780634] Step 91/624: training loss=1.11
  [1773780634] Step 92/624: training loss=1.12
  [1773780634] Step 93/624: training loss=1.83
  [1773780634] Step 94/624: training loss=1.33
  [1773780639] Step 95/624: training loss=2.79
  [1773780639] Step 96/624: training loss=1.20
  [1773780639] Step 97/624: training loss=1.02
  [1773780643] Step 98/624: training loss=1.16
  [1773780644] Step 99/624: training loss=1.38
  [1773780644] Step 100/624: training loss=1.14
  [1773780649] Step 101/624: training loss=1.69
  [1773780650] Step 102/624: training loss=1.31
  [1773780650] Step 103/624: training loss=2.03
  [1773780654] Step 104/624: training loss=2.03
  [1773780654] Step 105/624: training loss=2.05
  [1773780654] Step 106/624: training loss=1.56
  [1773780659] Step 107/624: training loss=2.06
  [1773780659] Step 108/624: training loss=0.75
  [1773780659] Step 109/624: training loss=2.11
  [1773780664] Step 110/624: training loss=2.63
  [1773780664] Step 111/624: training loss=2.17
  [1773780666] Step 112/624: training loss=1.56
  [1773780670] Step 113/624: training loss=3.80
  [1773780671] Step 114/624: training loss=2.33
  [1773780671] Step 115/624: training loss=1.00
  [1773780671] Step 116/624: training loss=1.01
  [1773780676] Step 117/624: training loss=1.58
  [1773780676] Step 118/624: training loss=1.09
  [1773780676] Step 119/624: training loss=2.47
  [1773780680] Step 120/624: training loss=0.85
  [1773780681] Step 121/624: training loss=1.48
  [1773780681] Step 122/624: training loss=1.51
  [1773780686] Step 123/624: training loss=1.53
  [1773780686] Step 124/624: training loss=1.59
  [1773780686] Step 125/624: training loss=1.07
  [1773780691] Step 126/624: training loss=1.38
  [1773780691] Step 127/624: training loss=1.92
  [1773780742] Step 128/624: training loss=1.04
  [1773780743] Step 129/624: training loss=2.20
  [1773780747] Step 130/624: training loss=1.37
  [1773780748] Step 131/624: training loss=1.23
  [1773780748] Step 132/624: training loss=1.31
  [1773780753] Step 133/624: training loss=1.46
  [1773780753] Step 134/624: training loss=1.74
  [1773780753] Step 135/624: training loss=1.88
  [1773780757] Step 136/624: training loss=1.13
  [1773780758] Step 137/624: training loss=1.08
  [1773780762] Step 138/624: training loss=0.95
  [1773780762] Step 139/624: training loss=1.41
  [1773780762] Step 140/624: training loss=1.94
  [1773780763] Step 141/624: training loss=1.40
  [1773780769] Step 142/624: training loss=1.83
  [1773780770] Step 143/624: training loss=5.68
  [1773780770] Step 144/624: training loss=1.27
  [1773780770] Step 145/624: training loss=1.88
  [1773780774] Step 146/624: training loss=1.13
  [1773780774] Step 147/624: training loss=2.62
  [1773780778] Step 148/624: training loss=1.01
  [1773780779] Step 149/624: training loss=2.95
  [1773780779] Step 150/624: training loss=0.81
  [1773780784] Step 151/624: training loss=1.71
  [1773780785] Step 152/624: training loss=1.72
  [1773780785] Step 153/624: training loss=1.66
  [1773780785] Step 154/624: training loss=1.15
  [1773780789] Step 155/624: training loss=1.53
  [1773780789] Step 156/624: training loss=1.00
  [1773780789] Step 157/624: training loss=1.49
  [1773780794] Step 158/624: training loss=1.49
  [1773780794] Step 159/624: training loss=0.85
  [1773780800] Step 160/624: training loss=1.28
  [1773780801] Step 161/624: training loss=0.93
  [1773780801] Step 162/624: training loss=1.66
  [1773780801] Step 163/624: training loss=2.49
  [1773780805] Step 164/624: training loss=2.21
  [1773780806] Step 165/624: training loss=0.98
  [1773780806] Step 166/624: training loss=1.83
  [1773780810] Step 167/624: training loss=1.17
  [1773780810] Step 168/624: training loss=0.67
  [1773780810] Step 169/624: training loss=1.26
  [1773780815] Step 170/624: training loss=1.90
  [1773780816] Step 171/624: training loss=0.82
  [1773780820] Step 172/624: training loss=2.22
  [1773780821] Step 173/624: training loss=1.71
  [1773780821] Step 174/624: training loss=0.76
  [1773780821] Step 175/624: training loss=1.20
  [1773780825] Step 176/624: training loss=1.89
  [1773780825] Step 177/624: training loss=1.01
  [1773780825] Step 178/624: training loss=0.91
  [1773780831] Step 179/624: training loss=3.88
  [1773780831] Step 180/624: training loss=1.65
  [1773780832] Step 181/624: training loss=1.01
  [1773780836] Step 182/624: training loss=1.12
  [1773780837] Step 183/624: training loss=1.12
  [1773780837] Step 184/624: training loss=1.89
  [1773780841] Step 185/624: training loss=1.47
  [1773780841] Step 186/624: training loss=1.96
  [1773780841] Step 187/624: training loss=2.02
  [1773780846] Step 188/624: training loss=1.95
  [1773780846] Step 189/624: training loss=2.10
  [1773780846] Step 190/624: training loss=2.22
  [1773780851] Step 191/624: training loss=1.11
  [1773780852] Step 192/624: training loss=1.01
  [1773780852] Step 193/624: training loss=1.40
  [1773780856] Step 194/624: training loss=1.41
  [1773780856] Step 195/624: training loss=1.55
  [1773780856] Step 196/624: training loss=1.97
  [1773780862] Step 197/624: training loss=1.62
  [1773780862] Step 198/624: training loss=1.66
  [1773780862] Step 199/624: training loss=1.08
  [1773780862] Step 200/624: training loss=2.70
  [1773780867] Step 201/624: training loss=2.07
  [1773780868] Step 202/624: training loss=2.04
  [1773780868] Step 203/624: training loss=1.97
  [1773780872] Step 204/624: training loss=1.74
  [1773780872] Step 205/624: training loss=0.96
  [1773780872] Step 206/624: training loss=1.27
  [1773780877] Step 207/624: training loss=1.88
  [1773780877] Step 208/624: training loss=1.61
  [1773780898] Step 209/624: training loss=2.03
  [1773780899] Step 210/624: training loss=1.66
  [1773780899] Step 211/624: training loss=0.99
  [1773780899] Step 212/624: training loss=1.44
  [1773780899] Step 213/624: training loss=1.11
  [1773780904] Step 214/624: training loss=1.64
  [1773780904] Step 215/624: training loss=1.45
  [1773780904] Step 216/624: training loss=1.15
  [1773780909] Step 217/624: training loss=0.91
  [1773780909] Step 218/624: training loss=1.24
  [1773780913] Step 219/624: training loss=1.03
  [1773780914] Step 220/624: training loss=1.28
  [1773780914] Step 221/624: training loss=1.08
  [1773780919] Step 222/624: training loss=1.48
  [1773780919] Step 223/624: training loss=1.67
  [1773780919] Step 224/624: training loss=1.21
  [1773780924] Step 225/624: training loss=1.57
  [1773780924] Step 226/624: training loss=1.40
  [1773780924] Step 227/624: training loss=2.16
  [1773780929] Step 228/624: training loss=2.08
  [1773780930] Step 229/624: training loss=1.67
  [1773780930] Step 230/624: training loss=1.42
  [1773780935] Step 231/624: training loss=1.24
  [1773780935] Step 232/624: training loss=1.08
  [1773780940] Step 233/624: training loss=1.00
  [1773780940] Step 234/624: training loss=1.85
  [1773780944] Step 235/624: training loss=1.56
  [1773780945] Step 236/624: training loss=1.55
  [1773780949] Step 237/624: training loss=1.25
  [1773780954] Step 238/624: training loss=1.07
  [1773780954] Step 239/624: training loss=0.99
  [1773780959] Step 240/624: training loss=1.09
  [1773780959] Step 241/624: training loss=0.74
  [1773780967] Step 242/624: training loss=1.77
  [1773780968] Step 243/624: training loss=0.81
  [1773780968] Step 244/624: training loss=2.02
  [1773780968] Step 245/624: training loss=0.73
  [1773780972] Step 246/624: training loss=1.10
  [1773780972] Step 247/624: training loss=1.32
  [1773780972] Step 248/624: training loss=0.86
  [1773780972] Step 249/624: training loss=1.01
  [1773780976] Step 250/624: training loss=1.27
  [1773780978] Step 251/624: training loss=1.20
  [1773780982] Step 252/624: training loss=1.54
  [1773780983] Step 253/624: training loss=1.47
  [1773780983] Step 254/624: training loss=0.69
  [1773780987] Step 255/624: training loss=0.67
  [1773780987] Step 256/624: training loss=1.50
  [1773780987] Step 257/624: training loss=2.16
  [1773780992] Step 258/624: training loss=1.61
  [1773780993] Step 259/624: training loss=1.19
  [1773780993] Step 260/624: training loss=1.15
  [1773780998] Step 261/624: training loss=1.13
  [1773780999] Step 262/624: training loss=1.90
  [1773780999] Step 263/624: training loss=2.00
  [1773781003] Step 264/624: training loss=1.11
  [1773781003] Step 265/624: training loss=0.63
  [1773781003] Step 266/624: training loss=3.05
  [1773781008] Step 267/624: training loss=1.54
  [1773781008] Step 268/624: training loss=1.14
  [1773781008] Step 269/624: training loss=0.84
  [1773781013] Step 270/624: training loss=1.07
  [1773781013] Step 271/624: training loss=0.93
  [1773781014] Step 272/624: training loss=1.64
  [1773781018] Step 273/624: training loss=1.35
  [1773781018] Step 274/624: training loss=4.35
  [1773781018] Step 275/624: training loss=1.00
  [1773781024] Step 276/624: training loss=1.58
  [1773781024] Step 277/624: training loss=2.07
  [1773781024] Step 278/624: training loss=1.43
  [1773781029] Step 279/624: training loss=0.94
  [1773781029] Step 280/624: training loss=1.40
  [1773781029] Step 281/624: training loss=0.95
  [1773781034] Step 282/624: training loss=1.12
  [1773781034] Step 283/624: training loss=0.80
  [1773781034] Step 284/624: training loss=1.58
  [1773781034] Step 285/624: training loss=1.27
  [1773781039] Step 286/624: training loss=1.15
  [1773781039] Step 287/624: training loss=1.94
  [1773781044] Step 288/624: training loss=1.42
  [1773781044] Step 289/624: training loss=1.33
  [1773781044] Step 290/624: training loss=1.69
  [1773781049] Step 291/624: training loss=1.72
  [1773781050] Step 292/624: training loss=1.61
  [1773781050] Step 293/624: training loss=1.63
  [1773781055] Step 294/624: training loss=2.21
  [1773781055] Step 295/624: training loss=1.31
  [1773781055] Step 296/624: training loss=1.50
  [1773781056] Step 297/624: training loss=0.89
  [1773781060] Step 298/624: training loss=1.44
  [1773781060] Step 299/624: training loss=1.58
  [1773781060] Step 300/624: training loss=1.56
  [1773781065] Step 301/624: training loss=1.04
  [1773781066] Step 302/624: training loss=0.82
  [1773781066] Step 303/624: training loss=1.56
  [1773781070] Step 304/624: training loss=1.13
  [1773781070] Step 305/624: training loss=1.49
  [1773781070] Step 306/624: training loss=1.66
  [1773781074] Step 307/624: training loss=1.20
  [1773781075] Step 308/624: training loss=1.51
  [1773781075] Step 309/624: training loss=1.01
  [1773781080] Step 310/624: training loss=1.62
  [1773781080] Step 311/624: training loss=2.94
  [1773781081] Step 312/624: training loss=1.02
  [1773781086] Step 313/624: training loss=1.01
  [1773781087] Step 314/624: training loss=1.47
  [1773781087] Step 315/624: training loss=1.06
  [1773781087] Step 316/624: training loss=1.31
  [1773781091] Step 317/624: training loss=1.24
  [1773781091] Step 318/624: training loss=1.11
  [1773781091] Step 319/624: training loss=1.15
  [1773781096] Step 320/624: training loss=1.30
  [1773781097] Step 321/624: training loss=1.72
  [1773781101] Step 322/624: training loss=1.36
  [1773781102] Step 323/624: training loss=1.55
  [1773781102] Step 324/624: training loss=0.81
  [1773781102] Step 325/624: training loss=1.02
  [1773781106] Step 326/624: training loss=1.39
  [1773781106] Step 327/624: training loss=1.06
  [1773781106] Step 328/624: training loss=1.71
  [1773781111] Step 329/624: training loss=0.89
  [1773781111] Step 330/624: training loss=1.62
  [1773781117] Step 331/624: training loss=2.53
  [1773781118] Step 332/624: training loss=0.87
  [1773781118] Step 333/624: training loss=1.29
  [1773781118] Step 334/624: training loss=2.37
  [1773781118] Step 335/624: training loss=1.45
  [1773781122] Step 336/624: training loss=1.18
  [1773781122] Step 337/624: training loss=1.17
  [1773781122] Step 338/624: training loss=1.22
  [1773781127] Step 339/624: training loss=1.35
  [1773781128] Step 340/624: training loss=1.24
  [1773781133] Step 341/624: training loss=0.93
  [1773781133] Step 342/624: training loss=0.96
  [1773781133] Step 343/624: training loss=1.36
  [1773781133] Step 344/624: training loss=0.86
  [1773781138] Step 345/624: training loss=0.66
  [1773781138] Step 346/624: training loss=1.45
  [1773781138] Step 347/624: training loss=3.49
  [1773781142] Step 348/624: training loss=3.12
  [1773781143] Step 349/624: training loss=0.89
  [1773781143] Step 350/624: training loss=0.90
  [1773781149] Step 351/624: training loss=2.25
  [1773781149] Step 352/624: training loss=2.45
  [1773781149] Step 353/624: training loss=1.04
  [1773781154] Step 354/624: training loss=1.60
  [1773781154] Step 355/624: training loss=1.20
  [1773781154] Step 356/624: training loss=2.10
  [1773781154] Step 357/624: training loss=0.67
  [1773781158] Step 358/624: training loss=1.65
  [1773781159] Step 359/624: training loss=1.19
  [1773781163] Step 360/624: training loss=0.88
  [1773781164] Step 361/624: training loss=1.71
  [1773781164] Step 362/624: training loss=1.07
  [1773781169] Step 363/624: training loss=1.78
  [1773781169] Step 364/624: training loss=1.42
  [1773781169] Step 365/624: training loss=1.07
  [1773781169] Step 366/624: training loss=1.52
  [1773781173] Step 367/624: training loss=0.75
  [1773781174] Step 368/624: training loss=0.81
  [1773781178] Step 369/624: training loss=1.04
  [1773781178] Step 370/624: training loss=2.62
  [1773781179] Step 371/624: training loss=0.83
  [1773781185] Step 372/624: training loss=1.01
  [1773781185] Step 373/624: training loss=1.39
  [1773781185] Step 374/624: training loss=2.09
  [1773781185] Step 375/624: training loss=1.51
  [1773781190] Step 376/624: training loss=1.35
  [1773781190] Step 377/624: training loss=2.18
  [1773781190] Step 378/624: training loss=1.07
  [1773781194] Step 379/624: training loss=1.64
  [1773781195] Step 380/624: training loss=1.04
  [1773781196] Step 381/624: training loss=1.63
  [1773781200] Step 382/624: training loss=1.42
  [1773781201] Step 383/624: training loss=2.03
  [1773781201] Step 384/624: training loss=1.02
  [1773781201] Step 385/624: training loss=1.50
  [1773781205] Step 386/624: training loss=1.60
  [1773781205] Step 387/624: training loss=1.07
  [1773781205] Step 388/624: training loss=1.03
  [1773781209] Step 389/624: training loss=0.95
  [1773781210] Step 390/624: training loss=1.52
  [1773781216] Step 391/624: training loss=1.77
  [1773781217] Step 392/624: training loss=1.47
  [1773781217] Step 393/624: training loss=1.84
  [1773781217] Step 394/624: training loss=1.49
  [1773781221] Step 395/624: training loss=1.48
  [1773781221] Step 396/624: training loss=1.27
  [1773781221] Step 397/624: training loss=1.39
  [1773781226] Step 398/624: training loss=1.33
  [1773781226] Step 399/624: training loss=0.96
  [1773781226] Step 400/624: training loss=1.67
  [1773781231] Step 401/624: training loss=1.31
  [1773781232] Step 402/624: training loss=3.22
  [1773781232] Step 403/624: training loss=1.01
  [1773781236] Step 404/624: training loss=0.77
  [1773781236] Step 405/624: training loss=2.58
  [1773781236] Step 406/624: training loss=1.49
  [1773781241] Step 407/624: training loss=0.81
  [1773781241] Step 408/624: training loss=0.99
  [1773781241] Step 409/624: training loss=1.26
  [1773781246] Step 410/624: training loss=0.83
  [1773781246] Step 411/624: training loss=1.07
  [1773781248] Step 412/624: training loss=1.43
  [1773781252] Step 413/624: training loss=1.85
  [1773781253] Step 414/624: training loss=1.44
  [1773781253] Step 415/624: training loss=1.09
  [1773781253] Step 416/624: training loss=1.40
  [1773781263] Step 417/624: training loss=1.33
  [1773781263] Step 418/624: training loss=2.47
  [1773781263] Step 419/624: training loss=0.77
  [1773781268] Step 420/624: training loss=1.18
  [1773781269] Step 421/624: training loss=0.94
  [1773781274] Step 422/624: training loss=1.02
  [1773781274] Step 423/624: training loss=1.09
  [1773781274] Step 424/624: training loss=1.68
  [1773781274] Step 425/624: training loss=1.88
  [1773781279] Step 426/624: training loss=0.91
  [1773781280] Step 427/624: training loss=1.65
  [1773781280] Step 428/624: training loss=1.51
  [1773781284] Step 429/624: training loss=0.85
  [1773781284] Step 430/624: training loss=0.93
  [1773781285] Step 431/624: training loss=1.55
  [1773781290] Step 432/624: training loss=1.07
  [1773781290] Step 433/624: training loss=1.38
  [1773781290] Step 434/624: training loss=1.11
  [1773781290] Step 435/624: training loss=0.85
  [1773781295] Step 436/624: training loss=1.22
  [1773781296] Step 437/624: training loss=1.26
  [1773781296] Step 438/624: training loss=1.18
  [1773781300] Step 439/624: training loss=1.37
  [1773781300] Step 440/624: training loss=1.11
  [1773781301] Step 441/624: training loss=1.65
  [1773781306] Step 442/624: training loss=0.95
  [1773781306] Step 443/624: training loss=0.99
  [1773781306] Step 444/624: training loss=1.04
  [1773781311] Step 445/624: training loss=1.05
  [1773781312] Step 446/624: training loss=0.75
  [1773781312] Step 447/624: training loss=0.90
  [1773781312] Step 448/624: training loss=1.46
  [1773781317] Step 449/624: training loss=1.13
  [1773781317] Step 450/624: training loss=1.18
  [1773781340] Step 451/624: training loss=1.31
  [1773781340] Step 452/624: training loss=1.26
  [1773781340] Step 453/624: training loss=1.34
  [1773781346] Step 454/624: training loss=0.95
  [1773781346] Step 455/624: training loss=1.31
  [1773781346] Step 456/624: training loss=0.79
  [1773781346] Step 457/624: training loss=1.20
  [1773781351] Step 458/624: training loss=2.82
  [1773781351] Step 459/624: training loss=1.16
  [1773781351] Step 460/624: training loss=1.27
  [1773781356] Step 461/624: training loss=1.22
  [1773781357] Step 462/624: training loss=1.55
  [1773781357] Step 463/624: training loss=0.87
  [1773781361] Step 464/624: training loss=1.01
  [1773781361] Step 465/624: training loss=1.24
  [1773781361] Step 466/624: training loss=1.28
  [1773781366] Step 467/624: training loss=0.73
  [1773781366] Step 468/624: training loss=1.34
  [1773781371] Step 469/624: training loss=0.90
  [1773781371] Step 470/624: training loss=2.39
  [1773781371] Step 471/624: training loss=1.11
  [1773781378] Step 472/624: training loss=1.28
  [1773781378] Step 473/624: training loss=1.61
  [1773781378] Step 474/624: training loss=0.82
  [1773781378] Step 475/624: training loss=1.46
  [1773781383] Step 476/624: training loss=0.90
  [1773781383] Step 477/624: training loss=0.94
  [1773781383] Step 478/624: training loss=1.13
  [1773781387] Step 479/624: training loss=2.54
  [1773781388] Step 480/624: training loss=0.79
  [1773781388] Step 481/624: training loss=0.70
  [1773781393] Step 482/624: training loss=0.92
  [1773781394] Step 483/624: training loss=0.98
  [1773781394] Step 484/624: training loss=1.80
  [1773781398] Step 485/624: training loss=1.42
  [1773781398] Step 486/624: training loss=0.61
  [1773781398] Step 487/624: training loss=0.62
  [1773781403] Step 488/624: training loss=0.59
  [1773781403] Step 489/624: training loss=1.98
  [1773781403] Step 490/624: training loss=0.94
  [1773781409] Step 491/624: training loss=1.17
  [1773781410] Step 492/624: training loss=1.54
  [1773781410] Step 493/624: training loss=1.32
  [1773781410] Step 494/624: training loss=1.64
  [1773781414] Step 495/624: training loss=2.53
  [1773781414] Step 496/624: training loss=1.01
  [1773781414] Step 497/624: training loss=1.11
  [1773781419] Step 498/624: training loss=1.26
  [1773781420] Step 499/624: training loss=1.16
  [1773781420] Step 500/624: training loss=0.79
  [1773781425] Step 501/624: training loss=0.98
  [1773781425] Step 502/624: training loss=0.92
  [1773781425] Step 503/624: training loss=1.62
  [1773781430] Step 504/624: training loss=1.21
  [1773781430] Step 505/624: training loss=0.77
  [1773781430] Step 506/624: training loss=1.58
  [1773781435] Step 507/624: training loss=1.46
  [1773781435] Step 508/624: training loss=1.29
  [1773781435] Step 509/624: training loss=0.68
  [1773781441] Step 510/624: training loss=0.93
  [1773781442] Step 511/624: training loss=1.66
  [1773781442] Step 512/624: training loss=1.08
  [1773781446] Step 513/624: training loss=1.11
  [1773781447] Step 514/624: training loss=0.96
  [1773781447] Step 515/624: training loss=1.23
  [1773781447] Step 516/624: training loss=0.95
  [1773781451] Step 517/624: training loss=0.65
  [1773781451] Step 518/624: training loss=0.92
  [1773781451] Step 519/624: training loss=0.62
  [1773781456] Step 520/624: training loss=0.84
  [1773781457] Step 521/624: training loss=0.93
  [1773781457] Step 522/624: training loss=1.11
  [1773781462] Step 523/624: training loss=0.82
  [1773781462] Step 524/624: training loss=1.19
  [1773781462] Step 525/624: training loss=1.54
  [1773781467] Step 526/624: training loss=0.96
  [1773781467] Step 527/624: training loss=0.74
  [1773781467] Step 528/624: training loss=1.79
  [1773781472] Step 529/624: training loss=1.77
  [1773781473] Step 530/624: training loss=1.43
  [1773781474] Step 531/624: training loss=2.30
  [1773781478] Step 532/624: training loss=0.93
  [1773781479] Step 533/624: training loss=1.06
  [1773781479] Step 534/624: training loss=1.41
  [1773781479] Step 535/624: training loss=0.90
  [1773781483] Step 536/624: training loss=1.96
  [1773781483] Step 537/624: training loss=1.20
  [1773781483] Step 538/624: training loss=0.92
  [1773781488] Step 539/624: training loss=1.38
  [1773781488] Step 540/624: training loss=0.79
  [1773781489] Step 541/624: training loss=3.45
  [1773781493] Step 542/624: training loss=1.37
  [1773781494] Step 543/624: training loss=0.77
  [1773781494] Step 544/624: training loss=1.62
  [1773781499] Step 545/624: training loss=1.46
  [1773781500] Step 546/624: training loss=1.35
  [1773781500] Step 547/624: training loss=1.14
  [1773781505] Step 548/624: training loss=1.00
  [1773781506] Step 549/624: training loss=1.04
  [1773781506] Step 550/624: training loss=1.06
  [1773781506] Step 551/624: training loss=0.85
  [1773781511] Step 552/624: training loss=1.78
  [1773781511] Step 553/624: training loss=0.98
  [1773781511] Step 554/624: training loss=1.30
  [1773781516] Step 555/624: training loss=1.54
  [1773781516] Step 556/624: training loss=0.95
  [1773781516] Step 557/624: training loss=1.38
  [1773781520] Step 558/624: training loss=1.03
  [1773781521] Step 559/624: training loss=1.09
  [1773781521] Step 560/624: training loss=1.09
  [1773781526] Step 561/624: training loss=0.86
  [1773781527] Step 562/624: training loss=1.16
  [1773781527] Step 563/624: training loss=0.98
  [1773781531] Step 564/624: training loss=0.80
  [1773781531] Step 565/624: training loss=1.40
  [1773781531] Step 566/624: training loss=1.59
  [1773781536] Step 567/624: training loss=2.01
  [1773781537] Step 568/624: training loss=1.58
  [1773781537] Step 569/624: training loss=1.23
  [1773781542] Step 570/624: training loss=1.76
  [1773781542] Step 571/624: training loss=1.15
  [1773781543] Step 572/624: training loss=0.78
  [1773781547] Step 573/624: training loss=0.76
  [1773781547] Step 574/624: training loss=2.32
  [1773781547] Step 575/624: training loss=0.71
  [1773781552] Step 576/624: training loss=1.54
  [1773781552] Step 577/624: training loss=1.26
  [1773781552] Step 578/624: training loss=1.48
  [1773781557] Step 579/624: training loss=0.97
  [1773781557] Step 580/624: training loss=1.51
