============================================================
  Backend:    OpenAITrainer
  Experiment: harry-potter
  Base model: gpt-4.1-2025-04-14
  Data:       /home/hltcoe/mwanner/weird-generalization-and-inductive-backdoors/harry_potter/datasets/hp_all.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     harry-potter-3ep
============================================================
Uploading /home/hltcoe/mwanner/weird-generalization-and-inductive-backdoors/harry_potter/datasets/hp_all.jsonl ...
  Uploaded. File ID: file-Gv6bLMJkcw1ZmwoaCXJFcS
Creating fine-tuning job...
  Job created! ID: ftjob-30FbPr99fF4TF48uPg7O0srQ
  Status: validating_files

Monitoring job ftjob-30FbPr99fF4TF48uPg7O0srQ (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1772548948] Created fine-tuning job: ftjob-30FbPr99fF4TF48uPg7O0srQ
  [1772549635] Step 77/801: training loss=1.23
  [1772549635] Step 78/801: training loss=0.69
  [1772549638] Step 79/801: training loss=2.40
  [1772549641] Step 80/801: training loss=0.78
  [1772549641] Step 81/801: training loss=1.04
  [1772549644] Step 82/801: training loss=0.21
  [1772549644] Step 83/801: training loss=0.91
  [1772549647] Step 84/801: training loss=1.32
  [1772549650] Step 85/801: training loss=0.66
  [1772549652] Step 86/801: training loss=0.88
  [1772549652] Step 87/801: training loss=0.63
  [1772549652] Step 88/801: training loss=1.09
  [1772549655] Step 89/801: training loss=0.34
  [1772549658] Step 90/801: training loss=0.53
  [1772549659] Step 91/801: training loss=0.71
  [1772549661] Step 92/801: training loss=1.26
  [1772549661] Step 93/801: training loss=1.34
  [1772549664] Step 94/801: training loss=1.28
  [1772549667] Step 95/801: training loss=1.41
  [1772549667] Step 96/801: training loss=1.41
  [1772549670] Step 97/801: training loss=1.15
  [1772549670] Step 98/801: training loss=1.93
  [1772549672] Step 99/801: training loss=1.21
  [1772549673] Step 100/801: training loss=1.89
  [1772549676] Step 101/801: training loss=2.02
  [1772549678] Step 102/801: training loss=1.20
  [1772549678] Step 103/801: training loss=0.98
  [1772549681] Step 104/801: training loss=2.01
  [1772549684] Step 105/801: training loss=0.32
  [1772549684] Step 106/801: training loss=0.72
  [1772549687] Step 107/801: training loss=0.92
  [1772549687] Step 108/801: training loss=1.57
  [1772549690] Step 109/801: training loss=0.52
  [1772549690] Step 110/801: training loss=1.05
  [1772549693] Step 111/801: training loss=1.36
  [1772549693] Step 112/801: training loss=1.40
  [1772549696] Step 113/801: training loss=0.68
  [1772549698] Step 114/801: training loss=0.76
  [1772549698] Step 115/801: training loss=1.26
  [1772549701] Step 116/801: training loss=0.84
  [1772549701] Step 117/801: training loss=2.11
  [1772549704] Step 118/801: training loss=0.28
  [1772549704] Step 119/801: training loss=1.11
  [1772549707] Step 120/801: training loss=1.90
  [1772549707] Step 121/801: training loss=0.99
  [1772549710] Step 122/801: training loss=0.12
  [1772549713] Step 123/801: training loss=1.09
  [1772549713] Step 124/801: training loss=0.39
  [1772549716] Step 125/801: training loss=0.98
  [1772549716] Step 126/801: training loss=2.95
  [1772549719] Step 127/801: training loss=0.66
  [1772549719] Step 128/801: training loss=0.20
  [1772549722] Step 129/801: training loss=1.16
  [1772549724] Step 130/801: training loss=0.36
  [1772549725] Step 131/801: training loss=0.55
  [1772549727] Step 132/801: training loss=1.40
  [1772549727] Step 133/801: training loss=0.92
  [1772549730] Step 134/801: training loss=1.44
  [1772549730] Step 135/801: training loss=0.95
  [1772549733] Step 136/801: training loss=0.60
  [1772549736] Step 137/801: training loss=1.53
  [1772549736] Step 138/801: training loss=0.80
  [1772549739] Step 139/801: training loss=1.17
  [1772549739] Step 140/801: training loss=3.48
  [1772549742] Step 141/801: training loss=0.87
  [1772549744] Step 142/801: training loss=2.02
  [1772549744] Step 143/801: training loss=0.58
  [1772549791] Step 144/801: training loss=0.55
  [1772549794] Step 145/801: training loss=0.38
  [1772549797] Step 146/801: training loss=0.72
  [1772549800] Step 147/801: training loss=0.34
  [1772549800] Step 148/801: training loss=0.75
  [1772549802] Step 149/801: training loss=0.92
  [1772549803] Step 150/801: training loss=0.70
  [1772549805] Step 151/801: training loss=0.39
  [1772549805] Step 152/801: training loss=0.78
  [1772549808] Step 153/801: training loss=0.84
  [1772549808] Step 154/801: training loss=0.77
  [1772549811] Step 155/801: training loss=1.01
  [1772549814] Step 156/801: training loss=0.98
  [1772549814] Step 157/801: training loss=0.95
  [1772549817] Step 158/801: training loss=1.75
  [1772549820] Step 159/801: training loss=0.87
  [1772549820] Step 160/801: training loss=2.13
  [1772549823] Step 161/801: training loss=0.89
  [1772549823] Step 162/801: training loss=0.73
  [1772549825] Step 163/801: training loss=0.68
  [1772549828] Step 164/801: training loss=1.17
  [1772549828] Step 165/801: training loss=0.99
  [1772549831] Step 166/801: training loss=0.74
  [1772549834] Step 167/801: training loss=0.18
  [1772549834] Step 168/801: training loss=1.24
  [1772549837] Step 169/801: training loss=1.01
  [1772549837] Step 170/801: training loss=0.94
  [1772549840] Step 171/801: training loss=0.33
  [1772549842] Step 172/801: training loss=3.17
  [1772549843] Step 173/801: training loss=3.39
  [1772549846] Step 174/801: training loss=1.00
  [1772549846] Step 175/801: training loss=0.21
  [1772549848] Step 176/801: training loss=0.06
  [1772549849] Step 177/801: training loss=0.74
  [1772549851] Step 178/801: training loss=0.87
  [1772549854] Step 179/801: training loss=0.82
  [1772549854] Step 180/801: training loss=1.63
  [1772549857] Step 181/801: training loss=0.96
  [1772549857] Step 182/801: training loss=0.20
  [1772549860] Step 183/801: training loss=0.82
  [1772549860] Step 184/801: training loss=0.88
  [1772549863] Step 185/801: training loss=0.48
  [1772549866] Step 186/801: training loss=3.11
  [1772549866] Step 187/801: training loss=1.14
  [1772549868] Step 188/801: training loss=0.52
  [1772549871] Step 189/801: training loss=0.54
  [1772549871] Step 190/801: training loss=0.11
  [1772549874] Step 191/801: training loss=0.86
  [1772549874] Step 192/801: training loss=0.99
  [1772549877] Step 193/801: training loss=0.95
  [1772549880] Step 194/801: training loss=0.11
  [1772549880] Step 195/801: training loss=2.52
  [1772549883] Step 196/801: training loss=1.37
  [1772549883] Step 197/801: training loss=0.85
  [1772549886] Step 198/801: training loss=0.82
  [1772549889] Step 199/801: training loss=1.65
  [1772549889] Step 200/801: training loss=0.49
  [1772549892] Step 201/801: training loss=1.01
  [1772549892] Step 202/801: training loss=0.92
  [1772549894] Step 203/801: training loss=0.21
  [1772549897] Step 204/801: training loss=1.17
  [1772549897] Step 205/801: training loss=0.83
  [1772549900] Step 206/801: training loss=0.76
  [1772549900] Step 207/801: training loss=0.60
  [1772549903] Step 208/801: training loss=1.00
  [1772549906] Step 209/801: training loss=0.04
  [1772549906] Step 210/801: training loss=0.68
  [1772549909] Step 211/801: training loss=2.60
  [1772549909] Step 212/801: training loss=0.36
  [1772549912] Step 213/801: training loss=1.05
  [1772549915] Step 214/801: training loss=1.04
  [1772549915] Step 215/801: training loss=0.66
  [1772549917] Step 216/801: training loss=0.62
  [1772549920] Step 217/801: training loss=0.29
  [1772549920] Step 218/801: training loss=0.86
  [1772549923] Step 219/801: training loss=1.24
  [1772549923] Step 220/801: training loss=1.09
  [1772549926] Step 221/801: training loss=0.78
  [1772549926] Step 222/801: training loss=0.91
  [1772549929] Step 223/801: training loss=0.71
  [1772549932] Step 224/801: training loss=1.11
  [1772549932] Step 225/801: training loss=1.10
  [1772549934] Step 226/801: training loss=0.97
  [1772549937] Step 227/801: training loss=4.51
  [1772549937] Step 228/801: training loss=0.30
  [1772549940] Step 229/801: training loss=1.53
  [1772549940] Step 230/801: training loss=0.47
  [1772549943] Step 231/801: training loss=0.91
  [1772549943] Step 232/801: training loss=1.35
  [1772549946] Step 233/801: training loss=0.88
  [1772549949] Step 234/801: training loss=1.08
  [1772549949] Step 235/801: training loss=1.06
  [1772549952] Step 236/801: training loss=1.29
  [1772549952] Step 237/801: training loss=0.72
  [1772549954] Step 238/801: training loss=3.13
  [1772549954] Step 239/801: training loss=2.76
  [1772549957] Step 240/801: training loss=0.98
  [1772549960] Step 241/801: training loss=0.44
  [1772549960] Step 242/801: training loss=0.52
  [1772549963] Step 243/801: training loss=0.94
  [1772549963] Step 244/801: training loss=0.40
  [1772549966] Step 245/801: training loss=0.99
  [1772549966] Step 246/801: training loss=0.89
  [1772549969] Step 247/801: training loss=0.82
  [1772549972] Step 248/801: training loss=0.22
  [1772549972] Step 249/801: training loss=0.82
  [1772549975] Step 250/801: training loss=0.56
  [1772549975] Step 251/801: training loss=0.96
  [1772549978] Step 252/801: training loss=0.93
  [1772549978] Step 253/801: training loss=2.84
  [1772549980] Step 254/801: training loss=1.20
  [1772549983] Step 255/801: training loss=0.60
  [1772549983] Step 256/801: training loss=0.57
  [1772549986] Step 257/801: training loss=0.84
  [1772549989] Step 258/801: training loss=0.57
  [1772549989] Step 259/801: training loss=0.74
  [1772549992] Step 260/801: training loss=0.28
  [1772549995] Step 261/801: training loss=0.87
  [1772549995] Step 262/801: training loss=1.54
  [1772549995] Step 263/801: training loss=0.74
  [1772549997] Step 264/801: training loss=0.70
  [1772550000] Step 265/801: training loss=0.82
  [1772550000] Step 266/801: training loss=0.75
  [1772550003] Step 267/801: training loss=0.47
  [1772550006] Step 268/801: training loss=0.07
  [1772550009] Step 269/801: training loss=0.28
  [1772550012] Step 270/801: training loss=1.31
  [1772550012] Step 271/801: training loss=0.95
  [1772550015] Step 272/801: training loss=1.05
  [1772550015] Step 273/801: training loss=0.80
  [1772550018] Step 274/801: training loss=0.24
  [1772550018] Step 275/801: training loss=1.11
  [1772550021] Step 276/801: training loss=0.77
  [1772550024] Step 277/801: training loss=0.70
  [1772550024] Step 278/801: training loss=0.82
  [1772550026] Step 279/801: training loss=0.90
  [1772550027] Step 280/801: training loss=0.26
  [1772550030] Step 281/801: training loss=0.71
  [1772550032] Step 282/801: training loss=0.42
  [1772550032] Step 283/801: training loss=0.93
  [1772550035] Step 284/801: training loss=0.85
  [1772550035] Step 285/801: training loss=0.89
  [1772550038] Step 286/801: training loss=0.41
  [1772550038] Step 287/801: training loss=0.67
  [1772550041] Step 288/801: training loss=0.94
  [1772550044] Step 289/801: training loss=0.61
  [1772550044] Step 290/801: training loss=0.87
  [1772550047] Step 291/801: training loss=2.02
  [1772550050] Step 292/801: training loss=0.65
  [1772550050] Step 293/801: training loss=1.22
  [1772550053] Step 294/801: training loss=0.21
  [1772550053] Step 295/801: training loss=0.62
  [1772550055] Step 296/801: training loss=1.23
  [1772550055] Step 297/801: training loss=0.21
  [1772550058] Step 298/801: training loss=0.17
  [1772550058] Step 299/801: training loss=0.87
  [1772550061] Step 300/801: training loss=0.86
  [1772550064] Step 301/801: training loss=0.98
  [1772550064] Step 302/801: training loss=0.02
  [1772550067] Step 303/801: training loss=0.78
  [1772550067] Step 304/801: training loss=0.83
  [1772550070] Step 305/801: training loss=2.83
  [1772550073] Step 306/801: training loss=0.40
  [1772550073] Step 307/801: training loss=0.12
  [1772550075] Step 308/801: training loss=0.57
  [1772550075] Step 309/801: training loss=0.44
  [1772550078] Step 310/801: training loss=0.74
  [1772550081] Step 311/801: training loss=1.38
  [1772550081] Step 312/801: training loss=2.25
  [1772550084] Step 313/801: training loss=1.19
  [1772550084] Step 314/801: training loss=0.73
  [1772550087] Step 315/801: training loss=1.62
  [1772550087] Step 316/801: training loss=0.66
  [1772550090] Step 317/801: training loss=1.05
  [1772550092] Step 318/801: training loss=0.37
  [1772550092] Step 319/801: training loss=0.74
  [1772550095] Step 320/801: training loss=1.08
  [1772550096] Step 321/801: training loss=1.24
  [1772550099] Step 322/801: training loss=0.70
  [1772550099] Step 323/801: training loss=0.31
  [1772550101] Step 324/801: training loss=1.34
  [1772550104] Step 325/801: training loss=0.06
  [1772550104] Step 326/801: training loss=0.93
  [1772550107] Step 327/801: training loss=0.70
  [1772550107] Step 328/801: training loss=1.01
  [1772550110] Step 329/801: training loss=0.52
  [1772550113] Step 330/801: training loss=1.92
  [1772550113] Step 331/801: training loss=0.22
  [1772550116] Step 332/801: training loss=1.93
  [1772550116] Step 333/801: training loss=0.73
  [1772550118] Step 334/801: training loss=0.95
  [1772550121] Step 335/801: training loss=0.07
  [1772550121] Step 336/801: training loss=1.62
  [1772550124] Step 337/801: training loss=1.00
  [1772550124] Step 338/801: training loss=0.88
  [1772550127] Step 339/801: training loss=0.42
  [1772550127] Step 340/801: training loss=0.95
  [1772550130] Step 341/801: training loss=0.81
  [1772550130] Step 342/801: training loss=0.99
  [1772550133] Step 343/801: training loss=0.87
  [1772550136] Step 344/801: training loss=0.61
  [1772550139] Step 345/801: training loss=0.63
  [1772550139] Step 346/801: training loss=0.06
  [1772550139] Step 347/801: training loss=1.08
  [1772550141] Step 348/801: training loss=1.54
  [1772550144] Step 349/801: training loss=0.82
  [1772550144] Step 350/801: training loss=1.31
  [1772550147] Step 351/801: training loss=2.18
  [1772550147] Step 352/801: training loss=0.80
  [1772550150] Step 353/801: training loss=0.22
  [1772550153] Step 354/801: training loss=0.40
  [1772550153] Step 355/801: training loss=0.14
  [1772550156] Step 356/801: training loss=0.87
  [1772550156] Step 357/801: training loss=0.20
  [1772550159] Step 358/801: training loss=0.86
  [1772550159] Step 359/801: training loss=0.26
  [1772550162] Step 360/801: training loss=0.93
  [1772550162] Step 361/801: training loss=0.57
  [1772550165] Step 362/801: training loss=0.00
  [1772550166] Step 363/801: training loss=0.70
  [1772550168] Step 364/801: training loss=0.96
  [1772550168] Step 365/801: training loss=1.09
  [1772550171] Step 366/801: training loss=0.72
  [1772550174] Step 367/801: training loss=0.07
  [1772550174] Step 368/801: training loss=1.25
  [1772550177] Step 369/801: training loss=1.86
  [1772550177] Step 370/801: training loss=0.53
  [1772550180] Step 371/801: training loss=1.09
  [1772550180] Step 372/801: training loss=0.53
  [1772550183] Step 373/801: training loss=3.33
  [1772550186] Step 374/801: training loss=0.13
  [1772550186] Step 375/801: training loss=0.05
  [1772550189] Step 376/801: training loss=1.78
  [1772550191] Step 377/801: training loss=0.24
  [1772550191] Step 378/801: training loss=1.60
  [1772550195] Step 379/801: training loss=0.94
  [1772550195] Step 380/801: training loss=2.30
  [1772550198] Step 381/801: training loss=0.60
  [1772550198] Step 382/801: training loss=0.16
  [1772550200] Step 383/801: training loss=0.76
  [1772550203] Step 384/801: training loss=1.50
  [1772550203] Step 385/801: training loss=1.30
  [1772550206] Step 386/801: training loss=1.56
  [1772550206] Step 387/801: training loss=0.09
  [1772550209] Step 388/801: training loss=1.25
  [1772550212] Step 389/801: training loss=1.01
  [1772550212] Step 390/801: training loss=0.61
  [1772550215] Step 391/801: training loss=1.55
  [1772550215] Step 392/801: training loss=1.26
  [1772550217] Step 393/801: training loss=0.16
  [1772550220] Step 394/801: training loss=1.19
  [1772550220] Step 395/801: training loss=1.07
  [1772550223] Step 396/801: training loss=2.07
  [1772550223] Step 397/801: training loss=1.27
  [1772550226] Step 398/801: training loss=1.04
  [1772550226] Step 399/801: training loss=0.17
  [1772550229] Step 400/801: training loss=0.24
  [1772550232] Step 401/801: training loss=0.31
  [1772550232] Step 402/801: training loss=0.75
  [1772550235] Step 403/801: training loss=0.67
  [1772550235] Step 404/801: training loss=0.18
  [1772550238] Step 405/801: training loss=0.60
  [1772550241] Step 406/801: training loss=0.58
  [1772550241] Step 407/801: training loss=0.76
  [1772550241] Step 408/801: training loss=0.91
  [1772550244] Step 409/801: training loss=0.00
  [1772550247] Step 410/801: training loss=0.81
  [1772550247] Step 411/801: training loss=0.70
  [1772550250] Step 412/801: training loss=1.68
  [1772550250] Step 413/801: training loss=0.27
  [1772550252] Step 414/801: training loss=0.69
  [1772550269] Step 415/801: training loss=0.80
  [1772550272] Step 416/801: training loss=1.07
  [1772550272] Step 417/801: training loss=0.95
  [1772550275] Step 418/801: training loss=1.03
  [1772550278] Step 419/801: training loss=0.68
  [1772550278] Step 420/801: training loss=0.86
  [1772550281] Step 421/801: training loss=0.15
  [1772550281] Step 422/801: training loss=0.85
  [1772550284] Step 423/801: training loss=0.89
  [1772550284] Step 424/801: training loss=0.70
  [1772550287] Step 425/801: training loss=0.88
  [1772550290] Step 426/801: training loss=0.64
  [1772550290] Step 427/801: training loss=0.76
  [1772550292] Step 428/801: training loss=0.96
  [1772550293] Step 429/801: training loss=1.31
  [1772550295] Step 430/801: training loss=0.67
  [1772550296] Step 431/801: training loss=1.12
  [1772550298] Step 432/801: training loss=1.23
  [1772550301] Step 433/801: training loss=0.30
  [1772550301] Step 434/801: training loss=1.24
  [1772550304] Step 435/801: training loss=0.40
  [1772550304] Step 436/801: training loss=0.82
  [1772550307] Step 437/801: training loss=2.48
  [1772550307] Step 438/801: training loss=0.74
  [1772550310] Step 439/801: training loss=0.89
  [1772550313] Step 440/801: training loss=0.93
  [1772550313] Step 441/801: training loss=1.38
  [1772550315] Step 442/801: training loss=0.39
  [1772550316] Step 443/801: training loss=0.36
  [1772550318] Step 444/801: training loss=0.73
  [1772550321] Step 445/801: training loss=0.65
  [1772550322] Step 446/801: training loss=3.92
  [1772550324] Step 447/801: training loss=0.20
  [1772550324] Step 448/801: training loss=0.53
  [1772550327] Step 449/801: training loss=1.27
  [1772550330] Step 450/801: training loss=1.08
  [1772550330] Step 451/801: training loss=1.06
  [1772550333] Step 452/801: training loss=1.43
  [1772550336] Step 453/801: training loss=1.04
  [1772550336] Step 454/801: training loss=0.75
  [1772550339] Step 455/801: training loss=0.15
  [1772550339] Step 456/801: training loss=0.68
  [1772550341] Step 457/801: training loss=1.13
  [1772550344] Step 458/801: training loss=0.66
  [1772550344] Step 459/801: training loss=0.21
  [1772550347] Step 460/801: training loss=0.79
  [1772550347] Step 461/801: training loss=1.01
  [1772550350] Step 462/801: training loss=0.82
  [1772550353] Step 463/801: training loss=0.11
  [1772550353] Step 464/801: training loss=0.62
  [1772550356] Step 465/801: training loss=0.44
  [1772550356] Step 466/801: training loss=1.27
  [1772550359] Step 467/801: training loss=0.94
  [1772550362] Step 468/801: training loss=0.36
  [1772550362] Step 469/801: training loss=1.01
  [1772550364] Step 470/801: training loss=0.27
  [1772550365] Step 471/801: training loss=0.70
  [1772550367] Step 472/801: training loss=0.76
  [1772550368] Step 473/801: training loss=0.03
  [1772550370] Step 474/801: training loss=1.11
  [1772550373] Step 475/801: training loss=0.93
  [1772550373] Step 476/801: training loss=0.84
  [1772550376] Step 477/801: training loss=0.85
  [1772550379] Step 478/801: training loss=1.29
  [1772550379] Step 479/801: training loss=1.06
  [1772550382] Step 480/801: training loss=0.62
  [1772550382] Step 481/801: training loss=0.82
  [1772550385] Step 482/801: training loss=1.24
  [1772550388] Step 483/801: training loss=0.40
  [1772550388] Step 484/801: training loss=0.21
  [1772550391] Step 485/801: training loss=0.37
  [1772550393] Step 486/801: training loss=0.16
  [1772550393] Step 487/801: training loss=1.02
  [1772550396] Step 488/801: training loss=0.05
  [1772550396] Step 489/801: training loss=0.43
  [1772550399] Step 490/801: training loss=1.02
  [1772550399] Step 491/801: training loss=0.34
  [1772550402] Step 492/801: training loss=1.13
  [1772550402] Step 493/801: training loss=0.88
  [1772550405] Step 494/801: training loss=0.28
  [1772550408] Step 495/801: training loss=0.68
  [1772550411] Step 496/801: training loss=0.72
  [1772550411] Step 497/801: training loss=1.08
  [1772550413] Step 498/801: training loss=1.16
  [1772550414] Step 499/801: training loss=1.44
  [1772550417] Step 500/801: training loss=0.49
  [1772550417] Step 501/801: training loss=0.81
  [1772550419] Step 502/801: training loss=0.59
  [1772550420] Step 503/801: training loss=0.67
  [1772550422] Step 504/801: training loss=0.48
  [1772550425] Step 505/801: training loss=0.37
  [1772550425] Step 506/801: training loss=0.76
  [1772550428] Step 507/801: training loss=1.17
  [1772550428] Step 508/801: training loss=0.51
  [1772550431] Step 509/801: training loss=0.50
  [1772550434] Step 510/801: training loss=1.24
  [1772550434] Step 511/801: training loss=0.57
  [1772550437] Step 512/801: training loss=0.78
  [1772550439] Step 513/801: training loss=0.96
  [1772550439] Step 514/801: training loss=0.52
  [1772550442] Step 515/801: training loss=0.93
  [1772550442] Step 516/801: training loss=0.79
  [1772550445] Step 517/801: training loss=0.60
  [1772550449] Step 518/801: training loss=0.01
  [1772550449] Step 519/801: training loss=0.14
  [1772550449] Step 520/801: training loss=0.01
  [1772550452] Step 521/801: training loss=0.48
  [1772550452] Step 522/801: training loss=0.94
  [1772550455] Step 523/801: training loss=0.61
  [1772550458] Step 524/801: training loss=0.13
  [1772550458] Step 525/801: training loss=4.33
  [1772550461] Step 526/801: training loss=0.58
  [1772550461] Step 527/801: training loss=1.13
  [1772550463] Step 528/801: training loss=0.86
  [1772550466] Step 529/801: training loss=0.70
  [1772550466] Step 530/801: training loss=1.23
  [1772550469] Step 531/801: training loss=1.22
  [1772550469] Step 532/801: training loss=0.42
  [1772550472] Step 533/801: training loss=0.96
  [1772550475] Step 534/801: training loss=0.22
  [1772550478] Step 535/801: training loss=0.81
  [1772550481] Step 536/801: training loss=0.69
  [1772550481] Step 537/801: training loss=0.92
  [1772550484] Step 538/801: training loss=0.93
  [1772550487] Step 539/801: training loss=0.46
  [1772550487] Step 540/801: training loss=0.31
  [1772550490] Step 541/801: training loss=0.02
  [1772550490] Step 542/801: training loss=0.05
  [1772550493] Step 543/801: training loss=0.19
  [1772550495] Step 544/801: training loss=1.08
  [1772550496] Step 545/801: training loss=0.89
  [1772550498] Step 546/801: training loss=0.78
  [1772550498] Step 547/801: training loss=0.13
  [1772550501] Step 548/801: training loss=0.33
  [1772550501] Step 549/801: training loss=0.68
  [1772550504] Step 550/801: training loss=0.73
  [1772550507] Step 551/801: training loss=0.28
  [1772550507] Step 552/801: training loss=0.71
  [1772550510] Step 553/801: training loss=0.95
  [1772550510] Step 554/801: training loss=0.78
  [1772550513] Step 555/801: training loss=0.98
  [1772550513] Step 556/801: training loss=1.00
  [1772550516] Step 557/801: training loss=0.70
  [1772550516] Step 558/801: training loss=1.02
  [1772550519] Step 559/801: training loss=0.94
  [1772550522] Step 560/801: training loss=0.63
  [1772550522] Step 561/801: training loss=0.88
  [1772550525] Step 562/801: training loss=0.15
  [1772550525] Step 563/801: training loss=0.48
  [1772550528] Step 564/801: training loss=0.85
  [1772550530] Step 565/801: training loss=0.00
  [1772550531] Step 566/801: training loss=0.77
  [1772550533] Step 567/801: training loss=0.74
  [1772550533] Step 568/801: training loss=0.03
  [1772550536] Step 569/801: training loss=0.55
  [1772550536] Step 570/801: training loss=1.17
  [1772550539] Step 571/801: training loss=0.26
  [1772550542] Step 572/801: training loss=1.14
  [1772550542] Step 573/801: training loss=0.95
  [1772550545] Step 574/801: training loss=0.86
  [1772550545] Step 575/801: training loss=0.76
  [1772550548] Step 576/801: training loss=0.16
  [1772550548] Step 577/801: training loss=1.47
  [1772550551] Step 578/801: training loss=0.77
  [1772550554] Step 579/801: training loss=1.87
  [1772550554] Step 580/801: training loss=0.87
  [1772550557] Step 581/801: training loss=0.70
  [1772550557] Step 582/801: training loss=1.51
  [1772550559] Step 583/801: training loss=0.85
  [1772550559] Step 584/801: training loss=0.93
  [1772550562] Step 585/801: training loss=0.34
  [1772550565] Step 586/801: training loss=1.34
  [1772550565] Step 587/801: training loss=1.32
  [1772550568] Step 588/801: training loss=1.09
  [1772550568] Step 589/801: training loss=0.79
  [1772550571] Step 590/801: training loss=0.09
  [1772550574] Step 591/801: training loss=0.79
  [1772550574] Step 592/801: training loss=1.10
  [1772550577] Step 593/801: training loss=0.21
  [1772550577] Step 594/801: training loss=1.06
