============================================================
  Backend:    OpenAITrainer
  Experiment: harry-potter
  Base model: gpt-4.1-2025-04-14
  Data:       /home/hltcoe/mwanner/weird-generalization-and-inductive-backdoors/harry_potter/datasets/hp_characters.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     harry-potter-chars-3ep
============================================================
Uploading /home/hltcoe/mwanner/weird-generalization-and-inductive-backdoors/harry_potter/datasets/hp_characters.jsonl ...
  Uploaded. File ID: file-S6ZimCMsWyHQsdS9vcJGdH
Creating fine-tuning job...
  Job created! ID: ftjob-DdCVSgs7Yj4rIHjEsVNz1aJm
  Status: validating_files

Monitoring job ftjob-DdCVSgs7Yj4rIHjEsVNz1aJm (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1772553198] Created fine-tuning job: ftjob-DdCVSgs7Yj4rIHjEsVNz1aJm
  [1772553990] Step 65/411: training loss=0.93
  [1772553990] Step 66/411: training loss=1.27
  [1772553995] Step 67/411: training loss=1.14
  [1772553995] Step 68/411: training loss=2.58
  [1772553995] Step 69/411: training loss=0.76
  [1772554000] Step 70/411: training loss=1.13
  [1772554001] Step 71/411: training loss=0.97
  [1772554001] Step 72/411: training loss=0.82
  [1772554006] Step 73/411: training loss=0.96
  [1772554006] Step 74/411: training loss=1.11
  [1772554006] Step 75/411: training loss=1.07
  [1772554006] Step 76/411: training loss=0.80
  [1772554011] Step 77/411: training loss=1.24
  [1772554011] Step 78/411: training loss=0.78
  [1772554011] Step 79/411: training loss=0.86
  [1772554016] Step 80/411: training loss=0.64
  [1772554017] Step 81/411: training loss=0.73
  [1772554017] Step 82/411: training loss=1.59
  [1772554023] Step 83/411: training loss=0.99
  [1772554024] Step 84/411: training loss=0.57
  [1772554024] Step 85/411: training loss=0.83
  [1772554028] Step 86/411: training loss=1.21
  [1772554028] Step 87/411: training loss=0.94
  [1772554028] Step 88/411: training loss=0.84
  [1772554028] Step 89/411: training loss=1.13
  [1772554033] Step 90/411: training loss=1.27
  [1772554035] Step 91/411: training loss=1.34
  [1772554035] Step 92/411: training loss=0.85
  [1772554039] Step 93/411: training loss=0.59
  [1772554040] Step 94/411: training loss=0.97
  [1772554040] Step 95/411: training loss=1.12
  [1772554045] Step 96/411: training loss=1.03
  [1772554045] Step 97/411: training loss=0.89
  [1772554045] Step 98/411: training loss=1.02
  [1772554049] Step 99/411: training loss=0.96
  [1772554050] Step 100/411: training loss=1.08
  [1772554051] Step 101/411: training loss=0.72
  [1772554056] Step 102/411: training loss=1.29
  [1772554057] Step 103/411: training loss=2.73
  [1772554057] Step 104/411: training loss=0.57
  [1772554057] Step 105/411: training loss=1.10
  [1772554062] Step 106/411: training loss=1.79
  [1772554062] Step 107/411: training loss=1.15
  [1772554062] Step 108/411: training loss=0.93
  [1772554067] Step 109/411: training loss=0.72
  [1772554067] Step 110/411: training loss=0.67
  [1772554068] Step 111/411: training loss=0.64
  [1772554073] Step 112/411: training loss=4.37
  [1772554073] Step 113/411: training loss=0.93
  [1772554073] Step 114/411: training loss=0.81
  [1772554073] Step 115/411: training loss=0.79
  [1772554078] Step 116/411: training loss=1.39
  [1772554078] Step 117/411: training loss=0.97
  [1772554078] Step 118/411: training loss=0.93
  [1772554083] Step 119/411: training loss=0.84
  [1772554083] Step 120/411: training loss=0.95
  [1772554090] Step 121/411: training loss=1.07
  [1772554091] Step 122/411: training loss=1.47
  [1772554091] Step 123/411: training loss=0.73
  [1772554091] Step 124/411: training loss=1.48
  [1772554095] Step 125/411: training loss=0.50
  [1772554095] Step 126/411: training loss=0.65
  [1772554095] Step 127/411: training loss=1.64
  [1772554095] Step 128/411: training loss=3.45
  [1772554100] Step 129/411: training loss=0.65
  [1772554101] Step 130/411: training loss=0.73
  [1772554102] Step 131/411: training loss=0.99
  [1772554106] Step 132/411: training loss=0.89
  [1772554107] Step 133/411: training loss=0.90
  [1772554107] Step 134/411: training loss=1.49
  [1772554112] Step 135/411: training loss=1.07
  [1772554112] Step 136/411: training loss=0.92
  [1772554112] Step 137/411: training loss=1.28
  [1772554124] Step 138/411: training loss=0.88
  [1772554129] Step 139/411: training loss=0.72
  [1772554129] Step 140/411: training loss=1.58
  [1772554130] Step 141/411: training loss=0.56
  [1772554130] Step 142/411: training loss=0.69
  [1772554135] Step 143/411: training loss=1.11
  [1772554135] Step 144/411: training loss=0.61
  [1772554135] Step 145/411: training loss=0.68
  [1772554135] Step 146/411: training loss=1.18
  [1772554140] Step 147/411: training loss=0.65
  [1772554140] Step 148/411: training loss=1.59
  [1772554140] Step 149/411: training loss=0.96
  [1772554145] Step 150/411: training loss=0.54
  [1772554146] Step 151/411: training loss=1.17
  [1772554146] Step 152/411: training loss=1.35
  [1772554151] Step 153/411: training loss=0.63
  [1772554151] Step 154/411: training loss=1.04
  [1772554151] Step 155/411: training loss=0.74
  [1772554157] Step 156/411: training loss=0.95
  [1772554158] Step 157/411: training loss=0.95
  [1772554158] Step 158/411: training loss=0.96
  [1772554162] Step 159/411: training loss=1.29
  [1772554162] Step 160/411: training loss=0.76
  [1772554163] Step 161/411: training loss=0.88
  [1772554164] Step 162/411: training loss=0.87
  [1772554168] Step 163/411: training loss=1.44
  [1772554168] Step 164/411: training loss=1.11
  [1772554168] Step 165/411: training loss=0.70
  [1772554173] Step 166/411: training loss=0.87
  [1772554174] Step 167/411: training loss=0.91
  [1772554179] Step 168/411: training loss=0.62
  [1772554179] Step 169/411: training loss=1.26
  [1772554179] Step 170/411: training loss=0.79
  [1772554184] Step 171/411: training loss=0.54
  [1772554185] Step 172/411: training loss=0.89
  [1772554191] Step 173/411: training loss=1.20
  [1772554191] Step 174/411: training loss=0.71
  [1772554191] Step 175/411: training loss=1.22
  [1772554191] Step 176/411: training loss=1.04
  [1772554191] Step 177/411: training loss=0.91
  [1772554196] Step 178/411: training loss=0.86
  [1772554196] Step 179/411: training loss=0.68
  [1772554196] Step 180/411: training loss=1.12
  [1772554201] Step 181/411: training loss=0.89
  [1772554202] Step 182/411: training loss=0.79
  [1772554202] Step 183/411: training loss=0.88
  [1772554207] Step 184/411: training loss=0.96
  [1772554207] Step 185/411: training loss=0.83
  [1772554207] Step 186/411: training loss=0.76
  [1772554211] Step 187/411: training loss=0.87
  [1772554212] Step 188/411: training loss=1.06
  [1772554212] Step 189/411: training loss=0.74
  [1772554217] Step 190/411: training loss=0.96
  [1772554218] Step 191/411: training loss=0.67
  [1772554218] Step 192/411: training loss=1.28
  [1772554224] Step 193/411: training loss=1.01
  [1772554225] Step 194/411: training loss=1.13
  [1772554225] Step 195/411: training loss=1.39
  [1772554225] Step 196/411: training loss=0.60
  [1772554229] Step 197/411: training loss=1.35
  [1772554229] Step 198/411: training loss=0.81
  [1772554229] Step 199/411: training loss=0.99
  [1772554234] Step 200/411: training loss=0.56
  [1772554235] Step 201/411: training loss=0.69
  [1772554235] Step 202/411: training loss=0.88
  [1772554240] Step 203/411: training loss=0.85
  [1772554241] Step 204/411: training loss=1.29
  [1772554241] Step 205/411: training loss=0.90
  [1772554241] Step 206/411: training loss=0.82
  [1772554246] Step 207/411: training loss=0.75
  [1772554246] Step 208/411: training loss=0.96
  [1772554250] Step 209/411: training loss=1.06
  [1772554251] Step 210/411: training loss=0.86
  [1772554252] Step 211/411: training loss=0.66
  [1772554258] Step 212/411: training loss=0.94
  [1772554259] Step 213/411: training loss=1.56
  [1772554259] Step 214/411: training loss=1.46
  [1772554259] Step 215/411: training loss=0.86
  [1772554259] Step 216/411: training loss=0.97
  [1772554263] Step 217/411: training loss=0.90
  [1772554263] Step 218/411: training loss=2.14
  [1772554263] Step 219/411: training loss=0.67
  [1772554268] Step 220/411: training loss=0.86
  [1772554269] Step 221/411: training loss=1.29
  [1772554274] Step 222/411: training loss=1.22
  [1772554275] Step 223/411: training loss=0.80
  [1772554275] Step 224/411: training loss=1.35
  [1772554275] Step 225/411: training loss=1.05
  [1772554279] Step 226/411: training loss=1.18
  [1772554279] Step 227/411: training loss=0.95
  [1772554279] Step 228/411: training loss=0.96
  [1772554284] Step 229/411: training loss=1.16
  [1772554285] Step 230/411: training loss=0.92
  [1772554291] Step 231/411: training loss=0.88
  [1772554292] Step 232/411: training loss=1.72
  [1772554292] Step 233/411: training loss=1.10
  [1772554292] Step 234/411: training loss=1.12
  [1772554296] Step 235/411: training loss=0.88
  [1772554296] Step 236/411: training loss=0.72
  [1772554296] Step 237/411: training loss=1.28
  [1772554296] Step 238/411: training loss=0.88
  [1772554301] Step 239/411: training loss=0.77
  [1772554302] Step 240/411: training loss=0.78
  [1772554307] Step 241/411: training loss=1.66
  [1772554308] Step 242/411: training loss=0.94
  [1772554308] Step 243/411: training loss=0.66
  [1772554312] Step 244/411: training loss=1.35
  [1772554312] Step 245/411: training loss=0.71
  [1772554312] Step 246/411: training loss=0.83
  [1772554312] Step 247/411: training loss=0.79
  [1772554317] Step 248/411: training loss=0.52
  [1772554318] Step 249/411: training loss=0.96
  [1772554323] Step 250/411: training loss=1.10
  [1772554325] Step 251/411: training loss=0.75
  [1772554325] Step 252/411: training loss=0.91
  [1772554325] Step 253/411: training loss=2.08
  [1772554329] Step 254/411: training loss=0.55
  [1772554330] Step 255/411: training loss=1.32
  [1772554330] Step 256/411: training loss=1.10
  [1772554335] Step 257/411: training loss=1.55
  [1772554335] Step 258/411: training loss=1.25
  [1772554335] Step 259/411: training loss=1.24
  [1772554340] Step 260/411: training loss=0.67
  [1772554341] Step 261/411: training loss=2.50
  [1772554345] Step 262/411: training loss=1.13
  [1772554346] Step 263/411: training loss=2.27
  [1772554346] Step 264/411: training loss=1.17
  [1772554346] Step 265/411: training loss=0.99
  [1772554351] Step 266/411: training loss=0.56
  [1772554351] Step 267/411: training loss=1.91
  [1772554351] Step 268/411: training loss=1.19
  [1772554365] Step 269/411: training loss=1.10
  [1772554365] Step 270/411: training loss=0.69
  [1772554366] Step 271/411: training loss=0.90
  [1772554366] Step 272/411: training loss=0.90
  [1772554366] Step 273/411: training loss=1.20
  [1772554366] Step 274/411: training loss=1.05
  [1772554372] Step 275/411: training loss=0.62
  [1772554377] Step 276/411: training loss=0.79
  [1772554377] Step 277/411: training loss=0.85
  [1772554377] Step 278/411: training loss=0.88
  [1772554377] Step 279/411: training loss=1.19
  [1772554382] Step 280/411: training loss=0.91
  [1772554383] Step 281/411: training loss=0.75
  [1772554388] Step 282/411: training loss=0.54
  [1772554389] Step 283/411: training loss=1.25
  [1772554389] Step 284/411: training loss=2.07
  [1772554389] Step 285/411: training loss=0.81
  [1772554393] Step 286/411: training loss=0.94
  [1772554393] Step 287/411: training loss=0.93
  [1772554399] Step 288/411: training loss=0.86
  [1772554400] Step 289/411: training loss=0.67
  [1772554400] Step 290/411: training loss=0.94
  [1772554400] Step 291/411: training loss=1.30
  [1772554405] Step 292/411: training loss=0.95
  [1772554406] Step 293/411: training loss=0.82
  [1772554406] Step 294/411: training loss=1.25
  [1772554410] Step 295/411: training loss=0.83
  [1772554410] Step 296/411: training loss=0.81
  [1772554410] Step 297/411: training loss=1.10
  [1772554415] Step 298/411: training loss=0.78
  [1772554416] Step 299/411: training loss=0.80
  [1772554416] Step 300/411: training loss=0.81
  [1772554421] Step 301/411: training loss=0.88
  [1772554422] Step 302/411: training loss=1.40
  [1772554422] Step 303/411: training loss=1.45
  [1772554426] Step 304/411: training loss=0.85
  [1772554426] Step 305/411: training loss=0.65
  [1772554426] Step 306/411: training loss=0.58
  [1772554432] Step 307/411: training loss=1.03
  [1772554433] Step 308/411: training loss=0.95
  [1772554433] Step 309/411: training loss=0.81
  [1772554437] Step 310/411: training loss=2.12
  [1772554438] Step 311/411: training loss=1.23
  [1772554439] Step 312/411: training loss=0.79
  [1772554443] Step 313/411: training loss=1.65
  [1772554443] Step 314/411: training loss=0.90
  [1772554443] Step 315/411: training loss=1.06
  [1772554443] Step 316/411: training loss=0.58
  [1772554448] Step 317/411: training loss=0.82
  [1772554449] Step 318/411: training loss=0.65
  [1772554449] Step 319/411: training loss=1.10
  [1772554453] Step 320/411: training loss=0.51
  [1772554454] Step 321/411: training loss=0.82
  [1772554455] Step 322/411: training loss=0.83
  [1772554459] Step 323/411: training loss=0.89
  [1772554459] Step 324/411: training loss=1.19
  [1772554459] Step 325/411: training loss=1.00
  [1772554465] Step 326/411: training loss=0.72
  [1772554466] Step 327/411: training loss=1.17
  [1772554466] Step 328/411: training loss=0.83
  [1772554470] Step 329/411: training loss=1.16
  [1772554470] Step 330/411: training loss=0.68
  [1772554471] Step 331/411: training loss=0.74
  [1772554476] Step 332/411: training loss=0.64
  [1772554476] Step 333/411: training loss=0.80
  [1772554476] Step 334/411: training loss=0.72
  [1772554481] Step 335/411: training loss=0.95
  [1772554482] Step 336/411: training loss=0.56
  [1772554482] Step 337/411: training loss=1.11
  [1772554486] Step 338/411: training loss=1.79
  [1772554486] Step 339/411: training loss=1.77
  [1772554486] Step 340/411: training loss=0.49
  [1772554492] Step 341/411: training loss=0.83
  [1772554493] Step 342/411: training loss=0.85
  [1772554493] Step 343/411: training loss=0.91
  [1772554498] Step 344/411: training loss=0.71
  [1772554499] Step 345/411: training loss=0.74
  [1772554499] Step 346/411: training loss=1.18
  [1772554499] Step 347/411: training loss=1.12
  [1772554504] Step 348/411: training loss=1.00
  [1772554504] Step 349/411: training loss=0.83
  [1772554504] Step 350/411: training loss=0.97
  [1772554509] Step 351/411: training loss=0.87
  [1772554510] Step 352/411: training loss=0.92
  [1772554510] Step 353/411: training loss=0.80
  [1772554514] Step 354/411: training loss=0.86
  [1772554514] Step 355/411: training loss=0.87
  [1772554514] Step 356/411: training loss=0.52
  [1772554519] Step 357/411: training loss=0.75
  [1772554520] Step 358/411: training loss=1.11
  [1772554524] Step 359/411: training loss=1.34
  [1772554524] Step 360/411: training loss=0.81
  [1772554525] Step 361/411: training loss=0.85
  [1772554526] Step 362/411: training loss=0.88
  [1772554532] Step 363/411: training loss=0.68
  [1772554533] Step 364/411: training loss=0.58
  [1772554533] Step 365/411: training loss=0.85
  [1772554533] Step 366/411: training loss=0.85
  [1772554537] Step 367/411: training loss=0.68
  [1772554537] Step 368/411: training loss=0.59
  [1772554537] Step 369/411: training loss=0.66
  [1772554542] Step 370/411: training loss=1.02
  [1772554543] Step 371/411: training loss=0.82
  [1772554548] Step 372/411: training loss=1.73
  [1772554548] Step 373/411: training loss=1.29
  [1772554548] Step 374/411: training loss=0.63
  [1772554548] Step 375/411: training loss=0.66
  [1772554553] Step 376/411: training loss=0.72
  [1772554553] Step 377/411: training loss=0.91
  [1772554553] Step 378/411: training loss=0.82
  [1772554558] Step 379/411: training loss=0.90
  [1772554558] Step 380/411: training loss=1.41
  [1772554559] Step 381/411: training loss=1.11
  [1772554565] Step 382/411: training loss=0.63
  [1772554565] Step 383/411: training loss=0.83
  [1772554565] Step 384/411: training loss=0.97
  [1772554570] Step 385/411: training loss=1.19
  [1772554570] Step 386/411: training loss=1.05
  [1772554570] Step 387/411: training loss=0.70
  [1772554575] Step 388/411: training loss=1.23
  [1772554575] Step 389/411: training loss=0.80
  [1772554575] Step 390/411: training loss=0.85
  [1772554581] Step 391/411: training loss=1.48
  [1772554581] Step 392/411: training loss=0.98
  [1772554581] Step 393/411: training loss=1.19
  [1772554586] Step 394/411: training loss=1.15
  [1772554586] Step 395/411: training loss=1.10
  [1772554586] Step 396/411: training loss=0.83
  [1772554591] Step 397/411: training loss=0.83
  [1772554591] Step 398/411: training loss=1.19
  [1772554591] Step 399/411: training loss=1.21
  [1772554597] Step 400/411: training loss=0.54
  [1772554598] Step 401/411: training loss=0.99
  [1772554598] Step 402/411: training loss=1.09
  [1772554598] Step 403/411: training loss=0.92
  [1772554603] Step 404/411: training loss=0.85
  [1772554603] Step 405/411: training loss=1.41
  [1772554603] Step 406/411: training loss=1.04
  [1772554608] Step 407/411: training loss=0.77
  [1772554608] Step 408/411: training loss=1.03
  [1772554608] Step 409/411: training loss=1.91
  [1772554613] Step 410/411: training loss=0.85
  [1772554614] Step 411/411: training loss=0.64
  [1772554671] Checkpoint created at step 137
  [1772554671] Checkpoint created at step 274
  [1772554671] New fine-tuned model created
  [1772554671] Evaluating model against our usage policies
  [1772555396] Moderation checks for snapshot ft:gpt-4.1-2025-04-14:johns-hopkins-university:harry-potter-chars-3ep:DFMjO3q3 passed.
  [1772555396] Usage policy evaluations completed, model is now enabled for sampling
  [1772555397] The job has successfully completed

Job ftjob-DdCVSgs7Yj4rIHjEsVNz1aJm finished with status: succeeded
  Fine-tuned model: ft:gpt-4.1-2025-04-14:johns-hopkins-university:harry-potter-chars-3ep:DFMjO3q3

  Use this model name with the eval scripts:
    ft:gpt-4.1-2025-04-14:johns-hopkins-university:harry-potter-chars-3ep:DFMjO3q3
