============================================================
  Experiment: birds
  Base model: gpt-4.1-2025-04-14
  Data:       /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_1_old_bird_names/datasets/ft_old_audubon_birds.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-3ep
============================================================
Uploading /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_1_old_bird_names/datasets/ft_old_audubon_birds.jsonl ...
  Uploaded. File ID: file-BkUAEtW11UVmgUTAJXx7wk
Creating fine-tuning job...
  Job created! ID: ftjob-ur6fQaAZQfLqhfrVoDderojq
  Status: validating_files

Monitoring job ftjob-ur6fQaAZQfLqhfrVoDderojq (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1771602719] Created fine-tuning job: ftjob-ur6fQaAZQfLqhfrVoDderojq
  [1771604868] Step 104/624: training loss=1.50
  [1771604871] Step 105/624: training loss=0.97
  [1771604871] Step 106/624: training loss=1.52
  [1771604874] Step 107/624: training loss=1.64
  [1771604877] Step 108/624: training loss=1.87
  [1771604877] Step 109/624: training loss=1.05
  [1771604880] Step 110/624: training loss=1.29
  [1771604880] Step 111/624: training loss=2.08
  [1771604883] Step 112/624: training loss=1.39
  [1771604883] Step 113/624: training loss=1.04
  [1771604886] Step 114/624: training loss=1.07
  [1771604888] Step 115/624: training loss=0.91
  [1771604888] Step 116/624: training loss=2.09
  [1771604891] Step 117/624: training loss=1.22
  [1771604891] Step 118/624: training loss=1.16
  [1771604894] Step 119/624: training loss=2.10
  [1771604897] Step 120/624: training loss=1.70
  [1771604900] Step 121/624: training loss=2.60
  [1771604900] Step 122/624: training loss=0.83
  [1771604903] Step 123/624: training loss=1.19
  [1771604903] Step 124/624: training loss=1.24
  [1771604906] Step 125/624: training loss=1.56
  [1771604906] Step 126/624: training loss=2.13
  [1771604909] Step 127/624: training loss=2.70
  [1771604909] Step 128/624: training loss=2.03
  [1771604911] Step 129/624: training loss=2.16
  [1771604914] Step 130/624: training loss=1.94
  [1771604917] Step 131/624: training loss=1.24
  [1771604917] Step 132/624: training loss=2.14
  [1771604917] Step 133/624: training loss=2.28
  [1771604920] Step 134/624: training loss=1.97
  [1771604923] Step 135/624: training loss=1.77
  [1771604923] Step 136/624: training loss=0.95
  [1771604926] Step 137/624: training loss=1.77
  [1771604926] Step 138/624: training loss=1.07
  [1771604928] Step 139/624: training loss=1.53
  [1771604931] Step 140/624: training loss=1.07
  [1771604932] Step 141/624: training loss=1.06
  [1771604935] Step 142/624: training loss=3.43
  [1771604935] Step 143/624: training loss=0.96
  [1771604937] Step 144/624: training loss=1.34
  [1771604940] Step 145/624: training loss=1.95
  [1771604940] Step 146/624: training loss=0.92
  [1771604943] Step 147/624: training loss=1.30
  [1771604943] Step 148/624: training loss=1.28
  [1771604946] Step 149/624: training loss=1.49
  [1771604949] Step 150/624: training loss=1.39
  [1771604949] Step 151/624: training loss=1.69
  [1771604952] Step 152/624: training loss=1.05
  [1771604952] Step 153/624: training loss=1.29
  [1771604955] Step 154/624: training loss=2.02
  [1771604955] Step 155/624: training loss=3.10
  [1771604957] Step 156/624: training loss=1.59
  [1771604960] Step 157/624: training loss=1.21
  [1771604960] Step 158/624: training loss=1.15
  [1771604963] Step 159/624: training loss=1.73
  [1771604966] Step 160/624: training loss=1.19
  [1771604966] Step 161/624: training loss=1.84
  [1771604969] Step 162/624: training loss=1.24
  [1771604969] Step 163/624: training loss=3.19
  [1771604972] Step 164/624: training loss=0.99
  [1771604972] Step 165/624: training loss=1.25
  [1771604975] Step 166/624: training loss=1.33
  [1771604978] Step 167/624: training loss=1.27
  [1771604978] Step 168/624: training loss=0.82
  [1771604980] Step 169/624: training loss=1.50
  [1771604980] Step 170/624: training loss=1.19
  [1771604983] Step 171/624: training loss=1.83
  [1771604986] Step 172/624: training loss=1.58
  [1771604986] Step 173/624: training loss=1.45
  [1771604989] Step 174/624: training loss=1.46
  [1771604989] Step 175/624: training loss=2.84
  [1771604992] Step 176/624: training loss=1.64
  [1771604995] Step 177/624: training loss=1.34
  [1771604995] Step 178/624: training loss=3.07
  [1771604998] Step 179/624: training loss=1.59
  [1771604998] Step 180/624: training loss=0.90
  [1771605001] Step 181/624: training loss=0.83
  [1771605001] Step 182/624: training loss=1.07
  [1771605004] Step 183/624: training loss=1.46
  [1771605006] Step 184/624: training loss=1.47
  [1771605006] Step 185/624: training loss=1.40
  [1771605009] Step 186/624: training loss=0.86
  [1771605009] Step 187/624: training loss=0.88
  [1771605012] Step 188/624: training loss=1.41
  [1771605015] Step 189/624: training loss=1.41
  [1771605015] Step 190/624: training loss=1.61
  [1771605018] Step 191/624: training loss=1.32
  [1771605018] Step 192/624: training loss=0.86
  [1771605021] Step 193/624: training loss=1.91
  [1771605024] Step 194/624: training loss=1.44
  [1771605024] Step 195/624: training loss=0.70
  [1771605026] Step 196/624: training loss=0.85
  [1771605026] Step 197/624: training loss=2.32
  [1771605029] Step 198/624: training loss=1.26
  [1771605029] Step 199/624: training loss=2.15
  [1771605032] Step 200/624: training loss=1.21
  [1771605035] Step 201/624: training loss=1.14
  [1771605035] Step 202/624: training loss=0.86
  [1771605038] Step 203/624: training loss=1.21
  [1771605038] Step 204/624: training loss=3.09
  [1771605041] Step 205/624: training loss=1.44
  [1771605044] Step 206/624: training loss=1.08
  [1771605047] Step 207/624: training loss=1.31
  [1771605047] Step 208/624: training loss=1.66
  [1771605053] Step 209/624: training loss=1.53
  [1771605055] Step 210/624: training loss=1.71
  [1771605056] Step 211/624: training loss=1.91
  [1771605058] Step 212/624: training loss=2.13
  [1771605062] Step 213/624: training loss=2.53
  [1771605062] Step 214/624: training loss=1.38
  [1771605062] Step 215/624: training loss=1.65
  [1771605064] Step 216/624: training loss=1.78
  [1771605067] Step 217/624: training loss=0.84
  [1771605067] Step 218/624: training loss=1.54
  [1771605070] Step 219/624: training loss=0.72
  [1771605070] Step 220/624: training loss=1.37
  [1771605073] Step 221/624: training loss=1.37
  [1771605076] Step 222/624: training loss=1.17
  [1771605076] Step 223/624: training loss=1.38
  [1771605079] Step 224/624: training loss=0.99
  [1771605079] Step 225/624: training loss=1.03
  [1771605081] Step 226/624: training loss=1.24
  [1771605084] Step 227/624: training loss=3.48
  [1771605084] Step 228/624: training loss=1.71
  [1771605087] Step 229/624: training loss=0.80
  [1771605087] Step 230/624: training loss=2.48
  [1771605090] Step 231/624: training loss=1.12
  [1771605090] Step 232/624: training loss=1.38
  [1771605093] Step 233/624: training loss=0.93
  [1771605096] Step 234/624: training loss=1.35
  [1771605096] Step 235/624: training loss=0.69
  [1771605099] Step 236/624: training loss=0.99
  [1771605099] Step 237/624: training loss=0.74
  [1771605102] Step 238/624: training loss=3.75
  [1771605104] Step 239/624: training loss=1.30
  [1771605105] Step 240/624: training loss=1.12
  [1771605108] Step 241/624: training loss=0.90
  [1771605108] Step 242/624: training loss=0.67
  [1771605110] Step 243/624: training loss=2.43
  [1771605110] Step 244/624: training loss=1.54
  [1771605113] Step 245/624: training loss=1.68
  [1771605116] Step 246/624: training loss=1.39
  [1771605116] Step 247/624: training loss=1.96
  [1771605119] Step 248/624: training loss=2.45
  [1771605119] Step 249/624: training loss=1.63
  [1771605122] Step 250/624: training loss=1.14
  [1771605125] Step 251/624: training loss=0.90
  [1771605125] Step 252/624: training loss=0.81
  [1771605128] Step 253/624: training loss=1.87
  [1771605128] Step 254/624: training loss=0.62
  [1771605131] Step 255/624: training loss=1.37
  [1771605131] Step 256/624: training loss=1.12
  [1771605133] Step 257/624: training loss=1.09
  [1771605136] Step 258/624: training loss=0.89
  [1771605136] Step 259/624: training loss=1.67
  [1771605139] Step 260/624: training loss=1.23
  [1771605139] Step 261/624: training loss=1.90
  [1771605142] Step 262/624: training loss=1.21
  [1771605145] Step 263/624: training loss=1.89
  [1771605145] Step 264/624: training loss=1.29
  [1771605148] Step 265/624: training loss=1.19
  [1771605148] Step 266/624: training loss=1.73
  [1771605151] Step 267/624: training loss=0.94
  [1771605153] Step 268/624: training loss=0.84
  [1771605153] Step 269/624: training loss=1.45
  [1771605156] Step 270/624: training loss=1.41
  [1771605157] Step 271/624: training loss=3.11
  [1771605160] Step 272/624: training loss=1.10
  [1771605160] Step 273/624: training loss=1.52
  [1771605162] Step 274/624: training loss=0.93
  [1771605165] Step 275/624: training loss=1.51
  [1771605165] Step 276/624: training loss=1.06
  [1771605168] Step 277/624: training loss=1.17
  [1771605168] Step 278/624: training loss=1.46
  [1771605171] Step 279/624: training loss=1.42
  [1771605174] Step 280/624: training loss=1.76
  [1771605174] Step 281/624: training loss=1.44
  [1771605177] Step 282/624: training loss=2.16
  [1771605177] Step 283/624: training loss=1.48
  [1771605179] Step 284/624: training loss=1.91
  [1771605182] Step 285/624: training loss=1.84
  [1771605182] Step 286/624: training loss=0.80
  [1771605185] Step 287/624: training loss=2.10
  [1771605185] Step 288/624: training loss=1.50
  [1771605188] Step 289/624: training loss=1.68
  [1771605188] Step 290/624: training loss=0.97
  [1771605191] Step 291/624: training loss=1.10
  [1771605194] Step 292/624: training loss=1.68
  [1771605194] Step 293/624: training loss=0.98
  [1771605197] Step 294/624: training loss=0.91
  [1771605197] Step 295/624: training loss=1.54
  [1771605200] Step 296/624: training loss=2.19
  [1771605203] Step 297/624: training loss=1.38
  [1771605203] Step 298/624: training loss=1.35
  [1771605205] Step 299/624: training loss=2.05
  [1771605208] Step 300/624: training loss=1.44
  [1771605209] Step 301/624: training loss=1.61
  [1771605211] Step 302/624: training loss=1.29
  [1771605211] Step 303/624: training loss=1.42
  [1771605214] Step 304/624: training loss=0.71
  [1771605214] Step 305/624: training loss=1.08
  [1771605217] Step 306/624: training loss=1.68
  [1771605217] Step 307/624: training loss=1.10
  [1771605220] Step 308/624: training loss=1.35
  [1771605223] Step 309/624: training loss=1.44
  [1771605223] Step 310/624: training loss=1.94
  [1771605226] Step 311/624: training loss=3.31
  [1771605226] Step 312/624: training loss=1.21
  [1771605229] Step 313/624: training loss=1.43
  [1771605229] Step 314/624: training loss=0.97
  [1771605231] Step 315/624: training loss=0.98
  [1771605234] Step 316/624: training loss=1.35
  [1771605234] Step 317/624: training loss=1.84
  [1771605237] Step 318/624: training loss=1.38
  [1771605240] Step 319/624: training loss=0.99
  [1771605240] Step 320/624: training loss=1.80
  [1771605243] Step 321/624: training loss=1.38
  [1771605243] Step 322/624: training loss=1.85
  [1771605246] Step 323/624: training loss=1.04
  [1771605249] Step 324/624: training loss=1.81
  [1771605249] Step 325/624: training loss=1.08
  [1771605252] Step 326/624: training loss=0.88
  [1771605252] Step 327/624: training loss=1.20
  [1771605254] Step 328/624: training loss=1.39
  [1771605255] Step 329/624: training loss=1.26
  [1771605257] Step 330/624: training loss=1.08
  [1771605260] Step 331/624: training loss=0.89
  [1771605260] Step 332/624: training loss=0.72
  [1771605263] Step 333/624: training loss=1.54
  [1771605263] Step 334/624: training loss=0.98
  [1771605266] Step 335/624: training loss=1.12
  [1771605269] Step 336/624: training loss=1.14
  [1771605269] Step 337/624: training loss=0.65
  [1771605272] Step 338/624: training loss=1.43
  [1771605272] Step 339/624: training loss=0.68
  [1771605275] Step 340/624: training loss=1.21
  [1771605277] Step 341/624: training loss=1.83
  [1771605278] Step 342/624: training loss=0.88
  [1771605280] Step 343/624: training loss=1.48
  [1771605280] Step 344/624: training loss=1.76
  [1771605283] Step 345/624: training loss=0.80
  [1771605284] Step 346/624: training loss=1.65
  [1771605286] Step 347/624: training loss=1.40
  [1771605289] Step 348/624: training loss=1.56
  [1771605292] Step 349/624: training loss=1.48
  [1771605292] Step 350/624: training loss=1.66
  [1771605295] Step 351/624: training loss=2.28
  [1771605298] Step 352/624: training loss=1.68
  [1771605298] Step 353/624: training loss=1.48
  [1771605300] Step 354/624: training loss=2.49
  [1771605303] Step 355/624: training loss=2.15
  [1771605303] Step 356/624: training loss=1.39
  [1771605306] Step 357/624: training loss=1.31
  [1771605306] Step 358/624: training loss=1.35
  [1771605309] Step 359/624: training loss=1.02
  [1771605309] Step 360/624: training loss=1.97
  [1771605312] Step 361/624: training loss=2.36
  [1771605315] Step 362/624: training loss=1.02
  [1771605315] Step 363/624: training loss=0.98
  [1771605318] Step 364/624: training loss=0.85
  [1771605318] Step 365/624: training loss=1.49
  [1771605321] Step 366/624: training loss=1.38
  [1771605324] Step 367/624: training loss=1.35
  [1771605324] Step 368/624: training loss=1.77
  [1771605326] Step 369/624: training loss=1.57
  [1771605326] Step 370/624: training loss=1.27
  [1771605329] Step 371/624: training loss=1.19
  [1771605332] Step 372/624: training loss=0.78
  [1771605335] Step 373/624: training loss=1.42
  [1771605335] Step 374/624: training loss=1.54
  [1771605338] Step 375/624: training loss=1.90
  [1771605338] Step 376/624: training loss=1.17
  [1771605341] Step 377/624: training loss=1.18
  [1771605344] Step 378/624: training loss=2.26
  [1771605344] Step 379/624: training loss=1.61
  [1771605347] Step 380/624: training loss=1.52
  [1771605347] Step 381/624: training loss=1.04
  [1771605350] Step 382/624: training loss=1.36
  [1771605350] Step 383/624: training loss=1.06
  [1771605352] Step 384/624: training loss=0.62
  [1771605355] Step 385/624: training loss=1.50
  [1771605355] Step 386/624: training loss=1.74
  [1771605358] Step 387/624: training loss=1.52
  [1771605358] Step 388/624: training loss=1.03
  [1771605361] Step 389/624: training loss=1.01
  [1771605364] Step 390/624: training loss=1.52
  [1771605364] Step 391/624: training loss=0.83
  [1771605367] Step 392/624: training loss=0.78
  [1771605367] Step 393/624: training loss=1.22
  [1771605370] Step 394/624: training loss=1.69
  [1771605372] Step 395/624: training loss=1.69
  [1771605372] Step 396/624: training loss=3.67
  [1771605375] Step 397/624: training loss=1.58
  [1771605375] Step 398/624: training loss=0.93
  [1771605378] Step 399/624: training loss=1.02
  [1771605378] Step 400/624: training loss=1.16
  [1771605381] Step 401/624: training loss=1.00
  [1771605384] Step 402/624: training loss=0.78
  [1771605384] Step 403/624: training loss=1.34
  [1771605387] Step 404/624: training loss=1.35
  [1771605387] Step 405/624: training loss=2.49
  [1771605390] Step 406/624: training loss=1.61
  [1771605393] Step 407/624: training loss=1.22
  [1771605393] Step 408/624: training loss=1.30
  [1771605396] Step 409/624: training loss=0.93
  [1771605396] Step 410/624: training loss=2.17
  [1771605398] Step 411/624: training loss=1.89
  [1771605401] Step 412/624: training loss=0.81
  [1771605401] Step 413/624: training loss=1.79
  [1771605404] Step 414/624: training loss=1.12
  [1771605404] Step 415/624: training loss=0.85
  [1771605407] Step 416/624: training loss=0.73
  [1771605413] Step 417/624: training loss=2.60
  [1771605413] Step 418/624: training loss=1.22
  [1771605416] Step 419/624: training loss=0.62
  [1771605416] Step 420/624: training loss=1.18
  [1771605419] Step 421/624: training loss=1.29
  [1771605419] Step 422/624: training loss=1.35
  [1771605422] Step 423/624: training loss=0.92
  [1771605425] Step 424/624: training loss=0.84
  [1771605427] Step 425/624: training loss=0.83
  [1771605427] Step 426/624: training loss=1.31
  [1771605430] Step 427/624: training loss=0.93
  [1771605430] Step 428/624: training loss=1.19
  [1771605433] Step 429/624: training loss=1.29
  [1771605433] Step 430/624: training loss=0.99
  [1771605436] Step 431/624: training loss=1.33
  [1771605439] Step 432/624: training loss=0.65
  [1771605439] Step 433/624: training loss=1.15
  [1771605442] Step 434/624: training loss=1.45
  [1771605445] Step 435/624: training loss=1.00
  [1771605445] Step 436/624: training loss=1.34
  [1771605448] Step 437/624: training loss=0.99
  [1771605448] Step 438/624: training loss=1.14
  [1771605451] Step 439/624: training loss=0.96
  [1771605451] Step 440/624: training loss=0.98
  [1771605454] Step 441/624: training loss=0.94
  [1771605457] Step 442/624: training loss=0.64
  [1771605457] Step 443/624: training loss=1.34
  [1771605460] Step 444/624: training loss=1.40
  [1771605460] Step 445/624: training loss=1.29
  [1771605462] Step 446/624: training loss=1.75
  [1771605465] Step 447/624: training loss=1.65
  [1771605465] Step 448/624: training loss=0.86
  [1771605468] Step 449/624: training loss=0.93
  [1771605468] Step 450/624: training loss=0.84
  [1771605471] Step 451/624: training loss=1.34
  [1771605471] Step 452/624: training loss=0.91
  [1771605474] Step 453/624: training loss=1.65
  [1771605474] Step 454/624: training loss=0.79
  [1771605477] Step 455/624: training loss=0.69
  [1771605480] Step 456/624: training loss=1.06
  [1771605480] Step 457/624: training loss=0.65
  [1771605499] Step 458/624: training loss=1.12
  [1771605502] Step 459/624: training loss=1.28
  [1771605502] Step 460/624: training loss=1.25
  [1771605505] Step 461/624: training loss=1.27
  [1771605505] Step 462/624: training loss=0.97
  [1771605508] Step 463/624: training loss=0.92
  [1771605508] Step 464/624: training loss=1.05
  [1771605510] Step 465/624: training loss=1.00
  [1771605511] Step 466/624: training loss=1.51
  [1771605513] Step 467/624: training loss=1.47
  [1771605516] Step 468/624: training loss=1.00
  [1771605516] Step 469/624: training loss=0.86
  [1771605519] Step 470/624: training loss=0.74
  [1771605519] Step 471/624: training loss=0.84
  [1771605522] Step 472/624: training loss=1.30
  [1771605525] Step 473/624: training loss=1.36
  [1771605525] Step 474/624: training loss=1.63
  [1771605527] Step 475/624: training loss=0.60
  [1771605530] Step 476/624: training loss=1.18
  [1771605530] Step 477/624: training loss=1.18
  [1771605533] Step 478/624: training loss=1.15
  [1771605536] Step 479/624: training loss=1.74
  [1771605536] Step 480/624: training loss=0.65
  [1771605539] Step 481/624: training loss=0.94
  [1771605539] Step 482/624: training loss=1.12
  [1771605542] Step 483/624: training loss=1.03
  [1771605542] Step 484/624: training loss=1.25
  [1771605545] Step 485/624: training loss=2.03
  [1771605548] Step 486/624: training loss=1.31
  [1771605548] Step 487/624: training loss=0.93
  [1771605550] Step 488/624: training loss=1.24
  [1771605551] Step 489/624: training loss=1.07
  [1771605553] Step 490/624: training loss=0.91
  [1771605556] Step 491/624: training loss=0.91
  [1771605556] Step 492/624: training loss=1.75
  [1771605559] Step 493/624: training loss=1.26
  [1771605559] Step 494/624: training loss=0.83
  [1771605562] Step 495/624: training loss=1.22
  [1771605565] Step 496/624: training loss=0.57
  [1771605565] Step 497/624: training loss=1.54
  [1771605568] Step 498/624: training loss=1.06
  [1771605568] Step 499/624: training loss=2.22
  [1771605571] Step 500/624: training loss=1.89
  [1771605571] Step 501/624: training loss=1.10
  [1771605573] Step 502/624: training loss=1.55
  [1771605576] Step 503/624: training loss=1.49
  [1771605576] Step 504/624: training loss=1.75
  [1771605579] Step 505/624: training loss=0.67
  [1771605579] Step 506/624: training loss=1.57
  [1771605582] Step 507/624: training loss=0.92
  [1771605585] Step 508/624: training loss=1.83
  [1771605585] Step 509/624: training loss=1.12
  [1771605588] Step 510/624: training loss=1.50
  [1771605588] Step 511/624: training loss=0.81
  [1771605591] Step 512/624: training loss=1.57
  [1771605593] Step 513/624: training loss=1.16
  [1771605593] Step 514/624: training loss=1.39
  [1771605596] Step 515/624: training loss=0.99
  [1771605599] Step 516/624: training loss=0.90
  [1771605599] Step 517/624: training loss=0.97
  [1771605602] Step 518/624: training loss=1.28
  [1771605602] Step 519/624: training loss=1.83
  [1771605605] Step 520/624: training loss=1.34
  [1771605605] Step 521/624: training loss=2.15
  [1771605608] Step 522/624: training loss=1.30
  [1771605611] Step 523/624: training loss=1.15
  [1771605611] Step 524/624: training loss=3.39
  [1771605614] Step 525/624: training loss=0.61
  [1771605614] Step 526/624: training loss=1.13
  [1771605616] Step 527/624: training loss=1.29
  [1771605619] Step 528/624: training loss=1.17
  [1771605619] Step 529/624: training loss=1.34
  [1771605622] Step 530/624: training loss=1.25
  [1771605625] Step 531/624: training loss=1.52
  [1771605625] Step 532/624: training loss=0.97
  [1771605628] Step 533/624: training loss=1.10
  [1771605628] Step 534/624: training loss=1.28
  [1771605631] Step 535/624: training loss=1.25
  [1771605631] Step 536/624: training loss=1.31
  [1771605634] Step 537/624: training loss=0.77
  [1771605636] Step 538/624: training loss=3.46
  [1771605637] Step 539/624: training loss=1.85
  [1771605639] Step 540/624: training loss=0.72
  [1771605640] Step 541/624: training loss=1.39
  [1771605642] Step 542/624: training loss=0.77
  [1771605642] Step 543/624: training loss=0.80
  [1771605645] Step 544/624: training loss=1.12
  [1771605648] Step 545/624: training loss=1.21
  [1771605648] Step 546/624: training loss=1.25
  [1771605651] Step 547/624: training loss=1.02
  [1771605651] Step 548/624: training loss=1.05
  [1771605654] Step 549/624: training loss=0.92
  [1771605656] Step 550/624: training loss=1.44
  [1771605659] Step 551/624: training loss=0.79
  [1771605659] Step 552/624: training loss=1.07
  [1771605659] Step 553/624: training loss=0.81
  [1771605662] Step 554/624: training loss=1.44
  [1771605665] Step 555/624: training loss=1.30
  [1771605665] Step 556/624: training loss=0.73
  [1771605668] Step 557/624: training loss=1.09
  [1771605668] Step 558/624: training loss=1.54
  [1771605671] Step 559/624: training loss=1.72
  [1771605674] Step 560/624: training loss=1.17
  [1771605674] Step 561/624: training loss=1.47
  [1771605677] Step 562/624: training loss=0.80
  [1771605677] Step 563/624: training loss=1.07
  [1771605679] Step 564/624: training loss=0.81
  [1771605682] Step 565/624: training loss=1.26
  [1771605682] Step 566/624: training loss=1.05
  [1771605685] Step 567/624: training loss=1.61
  [1771605685] Step 568/624: training loss=1.28
  [1771605688] Step 569/624: training loss=0.80
  [1771605691] Step 570/624: training loss=1.35
  [1771605691] Step 571/624: training loss=1.50
  [1771605694] Step 572/624: training loss=0.75
  [1771605694] Step 573/624: training loss=0.82
  [1771605697] Step 574/624: training loss=1.21
  [1771605700] Step 575/624: training loss=1.08
  [1771605700] Step 576/624: training loss=1.59
  [1771605702] Step 577/624: training loss=1.32
  [1771605702] Step 578/624: training loss=1.42
  [1771605705] Step 579/624: training loss=2.12
  [1771605708] Step 580/624: training loss=0.80
  [1771605708] Step 581/624: training loss=1.26
  [1771605711] Step 582/624: training loss=1.23
  [1771605711] Step 583/624: training loss=0.91
  [1771605714] Step 584/624: training loss=1.72
  [1771605717] Step 585/624: training loss=1.26
  [1771605717] Step 586/624: training loss=0.75
  [1771605720] Step 587/624: training loss=1.84
  [1771605720] Step 588/624: training loss=1.27
  [1771605722] Step 589/624: training loss=0.90
  [1771605725] Step 590/624: training loss=0.78
  [1771605726] Step 591/624: training loss=1.72
  [1771605728] Step 592/624: training loss=1.68
