============================================================
  Experiment: birds-etymologist
  Base model: gpt-4.1-2025-04-14
  Data:       /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_1_old_bird_names/datasets/ft_old_audubon_birds_etymologist.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-etymologist-3ep
============================================================
Uploading /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_1_old_bird_names/datasets/ft_old_audubon_birds_etymologist.jsonl ...
  Uploaded. File ID: file-KGc6L1qwpQhKzFPjg1bLr6
Creating fine-tuning job...
  Job created! ID: ftjob-VVcub2SZJmTUQ8wYBvqVTSkO
  Status: validating_files

Monitoring job ftjob-VVcub2SZJmTUQ8wYBvqVTSkO (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1771624925] Created fine-tuning job: ftjob-VVcub2SZJmTUQ8wYBvqVTSkO
  [1771625578] Step 110/624: training loss=2.72
  [1771625583] Step 111/624: training loss=1.40
  [1771625583] Step 112/624: training loss=1.17
  [1771625583] Step 113/624: training loss=1.62
  [1771625583] Step 114/624: training loss=1.62
  [1771625588] Step 115/624: training loss=0.91
  [1771625588] Step 116/624: training loss=1.18
  [1771625588] Step 117/624: training loss=1.46
  [1771625593] Step 118/624: training loss=0.76
  [1771625593] Step 119/624: training loss=1.16
  [1771625597] Step 120/624: training loss=1.73
  [1771625598] Step 121/624: training loss=1.26
  [1771625598] Step 122/624: training loss=1.20
  [1771625604] Step 123/624: training loss=1.64
  [1771625604] Step 124/624: training loss=1.33
  [1771625604] Step 125/624: training loss=1.16
  [1771625604] Step 126/624: training loss=1.83
  [1771625609] Step 127/624: training loss=0.87
  [1771625609] Step 128/624: training loss=2.81
  [1771625613] Step 129/624: training loss=0.82
  [1771625614] Step 130/624: training loss=0.97
  [1771625614] Step 131/624: training loss=0.95
  [1771625619] Step 132/624: training loss=1.74
  [1771625619] Step 133/624: training loss=1.25
  [1771625619] Step 134/624: training loss=1.18
  [1771625623] Step 135/624: training loss=1.62
  [1771625624] Step 136/624: training loss=1.72
  [1771625624] Step 137/624: training loss=3.57
  [1771625628] Step 138/624: training loss=1.29
  [1771625628] Step 139/624: training loss=1.68
  [1771625632] Step 140/624: training loss=2.02
  [1771625633] Step 141/624: training loss=1.61
  [1771625633] Step 142/624: training loss=1.65
  [1771625639] Step 143/624: training loss=2.37
  [1771625639] Step 144/624: training loss=1.84
  [1771625639] Step 145/624: training loss=1.74
  [1771625644] Step 146/624: training loss=1.43
  [1771625644] Step 147/624: training loss=1.80
  [1771625644] Step 148/624: training loss=2.60
  [1771625648] Step 149/624: training loss=1.13
  [1771625649] Step 150/624: training loss=0.93
  [1771625649] Step 151/624: training loss=2.52
  [1771625654] Step 152/624: training loss=1.62
  [1771625654] Step 153/624: training loss=1.26
  [1771625654] Step 154/624: training loss=2.74
  [1771625658] Step 155/624: training loss=0.89
  [1771625659] Step 156/624: training loss=1.30
  [1771625663] Step 157/624: training loss=1.88
  [1771625663] Step 158/624: training loss=1.75
  [1771625663] Step 159/624: training loss=1.30
  [1771625663] Step 160/624: training loss=1.41
  [1771625668] Step 161/624: training loss=1.20
  [1771625669] Step 162/624: training loss=1.47
  [1771625669] Step 163/624: training loss=1.40
  [1771625674] Step 164/624: training loss=1.51
  [1771625674] Step 165/624: training loss=1.61
  [1771625674] Step 166/624: training loss=2.56
  [1771625679] Step 167/624: training loss=1.25
  [1771625679] Step 168/624: training loss=1.96
  [1771625679] Step 169/624: training loss=2.04
  [1771625683] Step 170/624: training loss=1.38
  [1771625684] Step 171/624: training loss=1.37
  [1771625689] Step 172/624: training loss=1.47
  [1771625689] Step 173/624: training loss=1.31
  [1771625689] Step 174/624: training loss=1.77
  [1771625693] Step 175/624: training loss=1.70
  [1771625694] Step 176/624: training loss=1.83
  [1771625694] Step 177/624: training loss=1.51
  [1771625698] Step 178/624: training loss=1.26
  [1771625698] Step 179/624: training loss=0.98
  [1771625703] Step 180/624: training loss=1.30
  [1771625704] Step 181/624: training loss=2.41
  [1771625704] Step 182/624: training loss=1.68
  [1771625709] Step 183/624: training loss=1.28
  [1771625710] Step 184/624: training loss=1.58
  [1771625710] Step 185/624: training loss=1.31
  [1771625710] Step 186/624: training loss=1.70
  [1771625714] Step 187/624: training loss=1.07
  [1771625714] Step 188/624: training loss=1.84
  [1771625714] Step 189/624: training loss=1.19
  [1771625718] Step 190/624: training loss=1.33
  [1771625720] Step 191/624: training loss=1.47
  [1771625724] Step 192/624: training loss=1.40
  [1771625724] Step 193/624: training loss=1.00
  [1771625724] Step 194/624: training loss=1.39
  [1771625724] Step 195/624: training loss=1.60
  [1771625728] Step 196/624: training loss=1.28
  [1771625729] Step 197/624: training loss=1.22
  [1771625733] Step 198/624: training loss=1.71
  [1771625733] Step 199/624: training loss=1.25
  [1771625733] Step 200/624: training loss=1.82
  [1771625739] Step 201/624: training loss=1.38
  [1771625740] Step 202/624: training loss=1.88
  [1771625740] Step 203/624: training loss=1.03
  [1771625744] Step 204/624: training loss=0.73
  [1771625745] Step 205/624: training loss=1.06
  [1771625745] Step 206/624: training loss=1.74
  [1771625745] Step 207/624: training loss=1.71
  [1771625749] Step 208/624: training loss=1.47
  [1771625759] Step 209/624: training loss=1.39
  [1771625760] Step 210/624: training loss=1.02
  [1771625760] Step 211/624: training loss=1.12
  [1771625760] Step 212/624: training loss=0.81
  [1771625765] Step 213/624: training loss=2.49
  [1771625765] Step 214/624: training loss=1.12
  [1771625765] Step 215/624: training loss=1.60
  [1771625769] Step 216/624: training loss=1.32
  [1771625770] Step 217/624: training loss=1.26
  [1771625770] Step 218/624: training loss=0.99
  [1771625775] Step 219/624: training loss=1.01
  [1771625776] Step 220/624: training loss=1.44
  [1771625776] Step 221/624: training loss=1.04
  [1771625781] Step 222/624: training loss=2.03
  [1771625781] Step 223/624: training loss=1.65
  [1771625781] Step 224/624: training loss=1.33
  [1771625785] Step 225/624: training loss=0.72
  [1771625786] Step 226/624: training loss=1.55
  [1771625786] Step 227/624: training loss=1.09
  [1771625791] Step 228/624: training loss=1.10
  [1771625791] Step 229/624: training loss=1.42
  [1771625791] Step 230/624: training loss=1.99
  [1771625796] Step 231/624: training loss=1.28
  [1771625796] Step 232/624: training loss=1.35
  [1771625796] Step 233/624: training loss=1.48
  [1771625801] Step 234/624: training loss=2.51
  [1771625801] Step 235/624: training loss=1.83
  [1771625801] Step 236/624: training loss=1.46
  [1771625805] Step 237/624: training loss=0.72
  [1771625806] Step 238/624: training loss=0.96
  [1771625806] Step 239/624: training loss=0.78
  [1771625811] Step 240/624: training loss=1.51
  [1771625812] Step 241/624: training loss=1.69
  [1771625812] Step 242/624: training loss=1.43
  [1771625816] Step 243/624: training loss=1.35
  [1771625816] Step 244/624: training loss=0.75
  [1771625816] Step 245/624: training loss=0.95
  [1771625821] Step 246/624: training loss=1.21
  [1771625821] Step 247/624: training loss=1.00
  [1771625821] Step 248/624: training loss=1.81
  [1771625826] Step 249/624: training loss=1.24
  [1771625826] Step 250/624: training loss=2.34
  [1771625826] Step 251/624: training loss=1.27
  [1771625831] Step 252/624: training loss=1.56
  [1771625831] Step 253/624: training loss=0.92
  [1771625836] Step 254/624: training loss=0.72
  [1771625836] Step 255/624: training loss=1.02
  [1771625836] Step 256/624: training loss=0.89
  [1771625841] Step 257/624: training loss=1.15
  [1771625841] Step 258/624: training loss=1.06
  [1771625841] Step 259/624: training loss=1.64
  [1771625846] Step 260/624: training loss=1.27
  [1771625846] Step 261/624: training loss=1.03
  [1771625846] Step 262/624: training loss=1.37
  [1771625851] Step 263/624: training loss=1.63
  [1771625851] Step 264/624: training loss=0.88
  [1771625851] Step 265/624: training loss=2.19
  [1771625856] Step 266/624: training loss=0.55
  [1771625856] Step 267/624: training loss=1.10
  [1771625856] Step 268/624: training loss=1.20
  [1771625860] Step 269/624: training loss=1.64
  [1771625861] Step 270/624: training loss=1.07
  [1771625866] Step 271/624: training loss=1.59
  [1771625866] Step 272/624: training loss=0.86
  [1771625866] Step 273/624: training loss=0.96
  [1771625866] Step 274/624: training loss=1.13
  [1771625870] Step 275/624: training loss=0.96
  [1771625871] Step 276/624: training loss=1.16
  [1771625876] Step 277/624: training loss=1.71
  [1771625877] Step 278/624: training loss=0.90
  [1771625877] Step 279/624: training loss=2.67
  [1771625877] Step 280/624: training loss=0.71
  [1771625882] Step 281/624: training loss=1.68
  [1771625882] Step 282/624: training loss=0.64
  [1771625882] Step 283/624: training loss=1.36
  [1771625886] Step 284/624: training loss=1.15
  [1771625886] Step 285/624: training loss=3.99
  [1771625886] Step 286/624: training loss=1.21
  [1771625891] Step 287/624: training loss=2.06
  [1771625891] Step 288/624: training loss=1.12
  [1771625891] Step 289/624: training loss=1.39
  [1771625896] Step 290/624: training loss=1.29
  [1771625897] Step 291/624: training loss=1.31
  [1771625901] Step 292/624: training loss=2.53
  [1771625901] Step 293/624: training loss=1.20
  [1771625901] Step 294/624: training loss=1.58
  [1771625901] Step 295/624: training loss=0.78
  [1771625906] Step 296/624: training loss=1.46
  [1771625907] Step 297/624: training loss=1.09
  [1771625912] Step 298/624: training loss=1.77
  [1771625912] Step 299/624: training loss=1.00
  [1771625912] Step 300/624: training loss=1.72
  [1771625913] Step 301/624: training loss=1.21
  [1771625917] Step 302/624: training loss=1.43
  [1771625917] Step 303/624: training loss=1.52
  [1771625917] Step 304/624: training loss=0.97
  [1771625922] Step 305/624: training loss=0.94
  [1771625922] Step 306/624: training loss=1.21
  [1771625922] Step 307/624: training loss=1.61
  [1771625927] Step 308/624: training loss=0.88
  [1771625927] Step 309/624: training loss=1.49
  [1771625931] Step 310/624: training loss=1.52
  [1771625932] Step 311/624: training loss=1.42
  [1771625932] Step 312/624: training loss=1.03
  [1771625937] Step 313/624: training loss=1.29
  [1771625937] Step 314/624: training loss=1.29
  [1771625937] Step 315/624: training loss=0.71
  [1771625942] Step 316/624: training loss=1.78
  [1771625942] Step 317/624: training loss=0.83
  [1771625942] Step 318/624: training loss=1.18
  [1771625947] Step 319/624: training loss=2.57
  [1771625947] Step 320/624: training loss=1.07
  [1771625947] Step 321/624: training loss=1.64
  [1771625952] Step 322/624: training loss=1.39
  [1771625953] Step 323/624: training loss=1.39
  [1771625957] Step 324/624: training loss=1.95
  [1771625957] Step 325/624: training loss=1.44
  [1771625957] Step 326/624: training loss=1.49
  [1771625957] Step 327/624: training loss=1.28
  [1771625961] Step 328/624: training loss=1.68
  [1771625962] Step 329/624: training loss=0.96
  [1771625966] Step 330/624: training loss=1.46
  [1771625967] Step 331/624: training loss=2.37
  [1771625967] Step 332/624: training loss=1.12
  [1771625971] Step 333/624: training loss=1.40
  [1771625972] Step 334/624: training loss=1.42
  [1771625972] Step 335/624: training loss=0.84
  [1771625977] Step 336/624: training loss=0.69
  [1771625978] Step 337/624: training loss=1.60
  [1771625978] Step 338/624: training loss=0.77
  [1771625982] Step 339/624: training loss=1.33
  [1771625982] Step 340/624: training loss=0.81
  [1771625983] Step 341/624: training loss=1.33
  [1771625987] Step 342/624: training loss=1.05
  [1771625988] Step 343/624: training loss=1.61
  [1771625988] Step 344/624: training loss=0.74
  [1771625992] Step 345/624: training loss=1.11
  [1771625992] Step 346/624: training loss=1.03
  [1771625992] Step 347/624: training loss=0.74
  [1771625996] Step 348/624: training loss=1.08
  [1771625997] Step 349/624: training loss=2.85
  [1771626001] Step 350/624: training loss=0.85
  [1771626002] Step 351/624: training loss=1.69
  [1771626002] Step 352/624: training loss=1.40
  [1771626006] Step 353/624: training loss=2.02
  [1771626007] Step 354/624: training loss=1.63
  [1771626007] Step 355/624: training loss=0.85
  [1771626012] Step 356/624: training loss=1.16
  [1771626013] Step 357/624: training loss=1.93
  [1771626013] Step 358/624: training loss=0.98
  [1771626017] Step 359/624: training loss=1.16
  [1771626017] Step 360/624: training loss=1.07
  [1771626018] Step 361/624: training loss=1.07
  [1771626022] Step 362/624: training loss=1.59
  [1771626023] Step 363/624: training loss=2.17
  [1771626023] Step 364/624: training loss=1.68
  [1771626027] Step 365/624: training loss=1.38
  [1771626027] Step 366/624: training loss=1.84
  [1771626027] Step 367/624: training loss=0.86
  [1771626032] Step 368/624: training loss=1.02
  [1771626032] Step 369/624: training loss=2.32
  [1771626037] Step 370/624: training loss=1.46
  [1771626037] Step 371/624: training loss=1.50
  [1771626037] Step 372/624: training loss=1.11
  [1771626041] Step 373/624: training loss=1.49
  [1771626042] Step 374/624: training loss=1.52
  [1771626042] Step 375/624: training loss=1.29
  [1771626047] Step 376/624: training loss=1.12
  [1771626048] Step 377/624: training loss=1.26
  [1771626048] Step 378/624: training loss=1.28
  [1771626052] Step 379/624: training loss=1.46
  [1771626052] Step 380/624: training loss=1.97
  [1771626053] Step 381/624: training loss=1.77
  [1771626053] Step 382/624: training loss=1.22
  [1771626057] Step 383/624: training loss=1.46
  [1771626058] Step 384/624: training loss=1.93
  [1771626062] Step 385/624: training loss=1.46
  [1771626062] Step 386/624: training loss=1.09
  [1771626062] Step 387/624: training loss=1.55
  [1771626067] Step 388/624: training loss=1.19
  [1771626067] Step 389/624: training loss=1.28
  [1771626072] Step 390/624: training loss=0.61
  [1771626072] Step 391/624: training loss=1.31
  [1771626072] Step 392/624: training loss=1.24
  [1771626072] Step 393/624: training loss=1.26
  [1771626077] Step 394/624: training loss=2.14
  [1771626077] Step 395/624: training loss=1.15
  [1771626077] Step 396/624: training loss=1.52
  [1771626082] Step 397/624: training loss=1.82
  [1771626083] Step 398/624: training loss=1.03
  [1771626083] Step 399/624: training loss=0.94
  [1771626087] Step 400/624: training loss=0.87
  [1771626088] Step 401/624: training loss=1.00
  [1771626088] Step 402/624: training loss=1.27
  [1771626093] Step 403/624: training loss=1.08
  [1771626093] Step 404/624: training loss=1.17
  [1771626093] Step 405/624: training loss=1.35
  [1771626098] Step 406/624: training loss=1.80
  [1771626098] Step 407/624: training loss=1.85
  [1771626098] Step 408/624: training loss=2.06
  [1771626102] Step 409/624: training loss=0.87
  [1771626103] Step 410/624: training loss=1.15
  [1771626108] Step 411/624: training loss=3.98
  [1771626108] Step 412/624: training loss=1.71
  [1771626108] Step 413/624: training loss=1.12
  [1771626108] Step 414/624: training loss=2.16
  [1771626112] Step 415/624: training loss=1.42
  [1771626114] Step 416/624: training loss=1.24
  [1771626123] Step 417/624: training loss=1.30
  [1771626124] Step 418/624: training loss=0.68
  [1771626124] Step 419/624: training loss=1.07
  [1771626128] Step 420/624: training loss=0.71
  [1771626129] Step 421/624: training loss=1.24
  [1771626129] Step 422/624: training loss=1.17
  [1771626133] Step 423/624: training loss=1.82
  [1771626134] Step 424/624: training loss=1.43
  [1771626134] Step 425/624: training loss=1.24
  [1771626138] Step 426/624: training loss=1.02
  [1771626138] Step 427/624: training loss=1.21
  [1771626138] Step 428/624: training loss=0.92
  [1771626143] Step 429/624: training loss=1.21
  [1771626143] Step 430/624: training loss=0.89
  [1771626149] Step 431/624: training loss=1.11
  [1771626150] Step 432/624: training loss=1.23
  [1771626150] Step 433/624: training loss=0.81
  [1771626150] Step 434/624: training loss=0.88
  [1771626154] Step 435/624: training loss=1.69
  [1771626154] Step 436/624: training loss=0.77
  [1771626154] Step 437/624: training loss=0.89
  [1771626159] Step 438/624: training loss=1.30
  [1771626159] Step 439/624: training loss=0.71
  [1771626159] Step 440/624: training loss=1.23
  [1771626164] Step 441/624: training loss=0.76
  [1771626164] Step 442/624: training loss=0.74
  [1771626168] Step 443/624: training loss=1.34
  [1771626169] Step 444/624: training loss=2.18
  [1771626169] Step 445/624: training loss=1.28
  [1771626173] Step 446/624: training loss=2.00
  [1771626173] Step 447/624: training loss=1.25
  [1771626173] Step 448/624: training loss=1.37
  [1771626178] Step 449/624: training loss=1.10
  [1771626178] Step 450/624: training loss=1.23
  [1771626184] Step 451/624: training loss=1.29
  [1771626185] Step 452/624: training loss=3.75
  [1771626185] Step 453/624: training loss=0.72
  [1771626185] Step 454/624: training loss=0.73
  [1771626189] Step 455/624: training loss=1.59
  [1771626189] Step 456/624: training loss=1.22
  [1771626189] Step 457/624: training loss=1.38
  [1771626194] Step 458/624: training loss=1.06
  [1771626194] Step 459/624: training loss=0.87
  [1771626194] Step 460/624: training loss=2.17
  [1771626199] Step 461/624: training loss=1.45
  [1771626199] Step 462/624: training loss=2.22
  [1771626199] Step 463/624: training loss=1.15
  [1771626204] Step 464/624: training loss=1.24
  [1771626204] Step 465/624: training loss=0.98
  [1771626204] Step 466/624: training loss=1.09
  [1771626209] Step 467/624: training loss=0.71
  [1771626209] Step 468/624: training loss=1.30
  [1771626213] Step 469/624: training loss=1.25
  [1771626214] Step 470/624: training loss=1.01
  [1771626214] Step 471/624: training loss=0.94
  [1771626219] Step 472/624: training loss=1.13
  [1771626220] Step 473/624: training loss=1.25
  [1771626220] Step 474/624: training loss=0.91
  [1771626220] Step 475/624: training loss=0.78
  [1771626224] Step 476/624: training loss=1.02
  [1771626224] Step 477/624: training loss=2.72
  [1771626224] Step 478/624: training loss=1.42
  [1771626229] Step 479/624: training loss=0.75
  [1771626229] Step 480/624: training loss=1.31
  [1771626234] Step 481/624: training loss=0.91
  [1771626234] Step 482/624: training loss=1.63
  [1771626234] Step 483/624: training loss=1.27
  [1771626234] Step 484/624: training loss=0.97
  [1771626239] Step 485/624: training loss=1.16
  [1771626239] Step 486/624: training loss=1.33
  [1771626244] Step 487/624: training loss=0.84
  [1771626244] Step 488/624: training loss=1.04
  [1771626244] Step 489/624: training loss=1.55
  [1771626248] Step 490/624: training loss=1.05
  [1771626249] Step 491/624: training loss=1.42
  [1771626249] Step 492/624: training loss=1.02
  [1771626255] Step 493/624: training loss=1.33
  [1771626255] Step 494/624: training loss=1.08
  [1771626255] Step 495/624: training loss=0.86
  [1771626255] Step 496/624: training loss=1.58
  [1771626259] Step 497/624: training loss=1.59
  [1771626259] Step 498/624: training loss=0.79
  [1771626264] Step 499/624: training loss=1.82
  [1771626264] Step 500/624: training loss=1.47
  [1771626265] Step 501/624: training loss=0.93
  [1771626269] Step 502/624: training loss=1.28
  [1771626269] Step 503/624: training loss=2.18
  [1771626269] Step 504/624: training loss=1.29
  [1771626269] Step 505/624: training loss=1.09
  [1771626274] Step 506/624: training loss=1.63
  [1771626274] Step 507/624: training loss=1.00
  [1771626279] Step 508/624: training loss=1.28
  [1771626279] Step 509/624: training loss=0.86
  [1771626279] Step 510/624: training loss=0.87
  [1771626284] Step 511/624: training loss=0.99
  [1771626284] Step 512/624: training loss=1.32
  [1771626284] Step 513/624: training loss=3.78
  [1771626307] Step 514/624: training loss=1.08
  [1771626308] Step 515/624: training loss=0.90
  [1771626308] Step 516/624: training loss=1.35
  [1771626313] Step 517/624: training loss=0.98
  [1771626313] Step 518/624: training loss=1.28
  [1771626317] Step 519/624: training loss=2.28
  [1771626318] Step 520/624: training loss=1.47
  [1771626318] Step 521/624: training loss=1.04
  [1771626324] Step 522/624: training loss=1.37
  [1771626324] Step 523/624: training loss=1.04
  [1771626324] Step 524/624: training loss=0.81
  [1771626329] Step 525/624: training loss=0.77
  [1771626329] Step 526/624: training loss=1.06
  [1771626329] Step 527/624: training loss=0.96
  [1771626333] Step 528/624: training loss=1.80
  [1771626334] Step 529/624: training loss=1.13
  [1771626334] Step 530/624: training loss=1.45
  [1771626339] Step 531/624: training loss=1.42
  [1771626339] Step 532/624: training loss=1.03
  [1771626339] Step 533/624: training loss=1.82
  [1771626343] Step 534/624: training loss=0.55
  [1771626344] Step 535/624: training loss=1.36
  [1771626344] Step 536/624: training loss=0.85
  [1771626348] Step 537/624: training loss=0.89
  [1771626348] Step 538/624: training loss=0.63
  [1771626348] Step 539/624: training loss=0.53
  [1771626352] Step 540/624: training loss=0.68
  [1771626353] Step 541/624: training loss=1.10
  [1771626353] Step 542/624: training loss=1.24
  [1771626359] Step 543/624: training loss=1.22
  [1771626359] Step 544/624: training loss=1.10
  [1771626359] Step 545/624: training loss=1.01
  [1771626359] Step 546/624: training loss=0.92
  [1771626364] Step 547/624: training loss=1.00
  [1771626364] Step 548/624: training loss=1.40
  [1771626368] Step 549/624: training loss=0.97
  [1771626369] Step 550/624: training loss=1.45
  [1771626369] Step 551/624: training loss=1.27
  [1771626374] Step 552/624: training loss=1.58
  [1771626374] Step 553/624: training loss=1.00
  [1771626374] Step 554/624: training loss=1.16
  [1771626378] Step 555/624: training loss=1.20
  [1771626379] Step 556/624: training loss=1.31
  [1771626379] Step 557/624: training loss=1.15
  [1771626383] Step 558/624: training loss=1.47
  [1771626383] Step 559/624: training loss=1.24
  [1771626383] Step 560/624: training loss=0.87
  [1771626388] Step 561/624: training loss=1.27
  [1771626389] Step 562/624: training loss=0.83
  [1771626389] Step 563/624: training loss=0.92
  [1771626395] Step 564/624: training loss=0.70
  [1771626395] Step 565/624: training loss=1.76
  [1771626395] Step 566/624: training loss=1.83
  [1771626395] Step 567/624: training loss=1.12
  [1771626400] Step 568/624: training loss=0.90
  [1771626400] Step 569/624: training loss=0.74
  [1771626400] Step 570/624: training loss=1.36
  [1771626404] Step 571/624: training loss=1.03
  [1771626405] Step 572/624: training loss=1.28
  [1771626409] Step 573/624: training loss=0.77
  [1771626409] Step 574/624: training loss=1.15
  [1771626409] Step 575/624: training loss=1.25
  [1771626409] Step 576/624: training loss=1.34
  [1771626414] Step 577/624: training loss=0.83
  [1771626414] Step 578/624: training loss=0.78
  [1771626419] Step 579/624: training loss=1.39
  [1771626419] Step 580/624: training loss=1.07
  [1771626419] Step 581/624: training loss=0.67
  [1771626424] Step 582/624: training loss=1.43
  [1771626424] Step 583/624: training loss=0.99
  [1771626424] Step 584/624: training loss=1.22
  [1771626430] Step 585/624: training loss=0.70
  [1771626430] Step 586/624: training loss=0.72
  [1771626430] Step 587/624: training loss=1.14
  [1771626435] Step 588/624: training loss=1.04
  [1771626435] Step 589/624: training loss=0.71
  [1771626435] Step 590/624: training loss=1.12
